Score,P1 Odds,P2 Odds
-,3.03,1.35
Score,P1 Odds,P2 Odds
-,3.03,1.35
Score,P1 Odds,P2 Odds
-,3.03,1.35
-,2.82,1.40
0-0 0-1 0-15*,3.70,1.25
0-0 0-1 30-15*,3.32,1.30
0-0 0-1 40-15*,3.03,1.35
0-0 0-1 40-30*,3.24,1.31
0-0 1-1 *0-0,2.80,1.40
0-0 1-1 *0-15,3.06,1.35
0-0 1-1 *15-15,2.81,1.40
0-0 1-1 *30-30,2.81,1.40
0-0 1-1 *40-30,2.50,1.49
0-0 1-1 *40-A,3.22,1.31
0-0 1-1 *40-40,2.81,1.40
0-0 2-1 0-0*,2.50,1.58
0-0 2-1 0-0*,2.28,1.58
0-0 2-1 0-15*,2.42,1.52
0-0 2-1 15-15*,2.25,1.60
0-0 2-1 15-30*,2.44,1.51
0-0 2-1 15-40*,2.61,1.45
0-0 2-2 *15-15,2.74,1.42
0-0 2-2 *15-40,3.45,1.28
0-0 2-2 *30-40,3.25,1.31
0-0 2-2 *40-40,2.76,1.41
0-0 2-2 *A-40,2.44,1.51
0-0 2-2 *40-40,2.74,1.41
0-0 2-3 0-0*,4.00,1.22
0-0 2-3 0-15*,4.25,1.20
0-0 2-3 0-30*,4.65,1.17
0-0 2-3 15-30*,4.25,1.20
0-0 2-3 30-30*,3.75,1.25
0-0 2-3 30-40*,3.70,1.25
0-0 2-3 30-A*,4.50,1.17
0-0 2-4 *0-0,5.20,1.14
0-0 2-4 *15-15,5.00,1.14
0-0 2-4 *15-30,5.40,1.13
0-0 2-4 *30-30,5.20,1.14
0-0 3-4 0-0*,4.00,1.22
0-0 3-4 0-15*,4.60,1.17
0-0 3-4 15-15*,4.00,1.22
0-0 3-4 15-30*,4.60,1.17
0-0 3-4 30-30*,4.00,1.22
0-0 3-4 40-30*,3.25,1.31
0-0 4-4 *0-0,2.57,1.47
0-0 5-4 0-0*,1.92,1.81
0-0 5-4 15-0*,1.72,2.04
0-0 5-4 15-15*,1.91,1.82
0-0 5-4 30-15*,1.91,2.09
0-0 5-4 30-30*,1.89,1.83
0-0 5-4 40-30*,1.62,2.21
1-0 6-4 *0-0,1.36,2.97
1-0 0-0 *0-0,1.36,2.97
1-0 0-0 *0-0,1.49,2.49
1-0 0-0 *0-15,1.57,2.30
1-0 0-0 *40-15,1.37,2.95
1-0 0-0 *40-30,1.41,2.77
1-0 0-0 *A-40,1.41,2.76
1-0 0-0 *40-40,1.51,2.44
1-0 1-0 15-0*,1.30,3.32
1-0 1-0 15-30*,1.40,2.81
1-0 1-0 30-30*,1.31,3.28
1-0 1-0 30-40*,1.38,2.91
1-0 1-0 40-40*,1.31,3.28
1-0 1-0 40-A*,1.38,2.91
1-0 1-0 40-40*,1.38,2.88
1-0 1-0 40-40*,1.31,3.28
1-0 1-0 40-40*,1.30,3.32
1-0 1-0 40-40*,1.38,2.91
1-0 1-0 40-40*,1.30,3.32
1-0 1-0 A-40*,1.22,4.00
1-0 1-0 40-A*,1.38,2.92
1-0 1-1 *0-0,1.45,2.61
1-0 1-1 *15-0,1.39,2.61
1-0 1-1 *15-15,1.46,2.59
1-0 1-1 *15-30,1.55,2.34
1-0 1-1 *30-30,1.46,2.58
1-0 1-1 *30-40,1.59,2.25
1-0 1-2 0-0*,1.76,1.98
1-0 1-2 15-0*,1.67,2.12
1-0 1-2 15-30*,1.86,1.87
1-0 1-2 30-40*,1.89,1.84
1-0 1-2 40-40*,1.73,2.03
1-0 1-2 A-40*,1.60,2.24
1-0 1-2 40-40*,1.72,2.04
1-0 1-2 A-40*,1.58,2.27
1-0 2-2 *0-15,1.52,2.41
1-0 2-2 *15-30,1.54,2.37
1-0 2-2 *15-40,1.67,2.11
1-0 2-3 0-0*,1.77,1.97
1-0 2-3 30-15*,1.65,2.16
1-0 2-3 40-30*,1.60,2.25
1-0 2-3 40-40*,1.74,2.01
1-0 2-3 40-A*,1.91,1.82
1-0 2-4 *0-0,2.09,1.69
1-0 2-4 *15-0,1.99,1.75
1-0 2-4 *30-15,1.88,1.85
1-0 3-4 0-0*,1.83,1.89
1-0 3-4 0-0*,1.82,1.91
1-0 3-4 15-15*,1.82,1.91
1-0 3-4 15-40*,2.11,1.67
1-0 3-4 40-40*,1.81,1.93
1-0 3-4 A-40*,1.60,2.24
1-0 3-4 A-40*,1.80,1.93
1-0 3-4 A-40*,1.60,2.25
1-0 3-4 A-40*,1.76,1.98
1-0 3-4 A-40*,1.58,2.29
1-0 4-4 *0-0,1.39,2.83
1-0 4-4 *15-15,1.40,2.82
1-0 4-4 *15-15,1.30,3.32
1-0 5-4 0-0*,1.17,4.60
1-0 5-4 0-15*,1.25,3.78
1-0 5-4 15-15*,1.17,4.65
1-0 5-4 30-30*,1.17,4.65
1-0 5-4 30-40*,1.28,3.45
