Score,P1 Odds,P2 Odds
-,3.70,1.25
0-0 1-1 *0-15,3.45,1.28
0-0 1-1 *0-30,4.00,1.22
0-0 1-1 *30-30,3.22,1.31
0-0 1-1 *40-40,3.50,1.28
0-0 1-1 *40-A,4.25,1.20
0-0 1-2 0-0*,5.20,1.14
0-0 1-2 0-15*,5.40,1.13
0-0 1-2 15-15*,5.20,1.14
0-0 1-2 30-15*,4.60,1.17
0-0 1-2 40-15*,3.98,1.22
0-0 2-2 *0-0,3.45,1.28
0-0 2-2 *0-15,3.98,1.22
0-0 2-2 *15-15,3.45,1.28
0-0 2-2 *30-15,3.14,1.33
0-0 2-2 *30-30,3.45,1.28
0-0 2-2 *30-40,4.20,1.20
0-0 2-3 0-0*,5.20,1.14
0-0 2-3 15-0*,4.60,1.17
0-0 2-3 30-0*,4.00,1.22
0-0 2-3 40-0*,3.45,1.28
0-0 2-3 40-0*,3.32,1.30
0-0 2-3 30-0*,2.75,1.41
0-0 2-3 30-15*,2.98,1.36
0-0 2-3 30-30*,3.32,1.30
0-0 2-3 40-30*,2.87,1.38
0-0 4-3 0-0*,2.50,1.49
0-0 4-3 0-0*,2.47,1.50
0-0 4-3 15-0*,2.23,1.61
0-0 4-3 15-15*,2.45,1.51
0-0 4-3 30-15*,2.16,1.64
0-0 4-3 30-30*,2.42,1.52
0-0 4-3 30-40*,2.84,1.39
0-0 4-4 *0-0,3.20,1.33
0-0 4-4 *0-0,3.22,1.31
0-0 4-4 *15-15,3.22,1.31
0-0 4-4 *15-30,3.92,1.23
0-0 4-4 *15-30,3.96,1.22
0-0 4-4 *30-30,3.26,1.31
0-0 4-4 *30-40,4.05,1.22
0-1 0-0 *15-15,8.50,1.05
0-1 0-0 *40-30,7.00,1.07
0-1 1-0 0-0*,6.00,1.10
0-1 1-0 15-0*,5.90,1.11
0-1 1-0 15-15*,6.00,1.10
0-1 1-0 15-0*,5.90,1.11
0-1 1-0 30-0*,5.20,1.14
0-1 1-0 30-15*,5.40,1.13
0-1 1-0 30-30*,6.00,1.10
0-1 1-0 40-30*,5.40,1.13
0-1 2-0 *15-15,4.60,1.17
0-1 2-0 *15-30,5.20,1.14
0-1 2-0 *30-30,4.60,1.17
0-1 2-0 *30-40,5.20,1.14
0-1 2-0 *40-40,4.00,1.22
0-1 2-0 *A-40,3.45,1.28
0-1 2-0 *40-40,4.00,1.22
0-1 2-0 *40-40,3.45,1.28
0-1 3-0 0-0*,3.27,1.31
0-1 3-0 0-15*,3.32,1.30
0-1 3-0 0-30*,3.45,1.28
0-1 3-0 0-40*,3.70,1.25
0-1 3-0 15-40*,3.45,1.28
0-1 3-1 *0-0,3.70,1.25
0-1 4-2 *A-40,3.09,1.34
0-1 5-2 0-0*,2.81,1.40
0-1 5-2 0-15*,2.91,1.38
0-1 5-2 0-15*,2.90,1.38
1-1 0-1 30-0*,2.86,1.39
1-1 0-1 30-0*,2.82,1.40
1-1 0-1 30-15*,3.14,1.33
1-1 0-1 40-15*,2.62,1.45
1-1 0-1 40-30*,2.92,1.37
1-1 1-1 *0-0,2.31,1.57
1-1 1-1 *0-15,2.63,1.45
1-1 1-1 *15-15,2.33,1.56
1-1 1-1 *30-15,2.07,1.70
1-1 1-1 *40-15,1.88,1.85
1-1 2-1 0-0*,1.76,1.98
1-1 2-1 0-15*,1.92,1.81
1-1 2-1 15-15*,1.74,2.00
1-1 2-1 15-30*,1.95,1.78
1-1 2-1 15-40*,2.15,1.65
1-1 2-1 30-40*,1.93,1.81
1-1 2-2 *0-0,2.17,1.64
1-1 2-2 *30-15,1.94,1.80
1-1 2-2 *30-30,2.21,1.62
1-1 2-2 *40-30,1.88,1.85
1-1 2-2 *40-40,2.21,1.62
1-1 2-2 *A-40,1.89,1.84
1-1 2-2 *40-40,2.21,1.61
1-1 2-2 *40-40,2.26,1.59
1-1 2-3 0-0*,4.00,1.22
1-1 2-3 0-15*,4.65,1.17
1-1 2-3 15-15*,4.00,1.22
1-1 2-3 15-30*,4.65,1.17
1-1 2-3 15-40*,5.90,1.11
1-1 2-4 *0-0,6.50,1.09
1-1 2-4 *15-0,5.90,1.11
1-1 2-4 *30-0,5.20,1.14
1-1 2-4 *30-15,5.50,1.13
1-1 2-4 *30-30,6.50,1.08
1-1 2-4 *40-30,5.40,1.13
1-1 2-4 *40-30,4.65,1.17
1-1 2-4 *40-15,5.50,1.13
1-1 2-4 *40-15,5.40,1.13
1-1 2-4 *40-15,6.50,1.08
1-1 2-4 *15-30,5.40,1.13
1-1 2-4 *15-40,7.50,1.06
