Score,P1 Odds,P2 Odds
-,1.87,1.87
0-0 0-0 15-0*,1.76,1.98
0-0 0-0 15-15*,1.85,1.88
0-0 0-0 15-30*,1.97,1.77
0-0 0-0 15-30*,1.96,1.78
0-0 0-0 15-40*,2.07,1.70
0-0 0-0 30-40*,2.00,1.75
0-0 0-1 *0-0,2.13,1.66
0-0 0-0 30-40*,2.13,1.66
0-0 0-0 30-15*,2.27,1.58
0-0 0-0 30-30*,2.46,1.50
0-0 0-0 15-30*,2.33,1.56
0-0 0-0 30-30*,2.17,1.64
0-0 0-0 30-30*,2.17,1.53
0-0 0-0 30-30*,2.40,1.53
0-0 0-0 40-40*,2.15,1.65
0-0 0-0 40-40*,2.18,1.63
0-0 0-0 40-A*,2.42,1.52
0-0 0-1 *40-A,2.42,1.52
0-0 0-2 0-30*,3.13,1.33
0-0 0-2 15-30*,2.97,1.36
0-0 0-2 30-30*,2.75,1.41
0-0 0-2 30-40*,3.03,1.35
0-0 0-2 40-40*,2.75,1.41
0-0 0-2 40-40*,2.72,1.42
0-0 0-2 A-40*,2.44,1.51
0-0 0-2 40-40*,2.72,1.42
0-0 0-2 A-40*,2.44,1.51
0-0 1-2 *0-0,2.18,1.63
0-0 1-2 *15-15,2.18,1.63
0-0 1-2 *15-30,2.37,1.54
0-0 1-2 *15-40,2.66,1.44
0-0 1-2 *30-40,2.47,1.50
0-0 1-3 0-0*,2.89,1.38
0-0 1-3 0-0*,2.88,1.38
0-0 1-3 0-15*,3.09,1.34
0-0 1-3 0-30*,3.31,1.30
0-0 1-3 0-40*,3.45,1.28
0-0 1-4 *0-0,3.45,1.28
0-0 1-4 *15-0,3.32,1.30
0-0 1-4 *15-15,3.45,1.28
0-0 1-4 *15-30,3.75,1.25
0-0 1-4 *30-30,3.45,1.28
0-0 1-4 *30-40,4.00,1.22
0-0 1-4 *40-40,3.45,1.28
0-0 1-4 *40-A,4.00,1.22
0-0 1-4 *40-40,3.45,1.28
0-0 1-4 *40-40,4.00,1.22
0-0 1-4 *40-40,3.45,1.28
0-0 1-4 *40-A,4.00,1.22
0-0 1-5 0-0*,4.25,1.20
0-0 1-5 0-15*,4.50,1.17
0-0 1-5 0-30*,4.60,1.17
0-0 1-5 0-40*,4.60,1.17
0-0 1-5 15-40*,4.60,1.17
0-0 1-5 30-40*,4.60,1.17
0-0 1-5 40-A*,4.60,1.17
0-1 0-0 *0-0,4.60,1.17
0-1 0-0 *0-0,5.90,1.11
0-1 0-0 *A-40,5.20,1.14
0-1 0-0 *40-A,6.50,1.08
0-1 0-1 0-0*,8.50,1.05
0-1 0-1 0-15*,9.50,1.04
0-1 0-1 0-30*,10.00,1.03
0-1 0-1 0-40*,10.00,1.03
0-1 0-2 *0-0,11.00,1.02
0-1 0-2 *15-0,10.00,1.03
0-1 0-2 *15-15,11.00,1.02
0-1 0-2 *15-30,12.00,1.02
0-1 0-2 *30-40,13.00,1.01
0-1 0-2 *40-40,11.00,1.02
0-1 0-3 0-0*,21.00,1.005
0-1 0-3 0-0*,51.00,1.002
0-1 0-3 0-15*,67.00,1.002
0-1 0-3 0-30*,81.00,1.001
0-1 0-3 0-40*,101.00,1.001
