Score,P1 Odds,P2 Odds
-,6.00,1.11
0-0 0-0 15-15*,5.90,1.11
0-0 0-0 40-15*,4.65,1.17
0-0 0-0 40-30*,5.20,1.14
0-0 0-0 40-40*,5.40,1.13
0-0 0-1 *0-0,6.50,1.08
0-0 0-1 *0-15,7.75,1.06
0-0 0-1 *15-30,8.50,1.05
0-0 0-1 *15-40,9.50,1.04
0-0 0-2 0-0*,9.50,1.04
0-0 0-2 15-0*,9.50,1.04
0-0 0-2 15-30*,10.00,1.03
0-0 0-2 30-30*,9.50,1.04
0-0 0-2 40-30*,8.50,1.05
0-0 0-2 40-A*,10.00,1.03
0-0 0-3 *0-0,11.00,1.02
0-0 0-3 *15-0,10.00,1.03
0-0 0-3 *30-0,10.00,1.03
0-0 0-3 *30-15,10.00,1.03
0-0 0-3 *40-15,10.00,1.03
0-0 1-3 0-0*,9.50,1.04
0-0 1-3 0-15*,10.00,1.03
0-0 1-3 15-15*,9.50,1.04
0-0 1-3 15-30*,9.50,1.04
0-0 1-3 15-40*,10.00,1.03
0-0 1-4 *0-0,11.00,1.02
0-0 1-4 *0-15,12.00,1.02
0-0 1-4 *15-15,11.00,1.02
0-0 1-4 *30-15,10.00,1.03
0-0 1-4 *30-40,14.00,1.01
0-0 1-4 *40-40,13.00,1.01
0-0 1-4 *A-40,12.00,1.01
0-0 1-4 *40-40,13.00,1.01
0-0 1-4 *40-A,14.00,1.01
0-0 1-5 0-0*,15.00,1.01
0-0 1-5 0-30*,17.00,1.005
0-0 1-5 15-30*,15.00,1.005
0-0 1-5 30-30*,15.00,1.01
0-0 1-5 40-30*,15.00,1.01
0-0 1-5 40-40*,15.00,1.01
0-0 1-5 40-A*,15.00,1.005
0-1 1-6 *0-0,17.00,1.005
0-1 0-0 *0-0,17.00,1.005
0-1 0-0 *15-0,14.00,1.01
0-1 0-0 *15-15,17.00,1.005
0-1 0-0 *15-30,34.00,1.005
0-1 0-0 *15-40,34.00,1.005
0-1 0-0 *15-40,41.00,1.002
0-1 0-1 0-0*,41.00,1.002
0-1 0-1 0-15*,67.00,1.002
0-1 0-1 0-30*,81.00,1.001
0-1 0-2 *0-0,81.00,1.001
0-1 0-2 *15-0,67.00,1.002
0-1 0-2 *30-15,67.00,1.002
