Score,P1 Odds,P2 Odds
-,2.82,1.40
0-0 0-0 *15-0,2.63,1.45
0-0 1-0 30-30*,2.52,1.48
0-0 1-0 40-30*,2.31,1.57
0-0 1-0 40-A*,2.52,1.48
0-0 1-0 40-A*,2.50,1.49
0-0 1-1 *0-0,2.72,1.42
0-0 1-1 *0-15,2.96,1.37
0-0 1-1 *0-30,3.30,1.31
0-0 1-1 *0-40,3.45,1.28
0-0 1-2 0-0*,3.90,1.25
0-0 2-3 0-0*,4.00,1.22
0-0 2-3 15-0*,3.45,1.28
0-0 2-3 30-0*,3.14,1.33
0-0 2-3 30-0*,3.10,1.34
0-0 2-3 30-15*,3.32,1.30
0-0 2-3 40-15*,2.91,1.38
0-0 2-3 40-30*,3.14,1.33
0-0 2-3 40-40*,3.78,1.25
0-0 2-3 A-40*,3.22,1.31
0-0 2-3 A-40*,3.78,1.25
0-0 2-3 A-40*,3.20,1.33
0-0 2-3 A-40*,3.75,1.25
0-0 2-3 A-40*,3.20,1.33
0-0 3-3 *0-0,2.60,1.46
0-0 3-3 *15-0,2.39,1.53
0-0 3-3 *15-0,2.40,1.53
0-0 3-3 *30-0,2.24,1.60
0-0 3-3 *30-15,2.37,1.54
0-0 3-3 *40-15,2.19,1.63
0-0 3-3 *40-30,2.31,1.57
0-0 3-3 *40-30,2.33,1.56
0-0 4-3 0-0*,2.08,1.69
0-0 5-4 0-0*,2.00,1.75
0-0 5-4 0-0*,1.98,1.76
0-0 5-4 0-15*,2.16,1.64
0-0 5-4 0-30*,2.35,1.55
0-0 5-4 15-30*,2.17,1.64
0-0 5-4 30-30*,1.92,1.81
0-0 5-4 40-30*,1.62,2.20
0-0 5-4 40-40*,1.89,1.83
0-0 5-4 40-A*,2.23,1.61
0-0 5-5 *0-0,2.54,1.48
0-0 5-5 *0-0,2.56,1.47
0-0 5-5 *15-0,2.33,1.56
0-0 5-5 *30-0,2.15,1.65
0-0 5-5 *40-0,2.04,1.72
0-0 6-5 0-0*,2.00,1.75
0-0 6-5 15-0*,1.80,1.93
0-0 6-5 15-0*,1.61,2.23
0-0 6-5 40-0*,1.44,2.67
0-0 6-5 40-15*,1.50,2.47
0-0 6-5 40-30*,1.62,2.20
0-0 6-5 40-40*,1.95,1.78
0-0 6-5 A-40*,1.65,2.14
0-0 6-5 40-40*,1.95,1.78
0-0 6-5 40-40*,1.89,1.84
0-0 6-5 A-40*,1.62,2.20
1-0 7-5 *0-0,1.36,2.96
1-0 0-0 *40-30,1.31,3.26
1-0 0-0 *40-40,1.38,2.87
1-0 0-0 *A-40,1.31,3.27
1-0 0-0 *40-40,1.39,2.86
1-0 0-0 *40-A,1.48,2.54
1-0 0-1 0-0*,1.63,2.19
1-0 0-1 15-0*,1.55,2.35
1-0 0-1 15-0*,1.54,2.37
1-0 0-1 30-0*,1.46,2.59
1-0 0-1 30-15*,1.52,2.42
1-0 0-1 40-15*,1.43,2.70
1-0 1-1 *0-0,1.36,2.99
1-0 1-1 *15-0,1.31,3.26
1-0 1-1 *15-15,1.36,2.98
1-0 1-1 *15-30,1.44,2.67
1-0 1-1 *15-30,1.44,2.65
1-0 1-1 *15-40,1.54,2.36
1-0 1-1 *30-40,1.47,2.55
1-0 1-1 *A-40,1.30,3.32
1-0 1-1 *40-40,1.37,2.92
1-0 1-1 *A-40,1.30,3.32
1-0 1-1 *40-40,1.37,2.92
1-0 1-1 *A-40,1.30,3.32
1-0 1-1 *40-40,1.37,2.94
1-0 2-1 0-0*,1.25,3.70
1-0 3-2 0-15*,1.22,4.00
1-0 3-2 0-30*,1.28,3.45
1-0 3-2 0-40*,1.33,3.14
1-0 3-2 30-40*,1.30,3.32
1-0 3-3 *0-0,1.36,2.98
1-0 3-3 *0-15,1.45,2.64
1-0 3-3 *15-15,1.36,2.96
1-0 3-3 *30-15,1.30,3.32
1-0 3-3 *40-15,1.25,3.70
1-0 4-3 0-0*,1.22,4.00
1-0 4-3 0-0*,1.25,3.70
1-0 4-3 0-15*,1.30,3.32
1-0 4-3 0-30*,1.34,3.09
1-0 4-3 15-30*,1.30,3.32
1-0 4-3 15-40*,1.36,2.99
1-0 4-3 30-40*,1.33,3.20
1-0 4-3 40-40*,1.22,4.00
1-0 4-3 A-40*,1.13,5.40
1-0 4-3 40-40*,1.22,4.00
1-0 4-3 40-A*,1.30,3.30
1-0 4-3 40-40*,1.22,4.00
1-0 4-3 A-40*,1.14,5.20
1-0 4-3 A-40*,1.13,5.40
1-0 5-3 *0-0,1.04,9.50
1-0 5-3 *15-0,1.02,12.00
1-0 5-3 *15-15,1.04,9.50
1-0 5-3 *30-15,1.02,12.00
1-0 5-3 *40-15,1.002,41.00
2-0 6-3 *0-0,1.001,1.001
