Score,P1 Odds,P2 Odds
-,1.96,1.78
0-0 0-0 *15-30,2.20,1.62
0-0 0-0 *30-30,2.06,1.71
0-0 0-1 0-0*,2.27,1.45
0-0 0-1 0-0*,2.62,1.45
0-0 0-1 0-15*,2.78,1.41
0-0 0-1 15-15*,2.59,1.46
0-0 0-1 30-30*,2.58,1.46
0-0 0-1 30-40*,2.84,1.39
0-0 0-1 40-40*,2.58,1.46
0-0 0-1 40-40*,2.54,1.48
0-0 0-1 40-A*,2.83,1.39
0-0 0-2 *30-0,2.78,1.41
0-0 1-2 0-0*,2.64,1.45
0-0 1-2 15-0*,2.42,1.52
0-0 1-2 30-0*,2.21,1.62
0-0 1-2 40-0*,2.05,1.71
0-0 1-2 40-30*,2.26,1.59
0-0 2-2 *0-0,1.98,1.76
0-0 2-2 *15-0,1.87,1.86
0-0 2-2 *15-15,2.00,1.75
0-0 2-2 *30-15,1.86,1.87
0-0 2-2 *40-15,1.75,1.99
0-0 2-2 *40-30,1.82,1.91
0-0 2-2 *40-A,2.28,1.58
0-0 2-3 0-0*,2.67,1.44
0-0 2-3 15-0*,2.44,1.51
0-0 2-3 15-15*,2.67,1.44
0-0 2-3 15-30*,2.92,1.37
0-0 2-3 15-30*,2.63,1.45
0-0 3-3 *0-0,1.98,1.76
0-0 3-3 *15-0,1.85,1.88
0-0 3-3 *15-15,1.99,1.76
0-0 3-3 *15-30,2.21,1.62
0-0 3-4 0-0*,2.76,1.41
0-0 3-4 0-15*,3.07,1.34
0-0 3-4 0-30*,3.32,1.30
0-0 3-4 15-30*,3.13,1.33
0-0 3-4 15-40*,3.45,1.28
0-0 3-4 30-40*,3.20,1.33
0-0 3-5 *0-0,3.70,1.25
0-0 3-5 *0-15,3.70,1.25
0-0 3-5 *0-40,4.65,1.17
0-0 3-5 *30-40,4.25,1.20
0-0 3-5 *40-40,3.70,1.25
0-0 3-5 *40-A,4.25,1.20
0-1 3-6 0-0*,5.20,1.14
0-1 0-0 0-0*,5.20,1.14
0-1 0-0 0-15*,5.40,1.13
0-1 0-0 15-15*,4.80,1.16
0-1 0-0 15-30*,5.40,1.13
0-1 0-0 15-40*,6.00,1.10
0-1 0-1 *0-15,8.00,1.06
0-1 0-1 *0-30,9.50,1.04
0-1 0-1 *15-30,8.00,1.06
0-1 0-1 *30-40,8.50,1.05
0-1 0-2 0-0*,10.00,1.03
0-1 0-2 0-15*,12.00,1.02
0-1 0-2 0-40*,13.00,1.01
0-1 0-2 15-40*,13.00,1.01
0-1 0-3 *0-0,14.00,1.01
0-1 0-3 *15-0,13.00,1.01
0-1 0-3 *15-30,17.00,1.005
0-1 0-3 *30-30,14.00,1.01
0-1 0-4 0-0*,67.00,1.002
0-1 0-4 0-15*,81.00,1.001
0-1 0-4 0-30*,101.00,1.001
0-1 0-4 0-40*,101.00,1.001
0-1 0-4 15-40*,101.00,1.001
