Score,P1 Odds,P2 Odds
-,2.65,1.44
-,3.45,1.28
-,3.80,1.25
0-0 0-0 0-30*,4.00,1.22
0-0 0-1 *0-0,4.25,1.20
0-0 0-1 *15-0,4.00,1.22
0-0 0-1 *15-15,4.50,1.17
0-0 0-1 *30-15,4.00,1.22
0-0 0-1 *40-15,3.90,1.23
0-0 0-1 *40-30,4.00,1.22
0-0 1-1 0-0*,3.70,1.25
0-0 1-1 0-30*,4.00,1.22
0-0 1-1 15-30*,3.98,1.22
0-0 1-2 *0-0,4.25,1.20
0-0 1-2 *15-0,4.00,1.22
0-0 1-2 *30-0,3.75,1.25
0-0 1-2 *30-15,4.00,1.22
0-0 1-2 *40-15,3.70,1.25
0-0 1-2 *40-15,4.00,1.22
0-0 2-2 0-15*,3.70,1.25
0-0 2-2 0-40*,4.00,1.22
0-0 2-3 *0-0,4.05,1.22
0-0 2-3 *15-0,3.96,1.22
0-0 2-3 *30-0,3.70,1.25
0-0 2-3 *40-15,3.45,1.28
0-0 3-3 0-0*,3.45,1.28
0-0 3-3 0-0*,3.32,1.30
0-0 3-3 0-0*,3.45,1.28
0-0 3-3 30-0*,2.94,1.37
0-0 3-3 30-30*,3.14,1.33
0-0 3-3 40-30*,2.68,1.43
0-0 3-3 40-A*,3.70,1.25
0-0 3-3 40-A*,3.45,1.28
0-0 3-3 40-40*,3.04,1.35
0-0 3-3 40-A*,3.45,1.28
0-0 3-4 *0-0,3.90,1.23
0-0 3-4 *15-15,4.00,1.22
0-0 3-4 *30-15,3.70,1.25
0-0 3-4 *30-30,4.00,1.22
0-0 3-4 *40-30,3.69,1.25
0-0 3-4 *40-40,4.25,1.20
0-0 3-4 *A-40,3.45,1.28
0-0 4-4 0-0*,3.32,1.30
0-0 4-4 15-0*,3.32,1.30
0-0 4-4 15-0*,2.91,1.53
0-0 4-4 15-0*,2.40,1.53
0-0 4-4 15-30*,3.20,1.33
0-0 4-5 *0-0,3.92,1.23
0-0 4-5 *15-0,3.45,1.28
0-0 4-5 *30-0,3.32,1.30
0-0 4-5 *40-0,3.26,1.31
