Score,P1 Odds,P2 Odds
-,1.31,3.25
Score,P1 Odds,P2 Odds
-,1.31,3.25
Score,P1 Odds,P2 Odds
-,1.31,3.25
0-0 0-0 *15-0,1.36,2.97
0-0 0-0 *40-0,1.33,3.14
0-0 1-0 0-0*,1.33,3.20
0-0 1-0 0-0*,1.28,3.45
0-0 1-0 0-15*,1.30,3.32
0-0 1-0 15-15*,1.28,3.50
0-0 1-0 15-30*,1.30,3.32
0-0 1-0 30-30*,1.28,3.50
0-0 1-0 40-30*,1.20,4.25
0-0 1-0 40-40*,1.25,3.70
0-0 1-0 40-A*,1.28,3.50
0-0 1-0 A-40*,1.20,4.25
0-0 1-0 A-40*,1.25,3.70
0-0 1-0 40-A*,1.30,3.32
0-0 1-1 *0-0,1.34,3.10
0-0 1-1 *0-15,1.39,2.84
0-0 1-1 *0-30,1.48,2.53
0-0 1-1 *15-30,1.44,2.67
0-0 1-1 *30-30,1.37,2.92
0-0 1-1 *30-40,1.50,2.47
0-0 1-1 *40-A,1.49,2.49
0-0 1-2 0-0*,1.69,2.08
0-0 1-2 0-0*,1.78,1.96
0-0 1-2 0-0*,1.71,2.06
0-0 1-2 0-15*,1.78,1.96
0-0 1-2 0-30*,1.85,1.88
0-0 1-2 15-30*,1.78,1.96
0-0 1-2 30-30*,1.67,2.12
0-0 1-2 30-40*,1.80,1.94
0-0 1-2 40-40*,1.65,2.15
0-0 1-3 *0-0,1.91,1.82
0-0 1-3 *15-0,1.86,1.87
0-0 1-3 *30-0,1.81,1.92
0-0 1-3 *30-15,1.85,1.88
0-0 1-3 *40-15,1.80,1.93
0-0 1-3 *40-30,1.85,1.88
0-0 1-3 *40-30,1.77,1.97
0-0 1-3 *15-15,1.77,1.98
0-0 1-3 *15-15,1.75,1.99
0-0 1-3 *15-30,1.87,1.86
0-0 1-3 *15-40,1.98,1.77
0-0 1-3 *30-40,1.89,1.84
0-0 1-4 *0-0,2.03,1.73
0-0 2-4 *0-0,2.13,1.66
0-0 2-4 *15-0,2.07,1.70
0-0 2-4 *30-0,1.99,1.76
0-0 2-4 *40-0,1.93,1.81
0-0 2-4 *40-30,1.97,1.78
0-0 3-4 0-0*,1.91,1.82
0-0 3-4 0-0*,1.89,1.84
0-0 3-4 15-0*,1.73,2.02
0-0 3-4 15-30*,2.04,1.72
0-0 3-4 15-40*,2.04,1.72
0-0 3-5 *0-0,2.26,1.59
0-0 3-5 *0-15,2.26,1.59
0-0 3-5 *15-15,2.29,1.58
0-0 3-5 *30-15,2.20,1.62
0-0 3-5 *40-15,2.15,1.65
0-0 4-5 0-0*,2.12,1.67
0-0 4-5 0-15*,2.31,1.57
0-0 4-5 0-15*,2.49,1.49
0-0 4-5 15-15*,2.32,1.56
0-0 4-5 15-15*,2.29,1.58
0-0 4-5 30-15*,2.01,1.74
0-0 4-5 40-15*,1.71,2.05
0-0 4-5 40-15*,1.67,2.11
0-0 5-5 *0-0,1.39,2.86
0-0 5-5 *30-0,1.30,3.32
0-0 6-5 0-0*,1.28,3.45
0-0 6-5 0-15*,1.31,3.25
0-0 6-5 0-30*,1.37,2.96
0-0 6-5 0-40*,1.41,2.78
0-0 6-5 15-40*,1.38,2.88
0-0 6-6 *0-0,1.42,2.72
0-0 6-6 1-0*,1.33,3.14
0-0 6-6 1-1*,1.43,2.70
0-0 6-6 1-1*,1.41,2.77
0-0 6-6 *2-1,1.30,3.32
0-0 6-6 *3-1,1.22,4.00
0-0 6-6 4-1*,1.15,5.00
0-0 6-6 4-2*,1.20,4.25
0-0 6-6 *4-3,1.25,3.70
0-0 6-6 6-3*,1.13,5.40
1-0 7-6 0-0*,1.08,7.00
1-0 0-0 0-0*,1.08,7.00
1-0 0-0 15-0*,1.10,6.00
1-0 0-0 15-15*,1.11,6.00
1-0 0-0 15-30*,1.13,5.40
1-0 0-0 15-40*,1.14,5.20
