Score,P1 Odds,P2 Odds
-,3.14,1.33
0-0 0-1 30-40*,3.32,1.30
0-0 0-1 30-A*,3.92,1.23
0-0 0-1 30-A*,3.45,1.28
0-0 0-1 A-40*,3.04,1.35
0-0 0-1 A-40*,3.01,1.35
0-0 1-1 *0-0,2.61,1.45
0-0 1-1 *0-0,2.58,1.46
0-0 1-1 *15-0,2.40,1.53
0-0 1-1 *15-0,2.25,1.60
0-0 1-1 *15-15,2.26,1.59
0-0 1-1 *15-30,2.46,1.50
0-0 1-1 *15-30,2.47,1.50
0-0 1-1 *40-40,2.47,1.50
0-0 1-1 *40-A,2.81,1.40
0-0 1-1 *40-40,2.47,1.50
0-0 1-1 *A-40,2.22,1.61
0-0 1-1 *40-40,2.47,1.50
0-0 2-1 0-0*,2.03,1.73
0-0 2-1 0-0*,2.01,1.74
0-0 2-1 0-15*,2.14,1.65
0-0 2-1 15-15*,2.00,1.74
0-0 2-1 15-40*,2.31,1.57
0-0 2-1 15-40*,2.32,1.56
0-0 2-2 *0-0,2.41,1.52
0-0 2-2 *15-0,2.25,1.60
0-0 2-2 *15-15,2.42,1.52
0-0 2-2 *30-15,2.23,1.61
0-0 2-2 *30-15,2.24,1.60
0-0 2-2 *30-30,2.45,1.51
0-0 2-2 *30-40,2.85,1.39
0-0 2-2 *40-A,2.84,1.39
0-0 2-2 *40-40,2.45,1.51
0-0 2-2 *40-A,2.84,1.39
0-0 2-2 *A-40,2.18,1.63
0-0 2-2 *40-40,2.42,1.52
0-0 2-2 *40-40,2.46,1.50
0-0 2-2 *A-40,2.19,1.63
0-0 2-2 *40-40,2.47,1.50
0-0 2-2 *A-40,2.18,1.63
0-0 2-2 *40-40,2.44,1.51
0-0 2-2 *A-40,2.18,1.63
0-0 2-2 *A-40,2.00,1.75
0-0 2-2 *A-40,2.06,1.71
0-0 2-2 *A-15,2.19,1.63
0-0 2-2 *15-15,2.04,1.72
0-0 2-2 *30-15,1.85,1.88
0-0 2-2 *30-30,2.00,1.74
0-0 3-2 30-30*,2.00,1.74
0-0 3-2 30-40*,2.23,1.61
0-0 3-2 40-40*,1.98,1.76
0-0 3-2 40-40*,1.91,1.82
0-0 3-2 40-A*,2.09,1.69
0-0 3-2 40-40*,1.91,1.82
0-0 3-2 A-40*,1.71,2.05
0-0 3-2 A-40*,1.69,2.08
0-0 3-2 40-40*,1.87,1.85
0-0 3-2 40-A*,2.09,1.69
0-0 3-2 40-40*,1.91,1.82
0-0 3-2 40-40*,2.10,1.68
