Score,P1 Odds,P2 Odds
-,1.55,2.34
-,1.54,2.34
-,1.54,2.37
0-0 0-0 0-15*,1.59,2.27
0-0 0-0 0-30*,1.63,2.19
0-0 0-0 0-40*,1.65,2.16
0-0 0-0 0-40*,1.64,2.16
0-0 0-1 *0-0,1.67,2.12
0-0 0-1 *0-15,1.76,1.98
0-0 0-1 *15-15,1.69,2.09
0-0 0-1 *15-30,1.82,1.91
0-0 0-1 *15-40,2.08,1.70
0-0 0-2 0-0*,2.37,1.54
0-0 0-2 0-0*,2.65,1.44
0-0 0-2 0-15*,2.74,1.42
0-0 0-2 0-30*,2.84,1.39
0-0 0-2 0-40*,2.92,1.37
0-0 0-3 *0-0,2.95,1.37
0-0 0-3 *15-0,2.88,1.38
0-0 0-3 *15-0,2.90,1.38
0-0 0-3 *15-15,3.00,1.36
0-0 0-3 *30-15,2.89,1.38
0-0 0-3 *30-40,3.24,1.31
0-0 0-3 *40-40,3.08,1.34
0-0 0-3 *40-A,3.33,1.30
0-0 0-4 0-0*,3.70,1.25
0-0 0-4 15-0*,3.45,1.28
0-0 0-4 30-0*,3.35,1.30
0-0 0-4 30-0*,3.32,1.30
0-0 0-4 30-15*,3.45,1.28
0-0 0-4 30-30*,3.70,1.25
0-0 0-4 40-30*,3.32,1.30
0-0 0-4 40-40*,3.50,1.28
0-0 0-4 40-A*,3.75,1.25
0-0 0-5 *0-0,4.00,1.22
0-0 0-5 *0-15,4.00,1.22
0-0 0-5 *15-15,4.00,1.22
0-0 0-5 *30-15,3.96,1.22
0-0 0-5 *40-15,3.96,1.25
0-0 0-5 *40-15,3.80,1.25
0-0 1-5 0-0*,3.75,1.25
0-0 1-5 15-0*,3.70,1.25
0-0 1-5 15-15*,3.70,1.25
0-0 1-5 15-30*,3.92,1.23
0-0 1-5 30-30*,3.90,1.25
0-0 1-5 30-30*,3.70,1.25
0-0 1-5 30-30*,3.45,1.28
0-0 1-5 30-40*,3.70,1.25
0-0 1-5 30-A*,3.90,1.23
0-0 1-5 30-A*,3.80,1.25
0-0 1-5 30-40*,3.70,1.25
0-0 1-5 30-A*,3.90,1.25
0-0 1-5 30-A*,3.80,1.25
0-1 1-6 *0-0,4.00,1.22
0-1 1-6 *0-0,3.75,1.25
0-1 1-6 *0-15,4.25,1.20
0-1 1-6 *0-30,4.65,1.17
0-1 1-6 *15-30,4.25,1.20
0-1 0-0 *0-30,4.25,1.20
0-1 0-0 *30-30,4.60,1.17
0-1 0-0 *40-30,4.00,1.22
0-1 0-0 *40-40,4.60,1.17
0-1 0-0 *A-40,4.00,1.22
0-1 1-0 0-0*,3.75,1.25
0-1 1-0 0-0*,3.70,1.25
0-1 1-0 15-0*,3.32,1.30
0-1 1-0 15-15*,3.70,1.25
0-1 1-0 15-30*,4.00,1.22
0-1 1-0 15-40*,4.10,1.22
0-1 1-1 *0-0,4.25,1.20
0-1 1-1 *15-0,4.00,1.22
0-1 1-1 *15-0,4.25,1.20
0-1 1-1 *40-0,3.70,1.25
0-1 2-1 0-0*,3.70,1.25
0-1 2-1 15-15*,3.45,1.28
0-1 2-1 15-30*,3.80,1.25
0-1 2-1 15-40*,4.00,1.22
0-1 2-2 *0-0,4.00,1.22
0-1 2-2 *0-15,4.25,1.17
0-1 2-2 *0-15,4.65,1.17
0-1 2-2 *15-15,4.00,1.22
0-1 2-2 *15-15,4.50,1.17
0-1 2-2 *30-15,3.70,1.25
0-1 2-2 *30-30,4.25,1.20
0-1 2-2 *30-40,5.40,1.13
0-1 2-2 *40-40,4.30,1.17
0-1 2-2 *40-A,5.40,1.13
0-1 2-3 0-0*,8.50,1.04
0-1 2-3 0-15*,9.50,1.04
0-1 2-3 15-15*,8.50,1.05
0-1 2-3 30-15*,6.00,1.10
0-1 2-3 30-30*,8.00,1.06
0-1 2-3 30-40*,10.00,1.03
0-1 2-4 *0-0,12.00,1.02
0-1 2-4 *15-0,11.00,1.02
0-1 2-4 *30-0,10.00,1.03
0-1 2-4 *40-0,10.00,1.03
0-1 3-4 0-0*,10.00,1.03
0-1 3-4 0-15*,12.00,1.02
0-1 3-4 15-15*,9.50,1.04
0-1 3-4 30-15*,7.00,1.07
0-1 3-4 30-30*,9.50,1.04
0-1 3-4 30-40*,12.00,1.02
0-1 3-5 *0-0,14.00,1.01
0-1 3-5 *15-0,13.00,1.01
0-1 3-5 *40-0,13.00,1.01
0-1 3-5 *40-0,12.00,1.02
0-1 3-5 *15-0,8.50,1.04
0-1 3-5 *15-15,11.00,1.02
0-1 3-5 *15-30,21.00,1.005
0-1 3-5 *15-40,81.00,1.001
0-1 3-5 *30-40,34.00,1.004
0-1 3-5 *40-40,11.00,1.02
0-1 3-5 *40-A,17.00,1.005
0-1 4-5 40-A*,17.00,1.005
0-2 4-6 *0-0,1.001,1.001
