Score,P1 Odds,P2 Odds
-,2.05,1.71
-,2.10,1.68
0-0 0-0 0-30*,2.23,1.61
0-0 0-0 0-40*,2.27,1.59
0-0 0-0 15-40*,2.21,1.61
0-0 0-2 15-40*,2.91,1.38
0-0 0-2 40-40*,2.47,1.50
0-0 1-2 *0-0,1.99,1.76
0-0 1-2 *15-0,1.91,1.82
0-0 1-2 *15-15,2.01,1.74
0-0 1-2 *30-15,1.93,1.81
0-0 1-2 *30-30,2.06,1.71
0-0 1-2 *30-40,2.45,1.51
0-0 1-2 *40-40,2.23,1.61
0-0 1-3 0-0*,2.77,1.41
0-0 1-3 15-0*,2.52,1.48
0-0 1-3 15-15*,2.70,1.43
0-0 1-3 15-30*,2.93,1.37
0-0 1-3 15-40*,3.09,1.34
0-0 1-4 *0-0,3.14,1.33
0-0 1-4 *15-0,3.11,1.34
0-0 1-4 *30-0,3.11,1.34
0-0 2-4 0-0*,3.00,1.36
0-0 2-4 0-30*,3.32,1.30
0-0 2-4 0-40*,3.32,1.30
0-0 2-5 *0-0,3.45,1.28
0-0 2-5 *15-0,3.32,1.30
0-0 2-5 *30-0,3.32,1.30
0-0 2-5 *30-15,3.32,1.30
0-0 2-5 *30-15,3.33,1.30
0-0 3-5 0-0*,3.31,1.30
0-0 3-5 0-30*,3.70,1.25
0-0 3-5 15-30*,3.32,1.30
0-0 3-5 30-30*,3.09,1.34
0-0 3-5 30-40*,3.32,1.30
0-1 3-6 *0-0,3.96,1.22
0-1 3-6 *0-0,3.66,1.25
0-1 0-0 *0-15,3.66,1.25
0-1 0-0 *15-30,4.25,1.20
0-1 0-0 *30-30,3.70,1.25
0-1 0-0 *40-30,3.40,1.28
0-1 0-0 *40-40,4.25,1.20
0-1 1-0 0-0*,3.18,1.33
0-1 1-0 0-15*,3.32,1.30
0-1 1-0 15-15*,3.14,1.33
0-1 1-0 15-30*,3.32,1.30
0-1 1-0 15-30*,3.45,1.28
0-1 1-1 *0-0,3.70,1.25
0-1 1-1 *15-0,4.05,1.22
0-1 1-1 *15-15,4.60,1.17
0-1 1-1 *15-30,5.20,1.14
0-1 1-1 *15-40,6.00,1.10
0-1 1-1 *30-40,5.40,1.13
0-1 1-2 0-0*,8.50,1.05
0-1 1-2 0-0*,9.50,1.04
0-1 1-2 0-40*,10.00,1.03
0-1 1-3 *0-0,10.00,1.03
0-1 1-3 *15-0,10.00,1.03
0-1 1-3 *30-0,9.50,1.04
0-1 2-3 0-0*,9.50,1.04
0-1 2-3 0-0*,10.00,1.03
0-1 2-3 0-15*,10.00,1.02
0-1 2-3 0-30*,12.00,1.02
0-1 2-3 0-40*,12.00,1.02
0-1 2-3 0-30*,12.00,1.02
0-1 2-4 *0-0,12.00,1.01
0-1 2-4 *15-0,12.00,1.02
0-1 2-4 *30-0,12.00,1.02
0-1 2-4 *40-0,12.00,1.02
0-1 2-4 *30-15,12.00,1.02
0-1 3-4 0-0*,11.00,1.02
0-1 3-4 0-15*,13.00,1.01
0-1 3-4 0-40*,15.00,1.01
0-1 3-4 15-40*,14.00,1.01
0-1 3-5 *15-0,15.00,1.01
0-1 3-5 *30-0,14.00,1.01
0-1 3-5 *40-0,14.00,1.01
0-1 4-5 0-0*,14.00,1.01
0-1 4-5 0-15*,34.00,1.004
0-1 4-5 0-30*,81.00,1.001
0-1 4-5 0-40*,126.00,1.001
0-2 4-6 *0-0,1.001,1.001
