Score,P1 Odds,P2 Odds
-,3.08,1.34
0-0 0-0 15-0*,2.82,1.40
0-0 0-0 15-30*,3.27,1.31
0-0 0-0 15-40*,3.45,1.28
0-0 0-1 *0-0,3.70,1.25
0-0 0-1 *30-0,3.22,1.31
0-0 0-1 *40-15,3.14,1.33
0-0 1-1 0-0*,3.00,1.36
0-0 1-1 0-15*,3.20,1.33
0-0 1-1 30-15*,2.67,1.44
0-0 2-1 *30-15,1.95,1.79
0-0 2-1 *40-30,1.91,1.82
0-0 3-1 0-0*,1.78,1.96
0-0 3-1 0-15*,1.85,1.88
0-0 3-1 0-30*,1.93,1.81
0-0 3-1 15-40*,1.95,1.79
0-0 3-2 *0-0,2.00,1.75
0-0 3-2 *15-0,1.88,1.85
0-0 3-2 *30-0,1.79,1.94
0-0 3-2 *30-15,1.88,1.85
0-0 3-2 *30-30,2.04,1.72
0-0 3-2 *A-40,1.84,1.89
0-0 3-2 *A-40,1.85,1.88
0-0 3-2 *40-40,2.05,1.71
0-0 3-3 0-30*,3.33,1.30
0-0 3-3 15-30*,3.06,1.34
0-0 3-3 40-30*,2.32,1.56
0-0 4-3 *0-0,1.93,1.81
0-0 4-3 *0-15,2.11,1.67
0-0 4-3 *40-40,1.95,1.78
0-0 4-3 *A-40,1.73,2.03
0-0 5-3 15-0*,1.50,2.46
0-0 5-3 30-0*,1.43,2.68
1-0 6-3 *40-15,1.25,3.69
1-0 6-3 *40-30,1.30,3.32
1-0 0-0 *40-40,1.30,3.32
1-0 0-0 *A-40,1.36,2.98
1-0 0-0 *A-40,1.30,3.32
1-0 0-0 *A-40,1.36,2.97
1-0 0-0 *A-40,1.30,3.32
1-0 1-0 0-0*,1.25,3.70
1-0 1-0 0-15*,1.28,3.45
1-0 1-0 15-15*,1.23,3.90
1-0 1-0 15-40*,1.33,3.14
1-0 1-0 30-40*,1.30,3.32
1-0 1-0 40-40*,1.22,4.00
1-0 1-0 A-40*,1.17,4.65
1-0 1-0 40-40*,1.22,4.00
1-0 1-0 40-A*,1.30,3.32
1-0 1-0 40-A*,1.36,3.00
1-0 1-0 15-A*,1.31,3.26
1-0 1-0 30-15*,1.30,3.31
1-0 1-0 30-30*,1.36,2.96
1-0 1-0 30-40*,1.48,2.54
1-0 1-0 40-40*,1.37,2.92
1-0 1-0 40-40*,1.48,2.54
1-0 1-2 40-40*,1.61,2.22
1-0 1-2 40-A*,1.59,2.26
1-0 1-2 40-A*,1.73,2.03
1-0 1-2 40-A*,1.72,2.04
1-0 1-2 40-A*,1.59,2.27
1-0 1-2 A-40*,1.47,2.57
1-0 2-2 *0-0,1.35,3.05
1-0 3-2 30-40*,1.34,3.09
1-0 3-2 15-40*,1.23,3.90
1-0 4-2 0-40*,1.20,4.25
1-0 4-2 15-15*,1.20,4.25
1-0 4-2 15-30*,1.25,3.70
1-0 4-2 15-40*,1.30,3.32
1-0 4-2 30-40*,1.25,3.70
1-0 4-3 30-40*,1.25,3.70
1-0 4-3 40-40*,1.17,4.65
1-0 4-3 40-A*,1.25,3.70
1-0 5-5 *15-30,1.48,2.53
1-0 5-5 *15-40,1.67,2.13
1-0 5-5 *40-A,1.35,3.01
1-0 5-6 0-15*,1.99,1.75
1-0 5-6 15-15*,1.80,1.93
1-0 5-6 15-40*,2.21,1.62
1-1 5-7 *0-0,2.34,1.56
1-1 5-7 *0-0,2.05,1.71
1-1 5-7 *15-0,1.91,1.82
1-1 5-7 *30-0,1.79,1.95
1-1 5-7 *30-15,1.89,1.83
1-1 5-7 *30-30,2.10,1.68
1-1 0-0 *30-40,2.10,1.68
1-1 0-1 0-0*,3.27,1.31
1-1 0-1 0-15*,3.70,1.25
1-1 0-1 15-30*,3.70,1.25
1-1 0-1 30-30*,3.14,1.33
1-1 0-2 *0-0,4.60,1.17
1-1 0-2 *15-0,4.10,1.22
1-1 0-2 *30-0,3.70,1.25
1-1 1-2 0-0*,3.32,1.30
1-1 1-2 0-15*,4.00,1.22
1-1 1-2 0-30*,4.30,1.17
1-1 1-3 *0-15,5.90,1.11
1-1 1-3 *0-40,9.50,1.04
1-1 1-4 0-0*,10.00,1.03
1-1 1-4 15-0*,9.50,1.04
1-1 1-4 15-15*,10.00,1.03
1-1 1-4 15-30*,13.00,1.01
1-1 1-4 15-40*,17.00,1.005
1-1 1-5 *0-0,34.00,1.002
1-1 1-5 *15-0,34.00,1.005
1-1 1-5 *15-15,34.00,1.002
1-1 1-5 *30-15,21.00,1.005
1-1 2-5 0-0*,14.00,1.01
1-1 2-5 15-0*,12.00,1.02
1-1 2-5 30-0*,9.50,1.04
1-1 2-5 30-15*,12.00,1.02
1-1 2-5 40-15*,9.50,1.04
1-1 2-5 40-30*,10.00,1.03
1-1 3-5 *0-0,7.75,1.06
1-1 3-5 *0-15,9.50,1.04
