Score,P1 Odds,P2 Odds
-,1.22,4.00
0-0 0-0 0-15*,1.72,2.04
0-0 0-0 0-40*,1.85,1.88
0-0 0-1 *0-0,1.88,1.85
0-0 0-1 *40-0,1.69,2.09
0-0 1-1 0-0*,1.67,2.11
0-0 1-1 15-0*,1.58,2.29
0-0 1-1 15-15*,1.67,2.12
0-0 1-1 15-30*,1.75,2.00
0-0 1-1 15-40*,1.85,1.88
0-0 1-2 *0-0,1.90,1.83
0-0 1-2 *0-0,1.81,1.92
0-0 1-2 *30-15,1.82,1.91
0-0 1-2 *30-30,1.95,1.79
0-0 1-2 *40-30,1.79,1.95
0-0 2-2 0-0*,1.69,2.08
0-0 2-2 15-0*,1.59,2.27
0-0 2-2 15-15*,1.67,2.11
0-0 2-2 30-15*,1.56,2.33
0-0 2-2 40-15*,1.44,2.66
0-0 3-2 *0-0,1.37,2.96
0-0 3-2 *15-0,1.33,3.20
0-0 3-2 *30-15,1.31,3.22
0-0 3-2 *30-30,1.37,2.92
0-0 3-2 *40-30,1.30,3.32
0-0 3-2 *A-40,1.30,3.33
0-0 3-2 *40-A,1.51,2.44
0-0 3-2 *40-A,1.31,3.30
0-0 3-2 *40-A,1.38,2.91
0-0 3-2 *A-A,1.30,3.31
0-0 4-2 0-0*,1.25,3.70
0-0 4-2 15-0*,1.22,4.00
0-0 4-2 30-0*,1.20,4.25
0-0 4-2 40-0*,1.17,4.65
0-0 5-2 *0-0,1.14,5.20
0-0 5-2 *15-15,1.14,5.20
0-0 5-2 *15-30,1.17,4.65
0-0 5-2 *30-40,1.17,4.65
0-0 5-3 0-15*,1.22,4.00
0-0 5-3 15-15*,1.20,4.25
0-0 5-3 30-15*,1.17,4.65
0-0 5-3 40-30*,1.17,4.60
1-0 0-0 *0-0,1.13,5.40
1-0 0-0 *15-0,1.11,5.90
1-0 0-0 *30-15,1.11,5.90
1-0 1-0 0-0*,1.08,6.50
1-0 1-0 15-0*,1.06,7.75
1-0 1-0 15-30*,1.11,6.00
1-0 1-0 30-30*,1.08,6.50
1-0 1-0 40-40*,1.08,6.50
1-0 1-1 *0-0,1.14,5.20
1-0 1-1 *0-15,1.17,4.65
1-0 1-1 *15-15,1.14,5.20
1-0 1-1 *15-40,1.22,4.00
1-0 1-1 *30-40,1.20,4.25
1-0 1-2 0-0*,1.28,3.45
1-0 1-2 0-15*,1.31,3.28
1-0 1-2 30-15*,1.22,4.00
1-0 1-2 30-30*,1.28,3.50
1-0 1-3 *15-0,1.36,2.99
1-0 1-3 *40-0,1.31,3.26
1-0 2-3 0-0*,1.30,3.31
1-0 2-3 0-15*,1.35,3.03
1-0 2-3 0-30*,1.40,2.81
1-0 2-3 15-40*,1.42,2.74
1-0 2-4 *0-15,1.54,2.36
1-0 2-4 *15-15,1.50,2.47
1-0 2-4 *40-15,1.41,2.78
1-0 3-4 0-0*,1.39,2.86
1-0 3-4 15-30*,1.46,2.58
1-0 3-4 15-40*,1.54,2.37
1-0 3-5 *0-0,1.59,2.27
1-0 3-5 *0-15,1.65,2.15
1-0 3-5 *15-30,1.68,2.10
1-0 3-5 *30-40,1.72,2.04
1-1 0-0 0-0*,1.86,1.87
1-1 0-0 0-15*,2.01,1.74
1-1 0-0 0-30*,2.17,1.64
1-1 0-0 15-40*,2.21,1.62
1-1 0-1 *0-0,2.34,1.55
1-1 0-1 *0-15,2.68,1.43
1-1 0-1 *30-15,2.14,1.65
1-1 1-1 0-0*,1.87,1.86
1-1 1-1 0-15*,2.03,1.73
1-1 1-1 0-30*,2.18,1.63
1-1 1-2 *0-0,2.37,1.54
1-1 1-2 *30-15,2.17,1.64
1-1 2-2 0-0*,1.87,1.87
1-1 2-2 0-15*,2.04,1.72
1-1 2-2 15-15*,1.84,1.89
1-1 2-2 30-30*,1.84,1.89
1-1 2-2 40-30*,1.55,2.34
1-1 2-2 A-40*,1.83,1.89
1-1 2-2 40-40*,1.52,2.42
1-1 3-2 *0-0,1.30,3.32
1-1 3-2 *15-0,1.22,4.00
1-1 3-2 *15-15,1.30,3.32
1-1 4-2 0-0*,1.13,5.40
1-1 4-2 15-15*,1.13,5.40
1-1 4-2 15-40*,1.20,4.25
1-1 4-3 *0-0,1.22,4.00
1-1 4-3 *15-0,1.17,4.65
1-1 5-3 0-0*,1.07,7.50
1-1 5-3 15-0*,1.04,9.50
1-1 5-3 30-0*,1.02,12.00
1-1 5-3 30-15*,1.04,9.50
1-1 5-3 30-40*,1.11,6.00
1-1 5-3 40-40*,1.11,6.00
1-1 5-3 A-40*,1.02,11.00
2-1 6-3 0-0*,1.001,1.001
