Score,P1 Odds,P2 Odds
-,1.16,4.80
0-0 0-0 15-15*,1.16,4.80
0-0 0-0 15-40*,1.22,4.10
0-0 0-1 *0-0,1.22,3.96
0-0 0-1 *15-15,1.22,3.96
0-0 0-1 *40-15,1.17,4.60
0-0 0-1 *40-30,1.17,4.65
0-0 0-1 *30-30,1.13,5.40
0-0 0-1 *30-30,1.11,6.00
0-0 2-1 *0-0,1.10,6.00
0-0 2-1 *0-15,1.13,5.40
0-0 2-1 *0-30,1.17,4.60
0-0 2-2 0-0*,1.20,4.25
0-0 2-2 30-0*,1.13,5.40
0-0 2-2 30-15*,1.15,5.00
0-0 2-2 30-30*,1.20,4.25
0-0 2-2 40-40*,1.20,4.25
0-0 2-2 40-A*,1.25,3.70
0-0 2-2 40-40*,1.20,4.25
0-0 2-2 A-40*,1.20,4.25
0-0 2-2 40-40*,1.17,4.65
0-0 3-2 *0-0,1.12,5.70
0-0 3-2 *15-15,1.13,5.40
0-0 3-2 *30-30,1.13,5.40
0-0 3-2 *40-30,1.10,6.00
0-0 3-2 *15-15,1.10,6.00
0-0 3-2 *15-40,1.13,5.40
0-0 3-2 *30-40,1.13,5.40
0-0 3-3 *0-0,1.14,5.20
0-0 4-3 *30-0,1.10,6.00
0-0 5-3 0-0*,1.08,6.50
0-0 5-3 30-0*,1.05,8.50
0-0 5-3 40-0*,1.04,9.50
1-0 6-3 *0-0,1.04,9.50
1-0 6-3 *15-0,1.03,10.00
1-0 0-0 *15-15,1.04,9.50
1-0 0-0 *40-15,1.03,10.00
1-0 0-0 *40-30,1.03,10.00
1-0 1-0 0-0*,1.02,11.00
1-0 1-0 15-0*,1.02,12.00
1-0 1-0 15-15*,1.02,11.00
1-0 1-0 15-30*,1.03,10.00
1-0 1-0 15-40*,1.04,9.50
1-0 1-1 *15-15,1.05,8.50
1-0 1-1 *30-30,1.05,8.50
1-0 1-2 0-0*,1.13,5.40
1-0 1-2 0-15*,1.14,5.20
1-0 1-2 0-40*,1.17,4.60
1-0 1-3 *15-15,1.20,4.25
1-0 1-3 *40-15,1.17,4.65
1-0 1-3 *40-40,1.22,4.05
1-0 1-3 *A-40,1.17,4.60
1-0 1-3 *40-40,1.20,4.25
1-0 1-3 *A-40,1.17,4.60
1-0 2-3 0-0*,1.15,4.80
1-0 2-3 0-15*,1.17,4.60
1-0 2-3 0-40*,1.22,4.00
1-0 2-4 *0-15,1.22,3.66
1-0 2-4 *30-15,1.22,4.00
1-0 2-4 *30-15,1.25,3.78
1-0 3-4 0-0*,1.20,4.25
1-0 3-4 0-30*,1.25,3.70
1-0 3-4 15-30*,1.22,4.00
1-0 3-4 15-30*,1.25,3.70
1-0 3-5 *0-0,1.31,3.24
1-0 3-5 *30-30,1.35,3.05
1-1 3-6 0-0*,1.54,2.37
1-1 3-6 0-0*,1.58,2.29
1-1 3-6 0-0*,1.57,2.31
1-1 3-6 15-15*,1.57,2.31
1-1 0-0 15-40*,1.79,1.94
1-1 0-1 *15-0,1.75,2.00
1-1 0-1 *40-0,1.59,2.26
1-1 1-1 0-0*,1.56,2.33
1-1 1-1 0-15*,1.66,2.14
1-1 1-1 30-15*,1.40,2.81
1-1 1-1 40-30*,1.28,3.45
1-1 2-1 *0-0,1.17,4.60
1-1 2-1 *0-15,1.25,3.70
1-1 2-1 *15-30,1.28,3.45
1-1 2-1 *30-40,1.34,3.10
1-1 2-1 *40-40,1.20,4.25
1-1 3-1 0-0*,1.10,6.00
1-1 3-1 15-15*,1.10,6.00
1-1 3-1 40-15*,1.03,10.00
1-1 4-1 *0-0,1.01,13.00
1-1 4-1 *0-30,1.04,9.50
1-1 4-1 *30-30,1.01,12.00
1-1 4-1 *30-30,1.05,8.50
1-1 4-1 *40-30,1.03,10.00
1-1 4-2 0-0*,1.11,5.90
1-1 4-2 0-15*,1.14,5.20
1-1 4-2 15-15*,1.11,5.90
1-1 4-2 15-30*,1.14,5.20
1-1 4-2 30-30*,1.11,6.00
1-1 4-2 40-40*,1.11,6.00
1-1 4-2 A-40*,1.05,8.50
1-1 5-2 *0-0,1.01,13.00
1-1 5-2 *15-15,1.01,13.00
1-1 5-2 *15-30,1.02,11.00
1-1 5-3 0-0*,1.06,7.50
1-1 5-3 30-15*,1.04,9.50
1-1 5-3 40-15*,1.01,14.00
2-1 6-3 0-0*,1.001,1.001
