Score,P1 Odds,P2 Odds
-,8.50,1.05
0-0 2-4 40-30*,9.50,1.04
0-0 2-4 15-30*,10.00,1.03
0-0 2-4 30-30*,9.50,1.04
0-0 2-4 40-40*,9.50,1.04
0-0 2-4 A-40*,8.50,1.05
0-0 4-4 0-0*,7.00,1.07
0-0 4-4 15-30*,8.00,1.06
0-0 4-4 30-30*,6.00,1.10
0-0 4-4 40-30*,4.65,1.17
0-0 4-4 40-40*,6.00,1.11
0-0 4-4 A-40*,4.65,1.17
0-0 4-4 40-A*,8.00,1.06
0-0 4-5 *0-0,9.50,1.04
0-0 4-5 *15-15,9.50,1.04
0-0 4-5 *15-40,14.00,1.01
0-0 4-5 *30-40,12.00,1.02
0-0 4-5 *A-40,7.75,1.06
0-0 4-5 *40-40,7.75,1.06
0-0 4-5 *A-40,7.75,1.06
0-0 4-5 *A-40,9.50,1.04
0-0 4-5 *40-A,9.50,1.04
0-0 4-5 *A-40,7.75,1.06
0-0 5-5 15-0*,5.40,1.13
0-0 5-5 15-40*,8.00,1.06
0-0 5-6 *0-0,8.50,1.05
0-0 5-6 *15-0,6.50,1.08
0-0 5-6 *15-0,8.50,1.05
0-0 5-6 *30-0,6.50,1.08
0-0 5-6 *40-30,6.00,1.10
0-0 5-6 *40-40,8.50,1.05
0-0 5-6 *A-40,6.00,1.10
0-0 6-6 0-0*,5.40,1.13
0-0 6-6 *0-1,6.50,1.09
0-0 6-6 2-1*,4.60,1.17
0-0 6-6 3-1*,4.25,1.20
0-0 6-6 *4-2,3.14,1.33
0-0 6-6 *4-2,3.18,1.33
0-0 6-6 4-3*,3.75,1.25
0-0 6-6 *5-4,3.32,1.30
0-0 6-6 *6-4,2.72,1.43
1-0 0-0 *0-0,2.19,1.63
1-0 0-0 *0-0,2.37,1.54
1-0 0-0 *15-0,2.35,1.55
1-0 0-0 *30-0,2.25,1.60
1-0 0-0 *40-15,2.21,1.61
1-0 1-0 0-0*,2.11,1.67
1-0 1-0 0-15*,2.22,1.61
1-0 1-0 0-40*,2.37,1.54
1-0 1-1 *0-15,2.61,1.46
1-0 1-1 *0-40,3.31,1.30
1-0 1-1 *15-40,3.14,1.33
1-0 1-1 *30-40,2.85,1.39
1-0 1-2 0-0*,3.45,1.28
1-0 1-2 0-15*,3.70,1.25
1-0 1-2 30-15*,3.14,1.33
1-0 1-2 30-30*,3.35,1.30
1-0 1-3 *0-0,4.00,1.22
1-0 1-3 *15-0,3.70,1.25
1-0 1-3 *30-0,3.70,1.25
1-0 2-3 0-0*,3.40,1.28
1-0 2-3 15-0*,3.13,1.33
1-0 2-3 15-30*,3.70,1.25
1-0 2-3 30-40*,3.70,1.25
1-0 2-3 40-40*,3.14,1.33
1-0 2-3 A-40*,2.84,1.39
1-0 2-4 *0-0,3.96,1.22
1-0 2-4 *15-15,4.00,1.22
1-0 2-4 *15-30,4.00,1.22
1-0 2-4 *30-30,4.00,1.22
1-0 2-4 *40-30,3.70,1.25
1-0 3-4 0-0*,3.45,1.28
1-0 3-4 0-15*,3.70,1.25
1-0 3-4 15-30*,3.70,1.25
1-0 3-5 *0-0,4.00,1.22
1-0 3-5 *0-15,4.25,1.20
1-0 3-5 *0-30,4.60,1.17
1-1 3-6 0-0*,4.65,1.17
1-1 3-6 0-30*,5.40,1.13
1-1 3-6 15-30*,5.20,1.14
1-1 0-0 30-30*,5.20,1.14
1-1 0-1 *0-0,5.70,1.11
1-1 0-1 *15-15,5.70,1.12
1-1 0-1 *40-15,4.65,1.17
1-1 1-1 0-0*,4.25,1.20
1-1 1-1 15-0*,3.50,1.28
1-1 1-1 15-15*,4.00,1.22
1-1 1-1 30-30*,3.10,1.34
1-1 1-1 30-A*,4.65,1.17
1-1 1-2 *0-0,5.20,1.14
1-1 1-2 *0-30,7.50,1.06
1-1 1-2 *0-40,10.00,1.04
1-1 1-2 *30-40,6.50,1.08
1-1 1-2 *30-40,7.00,1.07
1-1 1-3 0-0*,12.00,1.02
1-1 1-3 15-0*,9.50,1.04
1-1 1-3 30-15*,9.50,1.04
1-1 1-3 40-15*,6.50,1.08
1-1 1-3 40-40*,11.00,1.02
1-1 1-3 A-40*,7.50,1.06
1-1 2-3 *0-0,5.20,1.14
1-1 2-3 *0-15,6.00,1.10
1-1 2-3 *0-30,8.00,1.06
1-1 2-3 *30-30,5.20,1.14
1-1 2-3 *30-40,7.50,1.06
1-1 2-3 *40-40,5.40,1.13
1-1 2-3 *40-A,7.00,1.07
1-1 2-4 0-0*,12.00,1.02
1-1 2-4 0-30*,21.00,1.005
1-1 2-4 0-40*,34.00,1.002
1-1 2-5 *0-0,41.00,1.002
1-1 2-5 *30-0,34.00,1.005
1-1 2-5 *30-15,34.00,1.004
