Score,P1 Odds,P2 Odds
-,5.40,1.13
0-0 0-1 *0-0,6.00,1.10
0-0 0-1 *15-0,6.00,1.11
0-0 0-1 *30-0,5.40,1.13
0-0 0-1 *40-0,5.40,1.13
0-0 1-1 0-0*,5.40,1.13
0-0 1-1 0-15*,5.40,1.13
0-0 1-1 15-30*,5.40,1.13
0-0 1-1 30-40*,5.20,1.14
0-0 1-1 40-40*,5.20,1.14
0-0 1-1 A-40*,4.30,1.20
0-0 1-1 40-40*,5.20,1.14
0-0 1-1 40-40*,4.25,1.20
0-0 1-1 40-40*,4.80,1.16
0-0 1-1 40-A*,5.40,1.13
0-0 1-2 *0-0,6.00,1.11
0-0 1-2 *0-15,6.00,1.10
0-0 1-2 *15-15,6.00,1.10
0-0 1-2 *15-30,6.50,1.08
0-0 1-2 *30-30,6.00,1.11
0-0 1-2 *30-40,7.00,1.07
0-0 1-2 *40-40,6.00,1.11
0-0 1-2 *A-40,5.40,1.13
0-0 2-2 0-0*,5.20,1.14
0-0 2-2 15-0*,4.60,1.17
0-0 2-2 15-30*,5.20,1.14
0-0 2-2 15-40*,6.00,1.11
0-0 2-2 15-40*,5.40,1.13
0-0 2-2 30-40*,5.20,1.14
0-0 2-2 40-15*,5.20,1.14
0-0 2-2 40-30*,5.40,1.13
0-0 2-2 40-40*,6.00,1.11
0-0 2-3 *A-40,5.40,1.13
0-0 3-3 0-0*,5.20,1.14
0-0 3-3 0-15*,5.20,1.14
0-0 3-3 0-30*,5.40,1.13
0-0 3-3 0-40*,5.50,1.13
0-0 3-4 *0-0,5.90,1.11
0-0 3-4 *0-0,5.40,1.13
0-0 3-4 *15-15,6.00,1.11
0-0 3-4 *30-15,5.40,1.13
0-0 3-4 *30-30,6.00,1.11
0-0 3-4 *40-40,6.00,1.11
0-0 3-4 *A-40,5.40,1.14
0-0 3-4 *40-40,6.00,1.11
0-0 3-4 *40-A,7.50,1.07
0-0 3-4 *40-40,6.00,1.11
0-0 3-4 *40-A,7.50,1.07
0-0 3-4 *40-A,7.50,1.06
0-0 3-5 0-0*,10.00,1.03
0-0 3-5 0-15*,11.00,1.02
0-0 3-5 15-15*,10.00,1.03
0-0 3-5 15-30*,11.00,1.02
0-0 3-5 15-40*,12.00,1.02
0-1 3-6 *0-0,12.00,1.02
0-1 0-0 *0-15,11.00,1.02
0-1 0-0 *30-15,9.50,1.04
0-1 0-0 *40-15,9.50,1.04
0-1 0-0 *40-30,9.50,1.04
0-1 1-0 0-0*,8.50,1.05
0-1 1-0 0-15*,9.50,1.04
0-1 1-0 0-30*,9.50,1.04
0-1 1-0 15-30*,9.50,1.04
0-1 1-0 15-40*,9.50,1.04
0-1 1-0 30-40*,8.50,1.05
0-1 1-0 40-40*,8.00,1.06
0-1 1-0 40-15*,8.50,1.05
0-1 2-0 0-0*,8.00,1.06
0-1 2-0 0-15*,8.50,1.05
0-1 2-0 0-30*,8.50,1.05
0-1 2-1 0-30*,8.50,1.05
0-1 2-1 0-40*,9.50,1.04
0-1 2-2 *0-0,9.50,1.04
0-1 2-2 *30-0,8.00,1.06
0-1 2-2 *30-15,8.50,1.05
0-1 2-2 *40-15,7.75,1.06
0-1 3-2 0-0*,7.50,1.06
0-1 3-2 0-0*,7.50,1.07
0-1 3-2 0-15*,8.00,1.06
0-1 3-2 0-40*,8.50,1.05
0-1 3-3 *0-0,8.50,1.05
0-1 3-3 *0-15,9.50,1.04
0-1 3-3 *0-30,12.00,1.02
0-1 3-3 *0-40,14.00,1.01
0-1 3-4 0-0*,21.00,1.005
0-1 3-4 15-0*,13.00,1.01
0-1 3-4 30-0*,11.00,1.02
0-1 3-4 30-15*,12.00,1.02
0-1 3-4 40-15*,10.00,1.03
0-1 3-4 40-30*,12.00,1.02
0-1 4-4 *0-0,8.50,1.05
0-1 4-4 *0-15,10.00,1.04
0-1 4-4 *0-30,12.00,1.02
0-1 4-4 *15-30,10.00,1.03
0-1 5-4 0-0*,6.00,1.10
0-1 5-4 0-15*,6.50,1.08
0-1 5-4 0-30*,7.50,1.06
0-1 5-4 0-40*,8.00,1.06
0-1 5-5 *0-0,8.50,1.05
0-1 5-5 *15-0,7.00,1.07
0-1 5-5 *15-0,7.50,1.06
0-1 5-5 *15-15,8.50,1.05
0-1 5-5 *30-15,8.50,1.05
0-1 5-5 *30-30,8.50,1.05
0-1 5-5 *30-40,10.00,1.03
0-1 5-6 0-0*,34.00,1.002
0-1 5-6 0-15*,51.00,1.002
0-1 5-6 0-30*,101.00,1.001
0-1 5-6 0-40*,126.00,1.001
0-1 5-6 15-40*,101.00,1.001
