Score,P1 Odds,P2 Odds
-,1.62,2.20
0-0 0-0 0-15*,1.61,2.23
0-0 0-0 0-15*,1.60,2.24
0-0 0-0 15-15*,1.54,2.37
0-0 0-0 30-15*,1.46,2.61
0-0 0-0 30-30*,1.53,2.40
0-0 0-0 40-30*,1.41,2.75
0-0 1-0 *0-0,1.30,3.31
0-0 1-0 *0-15,1.35,3.02
0-0 1-0 *15-15,1.31,3.26
0-0 1-0 *15-30,1.36,2.96
0-0 1-0 *30-30,1.31,3.25
0-0 1-0 *30-30,1.33,3.16
0-0 1-1 0-15*,1.62,2.20
0-0 1-1 15-30*,1.70,2.08
0-0 1-1 30-30*,1.64,2.17
0-0 1-2 *0-0,1.74,2.00
0-0 1-2 *15-0,1.67,2.11
0-0 1-2 *40-0,1.58,2.27
0-0 1-2 *40-30,1.66,2.13
0-0 1-2 *40-A,1.96,1.78
0-0 1-3 0-15*,2.49,1.49
0-0 1-4 *0-0,2.79,1.41
0-0 1-4 *0-15,2.93,1.37
0-0 1-4 *15-30,2.96,1.36
0-0 1-4 *30-30,2.81,1.40
0-0 1-4 *40-40,2.81,1.40
0-0 2-4 0-0*,2.81,1.40
0-0 2-4 0-40*,3.31,1.30
0-0 2-5 *0-0,3.32,1.30
0-0 2-5 *0-15,3.32,1.28
0-0 2-5 *30-15,3.24,1.31
0-0 2-5 *40-15,3.14,1.33
0-0 3-5 0-0*,3.08,1.34
0-0 3-5 0-30*,3.32,1.28
0-0 3-5 15-30*,3.32,1.30
0-0 3-5 30-40*,3.32,1.30
0-1 0-0 *0-0,3.70,1.25
0-1 1-1 *30-30,3.90,1.23
0-1 1-1 *40-40,3.70,1.25
0-1 1-1 *40-A,4.60,1.17
0-1 1-2 0-0*,6.00,1.10
0-1 1-2 15-0*,5.40,1.13
0-1 1-2 15-15*,6.00,1.10
0-1 1-2 15-40*,8.00,1.05
0-1 1-3 *0-0,8.50,1.05
0-1 1-3 *30-0,7.50,1.06
0-1 2-3 0-0*,6.50,1.08
0-1 2-3 0-30*,9.50,1.04
0-1 2-3 15-30*,7.75,1.06
0-1 2-4 *0-0,9.50,1.04
0-1 2-4 *40-0,8.00,1.05
0-1 3-4 0-0*,7.75,1.06
1-1 3-1 *15-0,1.08,6.50
1-1 3-1 *15-15,1.13,5.40
1-1 3-1 *15-40,1.30,3.31
1-1 3-1 *30-40,1.25,3.70
1-1 3-1 *A-40,1.08,6.50
1-1 4-1 15-0*,1.03,10.00
1-1 4-1 30-0*,1.02,12.00
1-1 4-1 30-30*,1.04,9.50
1-1 4-2 *0-0,1.08,6.50
1-1 4-2 *30-0,1.04,9.50
1-1 4-2 *30-15,1.06,8.00
1-1 4-2 *30-30,1.11,5.90
1-1 5-2 0-0*,1.02,12.00
1-1 5-2 0-15*,1.03,10.00
1-1 5-2 15-30*,1.03,10.00
1-1 5-3 *0-0,1.04,9.50
1-1 5-3 *30-15,1.01,12.00
1-1 5-3 *40-30,1.01,14.00
1-1 5-5 *30-15,1.65,2.15
1-1 5-5 *30-30,1.93,1.80
1-1 5-5 *40-40,1.86,1.87
1-1 5-5 *A-40,1.59,2.27
1-1 6-5 0-0*,1.45,2.63
1-1 6-5 0-0*,1.43,2.69
1-1 6-5 15-30*,1.59,2.27
1-1 6-5 15-40*,1.73,2.03
1-1 6-6 *0-0,1.89,1.83
1-1 6-6 2-0*,1.23,3.90
1-1 6-6 *3-0,1.13,5.40
1-1 6-6 *4-0,1.04,9.50
1-1 6-6 4-1*,1.11,6.00
1-1 6-6 4-2*,1.20,4.25
1-1 6-6 *4-3,1.31,3.25
1-1 6-6 *5-3,1.17,4.65
1-1 6-6 6-3*,1.03,10.00
2-1 7-6 0-0*,1.001,1.001
