Score,P1 Odds,P2 Odds
-,1.83,1.90
-,1.72,2.04
0-0 1-1 15-15*,1.73,2.03
0-0 1-1 30-30*,1.69,2.08
0-0 1-1 40-30*,1.54,2.37
0-0 1-1 40-40*,1.67,2.11
0-0 1-1 A-40*,1.53,2.39
0-0 2-1 *0-0,1.38,2.90
0-0 2-1 *15-15,1.39,2.85
0-0 2-1 *30-15,1.34,3.08
0-0 3-1 0-0*,1.30,3.32
0-0 3-1 0-30*,1.33,3.14
0-0 3-1 0-40*,1.34,3.09
0-0 3-2 *0-0,1.34,3.06
0-0 3-2 *0-15,1.42,2.72
0-0 3-2 *30-15,1.31,3.26
0-0 3-2 *40-15,1.28,3.45
0-0 4-2 0-0*,1.28,3.45
0-0 4-2 15-0*,1.25,3.70
0-0 4-2 30-15*,1.22,4.00
0-0 4-2 40-15*,1.20,4.25
0-0 4-2 40-40*,1.28,3.50
0-0 4-2 40-A*,1.30,3.35
0-0 4-2 40-40*,1.28,3.50
0-0 5-2 *0-0,1.17,4.65
0-0 5-2 *30-0,1.16,4.80
0-0 5-2 *40-0,1.15,5.00
1-0 6-2 0-0*,1.13,5.40
1-0 6-2 15-0*,1.10,6.00
1-0 6-2 30-0*,1.06,7.50
1-0 6-2 30-15*,1.10,6.00
1-0 6-2 30-30*,1.11,5.90
1-0 0-1 *0-0,1.17,4.65
1-0 0-1 *15-0,1.13,5.40
1-0 0-1 *15-15,1.11,6.00
1-0 0-1 *15-30,1.13,5.40
1-0 0-1 *30-30,1.11,5.90
1-0 0-1 *30-40,1.14,5.20
1-0 0-2 0-0*,1.22,4.00
1-0 0-2 0-15*,1.25,3.70
1-0 0-2 0-30*,1.28,3.45
1-0 0-2 15-30*,1.28,3.45
1-0 0-2 30-30*,1.25,3.70
1-0 0-2 30-40*,1.30,3.32
1-0 0-2 40-A*,1.30,3.32
1-0 0-2 A-40*,1.17,4.60
1-0 0-2 40-40*,1.22,3.96
1-0 0-2 40-40*,1.30,3.35
1-0 0-3 *0-0,1.33,3.14
1-0 0-3 *15-0,1.31,3.28
1-0 0-3 *30-0,1.30,3.32
1-0 0-3 *40-0,1.30,3.32
1-0 1-3 15-0*,1.25,3.75
1-0 1-3 30-15*,1.22,3.98
1-0 1-3 40-15*,1.17,4.65
1-0 2-3 *0-0,1.14,5.20
1-0 2-3 *15-0,1.13,5.40
1-0 2-3 *15-15,1.13,5.40
1-0 2-3 *15-30,1.14,5.20
1-0 2-3 *40-30,1.13,5.40
1-0 2-3 *40-40,1.16,4.80
1-0 2-3 *A-40,1.13,5.40
1-0 2-3 *40-40,1.17,4.65
1-0 2-3 *40-A,1.22,4.00
1-0 2-4 0-0*,1.22,4.00
1-0 2-4 0-15*,1.36,3.00
1-0 2-4 0-30*,1.40,2.81
1-0 2-4 0-40*,1.43,2.71
1-0 2-5 *0-0,1.44,2.65
1-0 2-5 *15-0,1.42,2.72
1-0 2-5 *30-0,1.41,2.77
1-0 2-5 *40-0,1.40,2.81
1-0 2-5 *40-15,1.41,2.78
1-0 3-5 0-0*,1.39,2.84
1-0 3-5 0-15*,1.44,2.65
1-0 3-5 0-30*,1.49,2.50
1-0 3-5 15-30*,1.44,2.65
1-0 3-5 15-40*,1.51,2.45
1-1 3-6 *0-0,1.54,2.37
1-1 0-0 *0-0,1.54,2.37
1-1 0-0 *0-15,1.67,2.11
1-1 0-0 *0-15,1.70,2.07
1-1 0-0 *0-30,1.93,1.80
1-1 0-0 *15-30,1.73,2.02
1-1 0-0 *30-30,1.61,2.22
1-1 0-0 *40-30,1.47,2.57
1-1 0-0 *40-40,1.64,2.16
1-1 1-0 0-0*,1.37,2.92
1-1 1-0 0-15*,1.44,2.67
1-1 1-0 15-15*,1.37,2.93
1-1 1-0 15-15*,1.36,2.98
1-1 1-0 30-15*,1.28,3.45
1-1 1-0 40-15*,1.17,4.65
1-1 1-0 40-30*,1.22,4.00
1-1 1-0 40-40*,1.33,3.14
1-1 1-0 40-A*,1.45,2.63
1-1 1-1 *0-0,1.54,2.37
1-1 1-1 *15-0,1.47,2.56
1-1 1-1 *30-0,1.42,2.74
1-1 1-1 *40-0,1.39,2.84
1-1 2-1 0-0*,1.37,2.94
1-1 2-1 15-0*,1.28,3.40
1-1 2-1 15-15*,1.37,2.95
1-1 2-1 30-15*,1.25,3.70
1-1 2-1 30-30*,1.34,3.11
1-1 2-1 40-30*,1.20,4.25
1-1 3-1 *0-0,1.08,6.50
1-1 3-1 *15-0,1.06,8.00
1-1 3-1 *30-15,1.05,8.50
1-1 3-1 *40-15,1.04,9.50
1-1 3-1 *40-30,1.05,8.50
1-1 4-1 0-0*,1.03,10.00
1-1 4-1 0-15*,1.04,9.50
1-1 4-1 15-15*,1.03,10.00
1-1 4-1 30-30*,1.03,10.00
1-1 4-1 30-40*,1.04,9.50
1-1 4-1 40-40*,1.02,11.00
1-1 4-1 40-A*,1.04,9.50
1-1 4-2 *0-0,1.05,8.50
1-1 4-2 *15-0,1.03,10.00
1-1 4-2 *15-15,1.06,7.50
1-1 4-2 *30-15,1.04,9.50
1-1 4-2 *40-15,1.02,12.00
1-1 5-2 0-0*,1.01,13.00
1-1 5-2 0-15*,1.02,12.00
1-1 5-2 15-15*,1.01,13.00
1-1 5-2 30-15*,1.005,17.00
1-1 5-2 40-15*,1.005,17.00
2-1 6-2 *0-0,1.001,1.001
