Score,P1 Odds,P2 Odds
-,1.35,3.04
-,1.43,2.68
-,1.51,2.45
-,1.62,2.21
0-0 0-1 40-0*,1.67,2.11
0-0 0-1 40-30*,1.81,1.93
0-0 0-1 40-40*,1.99,1.76
0-0 0-1 40-A*,2.15,1.65
0-0 0-1 40-A*,2.14,1.65
0-0 0-2 *0-0,2.33,1.56
0-0 0-2 *0-15,2.47,1.50
0-0 0-2 *15-30,2.50,1.49
0-0 0-2 *30-30,2.35,1.55
0-0 0-2 *40-30,2.17,1.64
0-0 0-2 *30-30,2.17,1.64
0-0 0-2 *30-A,2.61,1.45
0-0 0-2 *30-40,2.36,1.54
0-0 0-2 *A-40,2.17,1.64
0-0 1-2 0-0*,2.05,1.71
0-0 1-2 15-0*,1.91,1.82
0-0 1-2 15-15*,2.02,1.73
0-0 1-2 15-30*,2.18,1.64
0-0 1-2 15-40*,2.31,1.57
0-0 1-3 *15-0,2.26,1.59
0-0 1-3 *30-0,2.17,1.64
0-0 1-3 *30-15,2.25,1.59
0-0 1-3 *40-15,2.14,1.65
0-0 2-3 0-0*,2.09,1.69
0-0 2-3 0-15*,2.23,1.61
0-0 2-3 0-15*,2.21,1.61
0-0 2-3 0-30*,2.35,1.55
0-0 2-3 0-40*,2.46,1.50
0-0 2-3 15-40*,2.40,1.53
0-0 2-4 *0-0,2.50,1.49
0-0 2-4 *15-0,2.39,1.53
0-0 2-4 *30-0,2.30,1.57
0-0 2-4 *40-15,2.26,1.59
0-0 3-4 0-0*,2.20,1.62
0-0 3-4 0-0*,2.19,1.63
0-0 3-4 15-0*,1.99,1.75
0-0 3-4 15-15*,2.17,1.64
0-0 3-4 15-30*,2.39,1.53
0-0 3-4 15-40*,2.62,1.45
0-0 3-4 30-40*,2.45,1.51
0-0 3-5 *0-0,2.77,1.41
0-0 3-5 *15-0,2.65,1.44
0-0 3-5 *15-15,2.81,1.40
0-0 3-5 *30-15,2.65,1.44
0-0 4-5 0-0*,2.44,1.51
0-0 4-5 0-15*,2.71,1.43
0-0 4-5 15-15*,2.39,1.53
0-0 4-5 30-15*,2.06,1.71
0-0 4-5 40-15*,1.79,1.95
0-0 4-5 40-30*,1.97,1.77
0-0 4-5 40-40*,2.33,1.56
0-0 4-5 40-A*,2.84,1.39
0-1 0-0 *0-0,3.32,1.30
0-1 0-0 *0-0,3.24,1.31
0-1 0-0 *30-0,2.84,1.39
0-1 0-0 *40-0,2.75,1.41
0-1 1-0 0-0*,2.69,1.43
0-1 1-0 15-0*,2.50,1.49
0-1 1-0 30-0*,2.32,1.56
0-1 1-0 40-15*,2.23,1.61
0-1 1-0 40-30*,2.35,1.55
0-1 1-0 40-40*,2.61,1.45
0-1 1-0 A-40*,2.35,1.55
0-1 2-0 *0-0,1.96,1.78
0-1 2-0 *0-0,1.79,1.95
0-1 2-0 *0-15,1.88,1.85
0-1 2-0 *15-15,1.80,1.93
0-1 2-0 *40-15,1.67,2.11
0-1 3-0 0-0*,1.65,2.16
0-1 3-0 0-0*,1.64,2.16
0-1 3-0 0-30*,1.72,2.04
0-1 3-0 0-30*,1.71,2.05
0-1 3-0 15-30*,1.68,2.10
0-1 3-0 30-30*,1.64,2.17
0-1 3-0 30-40*,1.70,2.08
0-1 3-0 40-40*,1.63,2.18
0-1 3-1 *0-0,1.75,2.00
0-1 3-1 *30-0,1.65,2.14
0-1 3-1 *30-15,1.69,2.08
0-1 3-1 *40-15,1.64,2.17
0-1 3-1 *40-30,1.69,2.09
0-1 3-1 *40-40,1.77,1.97
0-1 3-1 *40-A,1.95,1.79
0-1 3-1 *40-40,1.80,1.94
0-1 3-1 *40-40,1.94,1.79
0-1 3-2 0-0*,2.18,1.63
0-1 3-2 0-15*,2.33,1.56
0-1 3-2 0-30*,2.47,1.50
0-1 3-2 0-40*,2.60,1.46
0-1 3-3 *0-0,2.67,1.44
0-1 3-3 *15-0,2.97,1.36
0-1 3-3 *30-0,2.75,1.41
0-1 3-3 *30-15,2.94,1.37
0-1 3-3 *40-15,2.69,1.43
0-1 3-3 *40-A,4.25,1.20
0-1 3-3 *40-40,3.35,1.30
0-1 3-3 *40-40,3.33,1.30
0-1 3-3 *A-40,2.86,1.39
0-1 3-3 *40-40,3.45,1.28
0-1 3-3 *40-A,4.25,1.20
0-1 3-3 *40-40,3.27,1.31
0-1 3-3 *40-40,3.32,1.30
0-1 3-3 *40-40,2.84,1.39
0-1 3-3 *A-40,2.81,1.40
0-1 4-3 0-0*,2.50,1.49
0-1 4-3 0-15*,2.72,1.42
0-1 4-3 15-15*,2.47,1.50
0-1 4-3 30-15*,2.23,1.61
0-1 4-3 30-40*,2.84,1.39
0-1 4-4 *0-0,3.18,1.33
0-1 4-4 *15-0,2.85,1.39
0-1 4-4 *30-0,2.61,1.46
0-1 4-4 *40-15,2.53,1.48
0-1 4-4 *40-30,2.72,1.42
0-1 5-4 0-0*,2.42,1.52
0-1 5-4 0-15*,2.67,1.44
0-1 5-4 0-30*,2.93,1.37
0-1 5-4 0-40*,3.14,1.33
0-1 5-5 *0-0,3.25,1.31
0-1 5-5 *15-0,2.90,1.38
0-1 5-5 *40-0,2.53,1.48
0-1 6-5 0-0*,2.45,1.51
0-1 6-5 0-15*,2.72,1.42
0-1 6-5 0-30*,3.03,1.35
0-1 6-6 *0-0,3.32,1.30
0-1 6-6 0-1*,4.60,1.17
0-1 6-6 0-1*,4.25,1.20
0-1 6-6 0-2*,5.40,1.13
0-1 6-6 *1-2,4.25,1.20
0-1 6-6 *2-2,3.32,1.30
0-1 6-6 3-2*,2.47,1.50
0-1 6-6 3-2*,2.44,1.51
0-1 6-6 3-2*,1.98,1.77
0-1 6-6 3-2*,1.98,1.76
0-1 6-6 *5-2,1.75,1.99
