Score,P1 Odds,P2 Odds
-,3.31,1.30
0-0 1-0 0-0*,2.84,1.39
0-0 1-0 0-40*,3.14,1.33
0-0 1-1 *0-0,3.14,1.33
0-0 1-1 *15-0,2.95,1.37
0-0 1-1 *15-15,3.18,1.33
0-0 1-1 *30-15,2.92,1.37
0-0 1-1 *30-30,3.20,1.33
0-0 1-2 0-0*,4.60,1.17
0-0 1-2 15-30*,4.65,1.17
0-0 1-2 15-40*,5.20,1.14
0-0 1-3 *0-0,5.40,1.13
0-0 1-3 *0-15,5.90,1.11
0-0 1-3 *0-30,6.00,1.10
0-0 1-4 0-0*,7.00,1.07
0-0 1-4 0-30*,8.00,1.06
0-0 1-5 *15-0,8.00,1.06
0-0 1-5 *40-0,7.50,1.06
0-0 2-5 0-0*,7.50,1.06
0-0 2-5 0-15*,7.75,1.06
0-0 2-5 0-30*,8.00,1.06
0-1 2-6 *0-0,8.00,1.05
0-1 2-6 *0-0,8.50,1.05
0-1 0-0 *0-0,8.50,1.05
0-1 0-0 *0-15,9.50,1.04
0-1 0-0 *15-30,9.50,1.04
0-1 0-0 *15-40,10.00,1.03
0-1 0-1 0-0*,12.00,1.02
0-1 0-1 0-0*,3.03,1.35
0-1 0-1 15-0*,12.00,1.02
0-1 0-1 15-15*,12.00,1.02
0-1 0-1 30-15*,11.00,1.02
0-1 0-1 40-30*,10.00,1.03
0-1 1-1 *0-0,10.00,1.03
0-1 1-1 *0-15,9.50,1.04
0-1 1-1 *0-30,11.00,1.02
0-1 1-1 *15-30,10.00,1.03
0-1 1-1 *15-40,12.00,1.02
0-1 1-2 0-0*,12.00,1.02
0-1 1-2 0-15*,13.00,1.01
0-1 1-2 0-30*,15.00,1.01
0-1 1-2 0-40*,17.00,1.005
0-1 1-3 *0-0,21.00,1.005
0-1 1-3 *15-0,15.00,1.01
0-1 1-3 *30-0,13.00,1.01
0-1 1-3 *30-15,14.00,1.01
0-1 1-3 *40-15,13.00,1.01
0-1 2-3 0-0*,12.00,1.02
0-1 2-3 0-15*,13.00,1.01
0-1 2-3 0-30*,15.00,1.01
0-1 2-3 0-40*,21.00,1.005
0-1 2-4 *0-0,34.00,1.005
0-1 2-4 *15-0,15.00,1.01
0-1 2-4 *30-0,14.00,1.01
0-1 2-4 *30-15,15.00,1.01
0-1 2-4 *30-30,34.00,1.005
0-1 2-4 *40-30,14.00,1.01
0-1 2-4 *40-40,34.00,1.005
0-1 2-4 *A-40,14.00,1.01
0-1 2-4 *40-A,41.00,1.002
