Score,P1 Odds,P2 Odds
-,1.37,2.92
Score,P1 Odds,P2 Odds
-,1.37,2.92
Score,P1 Odds,P2 Odds
-,1.37,2.92
0-0 1-1 30-0*,1.28,3.45
0-0 1-1 30-15*,1.33,3.20
0-0 1-1 30-30*,1.38,2.89
0-0 1-1 40-40*,1.38,2.89
0-0 1-1 40-40*,1.37,2.93
0-0 1-1 40-A*,1.45,2.61
0-0 1-1 40-40*,1.37,2.94
0-0 1-1 A-40*,1.30,3.32
0-0 1-1 A-40*,1.37,3.32
0-0 2-1 *0-0,1.22,4.00
0-0 2-3 *0-0,1.59,2.27
0-0 3-3 0-15*,1.49,2.50
0-0 3-3 15-30*,1.49,2.50
0-0 3-3 15-30*,1.35,3.02
0-0 3-3 15-40*,1.42,2.74
0-0 3-4 *0-0,1.45,2.61
0-0 3-4 *30-0,1.35,3.04
0-0 4-5 *15-0,1.56,2.32
0-0 5-5 0-0*,1.33,3.14
0-0 5-5 30-15*,1.25,3.78
0-0 5-6 *40-0,1.33,3.12
0-0 6-6 *0-1,1.44,2.67
0-0 6-6 *0-2,1.64,2.17
0-0 6-6 2-2*,1.34,3.11
0-0 6-6 *2-3,1.50,2.47
0-0 6-6 *3-3,1.35,3.03
0-0 6-6 *3-3,1.37,2.93
0-0 6-6 3-4*,1.55,2.35
0-0 6-6 *4-5,1.54,2.37
0-0 6-6 *4-6,1.94,1.80
0-0 6-6 5-6*,1.71,2.06
0-0 6-6 6-6*,1.38,2.90
0-0 6-6 *6-7,1.64,2.17
0-1 1-0 15-0*,1.94,1.79
0-1 1-0 30-15*,1.90,1.83
0-1 1-0 40-30*,1.84,1.89
0-1 1-0 A-40*,1.84,1.89
0-1 2-0 *0-0,1.68,2.10
0-1 2-0 *15-0,1.63,2.18
0-1 2-0 *30-0,1.59,2.26
0-1 2-0 *30-15,1.63,2.18
0-1 2-0 *40-30,1.62,2.20
0-1 2-0 *40-A,1.85,1.88
0-1 2-0 *40-40,1.72,2.04
0-1 2-0 *40-A,1.85,1.88
0-1 2-0 *40-40,1.72,2.04
0-1 2-0 *40-A,1.85,1.88
0-1 2-0 *40-40,1.72,2.04
0-1 3-0 0-0*,1.57,2.31
0-1 3-0 0-0*,1.54,2.37
0-1 3-0 15-0*,1.50,2.47
0-1 3-0 30-0*,1.46,2.58
0-1 3-0 30-30*,1.53,2.39
0-1 3-0 40-30*,1.48,2.54
0-1 3-0 40-A*,1.58,2.28
0-1 3-0 40-A*,1.53,2.39
0-1 3-0 40-A*,1.58,2.28
0-1 3-0 40-40*,1.53,2.39
0-1 4-0 *0-0,1.42,2.74
0-1 4-0 *0-15,1.44,2.67
0-1 4-0 *0-30,1.46,2.58
0-1 4-0 *15-40,1.48,2.53
0-1 4-0 *30-40,1.46,2.59
0-1 5-0 0-0*,1.38,2.87
