Score,P1 Odds,P2 Odds
-,1.60,2.25
Score,P1 Odds,P2 Odds
-,1.60,2.25
Score,P1 Odds,P2 Odds
-,1.60,2.25
Score,P1 Odds,P2 Odds
-,1.60,2.25
0-0 1-1 *15-15,1.53,2.39
0-0 1-1 *15-30,1.63,2.19
0-0 2-1 0-0*,1.48,2.53
0-0 2-1 0-0*,1.47,2.56
0-0 2-1 15-0*,1.41,2.78
0-0 2-1 30-0*,1.33,3.14
0-0 2-1 40-15*,1.30,3.32
0-0 3-1 *0-0,1.22,4.00
0-0 3-1 *15-0,1.20,4.20
0-0 3-1 *30-0,1.20,4.25
0-0 3-1 *40-15,1.20,4.25
0-0 4-1 0-0*,1.17,4.60
0-0 4-1 0-15*,1.20,4.25
0-0 4-1 0-30*,1.20,4.25
0-0 4-1 0-40*,1.20,4.25
0-0 4-2 *0-0,1.20,4.20
0-0 4-2 *0-15,1.25,3.70
0-0 4-2 *15-15,1.22,4.00
0-0 4-2 *30-15,1.20,4.25
0-0 4-2 *40-15,1.17,4.65
0-0 5-2 0-0*,1.17,4.65
0-0 5-2 15-0*,1.14,5.20
0-0 5-2 30-0*,1.14,5.20
0-0 5-2 30-15*,1.14,5.20
0-0 5-2 30-30*,1.17,4.65
0-0 5-2 A-40*,1.14,5.20
0-0 5-2 40-40*,1.17,4.65
0-0 5-2 40-A*,1.17,4.65
0-0 5-3 *0-0,1.17,4.60
0-0 5-3 *15-0,1.17,4.65
0-0 5-3 *30-0,1.14,5.20
0-0 5-3 *30-15,1.17,4.65
0-0 5-3 *30-30,1.20,4.25
0-0 5-3 *A-40,1.17,4.65
1-0 6-3 0-0*,1.14,5.20
1-0 6-3 0-0*,1.10,6.00
1-0 6-3 0-15*,1.11,6.00
1-0 6-3 0-30*,1.13,5.40
1-0 6-3 *0-0,1.13,5.40
1-0 6-3 *30-0,1.11,6.00
1-0 0-1 *30-0,1.13,5.40
1-0 0-1 *40-30,1.13,5.50
1-0 0-1 *40-40,1.14,5.20
1-0 0-1 *A-40,1.13,5.50
1-0 1-1 0-0*,1.11,6.00
1-0 1-1 15-0*,1.08,6.50
1-0 1-1 30-15*,1.08,6.50
1-0 1-1 30-30*,1.10,6.00
1-0 1-1 40-30*,1.06,8.00
1-0 1-1 40-40*,1.10,6.00
1-0 1-1 40-40*,1.06,8.00
1-0 1-1 40-40*,1.10,6.00
1-0 1-1 40-A*,1.13,5.40
1-0 1-1 40-A*,1.10,6.00
1-0 1-1 40-A*,1.13,5.40
1-0 1-2 *0-0,1.14,5.20
1-0 1-2 *15-0,1.13,5.40
1-0 1-2 *15-15,1.14,5.20
1-0 1-2 *15-30,1.17,4.60
1-0 1-2 *30-30,1.16,4.80
1-0 1-2 *40-40,1.14,5.20
1-0 1-2 *A-40,1.13,5.40
1-0 2-2 0-0*,1.12,5.70
1-0 2-2 0-15*,1.13,5.40
1-0 2-2 0-30*,1.14,5.20
1-0 2-2 15-30*,1.13,5.40
1-0 2-2 15-40*,1.14,5.20
1-0 2-3 *0-0,1.14,5.20
1-0 3-3 0-0*,1.13,5.40
1-0 3-3 0-0*,1.13,5.50
1-0 3-3 15-0*,1.10,6.00
1-0 3-3 15-15*,1.13,5.50
1-0 3-3 30-30*,1.11,5.90
1-0 3-3 30-30*,1.11,6.00
1-0 3-3 40-30*,1.06,8.00
1-0 4-3 *0-0,1.01,13.00
1-0 4-3 *0-0,1.03,10.00
1-0 4-3 *15-30,1.04,9.50
1-0 4-3 *15-40,1.06,7.50
1-0 4-4 0-0*,1.13,5.40
1-0 4-4 0-15*,1.14,5.20
1-0 4-4 0-30*,1.17,4.65
1-0 4-4 0-40*,1.17,4.60
1-0 4-5 *0-0,1.17,4.60
1-0 4-5 *0-15,1.25,3.80
1-0 4-5 *15-30,1.28,3.45
1-0 4-5 *15-40,1.42,2.72
1-1 4-6 0-0*,1.58,2.28
1-1 4-6 0-0*,1.52,2.42
1-1 4-6 15-0*,1.41,2.76
1-1 4-6 30-0*,1.30,3.32
1-1 4-6 40-0*,1.22,4.10
1-1 0-0 40-0*,1.20,4.25
1-1 1-0 *0-0,1.14,5.00
1-1 1-0 *0-0,1.20,4.25
1-1 1-0 *0-15,1.28,3.45
1-1 1-0 *15-15,1.22,4.00
1-1 1-0 *30-30,1.22,4.00
1-1 1-0 *40-30,1.17,4.65
1-1 2-0 0-0*,1.13,5.40
1-1 2-0 15-0*,1.10,6.00
1-1 2-0 15-15*,1.13,5.70
1-1 2-0 15-15*,1.10,6.00
1-1 2-0 15-30*,1.14,5.20
1-1 2-0 30-30*,1.11,5.90
1-1 2-0 30-40*,1.14,5.20
1-1 2-1 *0-0,1.17,4.60
1-1 2-1 *15-15,1.17,4.60
1-1 2-1 *30-15,1.14,5.20
1-1 2-1 *40-15,1.11,5.70
1-1 2-1 *40-30,1.14,5.20
1-1 3-1 0-0*,1.10,6.00
1-1 3-1 0-15*,1.12,5.70
1-1 3-1 15-15*,1.10,6.00
1-1 3-1 30-30*,1.10,6.00
1-1 3-1 40-30*,1.04,9.50
1-1 4-1 *0-0,1.01,14.00
1-1 4-1 *0-0,1.005,21.00
1-1 4-1 *0-15,1.01,13.00
1-1 4-1 *30-15,1.005,21.00
1-1 4-1 *30-30,1.01,13.00
1-1 4-1 *40-30,1.005,21.00
1-1 5-1 0-0*,1.002,67.00
1-1 5-1 15-0*,1.001,81.00
1-1 5-1 15-15*,1.002,81.00
1-1 5-1 15-30*,1.002,51.00
1-1 5-1 30-40*,1.002,51.00
1-1 5-1 30-40*,1.002,41.00
1-1 5-1 15-40*,1.001,81.00
1-1 5-1 15-15*,1.002,34.00
1-1 5-1 30-15*,1.001,81.00
1-1 5-1 40-15*,1.001,101.00
2-1 6-1 0-0*,1.001,1.001
