Score,P1 Odds,P2 Odds
-,1.13,5.40
0-0 4-3 0-0*,1.11,6.00
0-0 4-3 15-0*,1.08,6.50
0-0 4-3 15-30*,1.13,5.40
0-0 4-3 30-30*,1.11,6.00
0-0 4-4 *0-0,1.15,5.00
0-0 4-4 *0-15,1.20,4.25
0-0 4-4 *15-15,1.17,4.65
0-0 4-4 *30-15,1.14,5.20
0-0 5-4 0-0*,1.11,6.00
0-0 5-4 15-0*,1.13,5.40
0-0 5-4 30-15*,1.11,5.90
0-0 5-4 40-30*,1.10,6.00
0-0 5-4 40-40*,1.15,5.00
0-0 5-4 40-40*,1.14,5.20
0-0 5-4 40-A*,1.20,4.25
0-0 5-5 *0-0,1.25,3.70
0-0 5-5 *15-0,1.22,4.00
0-0 5-5 *30-15,1.22,4.00
0-0 6-5 0-0*,1.20,4.25
0-0 6-5 0-0*,1.17,4.60
0-0 6-5 15-0*,1.14,5.20
0-0 6-5 15-15*,1.17,4.60
0-0 6-5 30-15*,1.13,5.40
0-0 6-5 40-15*,1.06,7.50
0-0 6-5 40-40*,1.17,4.65
0-0 6-5 40-A*,1.22,4.00
0-0 6-6 *0-0,1.30,3.33
0-0 6-6 0-1*,1.41,2.78
0-0 6-6 0-2*,1.54,2.37
0-0 6-6 *1-2,1.30,3.33
0-0 6-6 *2-2,1.22,4.00
0-0 6-6 3-2*,1.17,4.65
0-0 6-6 3-3*,1.22,4.00
0-0 6-6 *3-4,1.31,3.25
0-0 6-6 4-6*,1.62,2.21
0-1 6-7 0-0*,1.86,1.87
0-1 1-0 *0-0,1.28,3.45
0-1 1-0 *15-15,1.28,3.45
0-1 1-0 *40-15,1.25,3.70
0-1 2-0 0-0*,1.23,3.92
0-1 2-0 0-15*,1.25,3.70
0-1 2-0 30-15*,1.22,4.00
0-1 2-0 30-30*,1.22,3.96
0-1 2-1 *40-40,1.31,3.24
0-1 3-1 0-0*,1.25,3.75
0-1 3-1 30-15*,1.22,4.00
0-1 3-1 30-30*,1.25,3.90
0-1 3-1 40-30*,1.20,4.25
0-1 4-1 *0-0,1.17,4.60
0-1 4-1 *15-15,1.17,4.60
0-1 4-1 *30-15,1.17,4.65
0-1 4-1 *30-30,1.17,4.60
0-1 5-1 0-0*,1.17,4.65
0-1 5-1 0-15*,1.17,4.60
0-1 5-1 0-30*,1.17,4.60
0-1 5-2 *0-0,1.17,4.60
0-1 5-2 *15-30,1.20,4.25
0-1 5-2 *30-30,1.20,4.25
0-1 5-2 *30-30,1.20,4.30
0-1 5-2 *40-A,1.17,4.65
0-1 5-2 *40-40,1.16,4.80
0-1 5-3 0-0*,1.17,4.60
0-1 5-3 15-0*,1.17,4.65
0-1 5-3 15-30*,1.22,4.00
0-1 5-3 15-40*,1.25,3.90
0-1 5-4 *0-0,1.25,3.70
0-1 5-4 *0-0,1.28,3.45
