Score,P1 Odds,P2 Odds
-,1.28,3.40
0-0 0-0 0-30*,1.33,3.12
0-0 0-0 0-40*,1.35,3.02
0-0 0-1 *0-0,1.36,2.98
0-0 0-1 *0-15,1.43,2.70
0-0 0-1 *15-30,1.44,2.65
0-0 0-1 *30-30,1.38,2.88
0-0 0-1 *40-30,1.33,3.14
0-0 0-1 *40-40,1.41,2.75
0-0 0-1 *40-A,1.53,2.40
0-0 0-1 *A-40,1.34,3.09
0-0 1-1 0-0*,1.30,3.31
0-0 1-1 0-15*,1.34,3.11
0-0 1-1 15-15*,1.30,3.32
0-0 1-1 30-15*,1.25,3.70
0-0 1-1 40-15*,1.17,4.60
0-0 1-1 40-30*,1.22,4.00
0-0 2-1 *0-0,1.14,5.20
0-0 2-1 *0-30,1.22,4.00
0-0 2-1 *15-30,1.17,4.60
0-0 2-1 *30-30,1.15,5.00
0-0 2-1 *30-40,1.22,4.00
0-0 2-1 *40-40,1.17,4.65
0-0 2-1 *A-40,1.13,5.40
0-0 3-1 0-0*,1.11,6.00
0-0 3-1 0-15*,1.13,5.50
0-0 3-1 30-15*,1.10,6.00
0-0 3-1 30-30*,1.11,6.00
0-0 3-1 30-40*,1.13,5.40
0-0 3-1 40-40*,1.11,6.00
0-0 3-2 *0-0,1.14,5.20
0-0 3-2 *15-0,1.13,5.40
0-0 3-2 *30-0,1.11,6.00
0-0 4-2 0-0*,1.10,6.00
0-0 4-3 *15-30,1.13,5.40
0-0 4-3 *15-40,1.20,4.25
0-0 4-3 *40-40,1.13,5.40
0-0 4-3 *40-A,1.20,4.25
0-0 4-4 0-0*,1.35,3.02
0-0 4-4 0-15*,1.41,2.76
0-0 4-4 15-15*,1.34,3.06
0-0 4-4 30-30*,1.34,3.11
0-0 4-5 *0-0,1.51,2.45
0-0 6-5 *0-0,1.11,6.00
0-0 6-5 *15-15,1.12,5.70
0-0 6-5 *15-30,1.17,4.65
0-0 6-5 *30-30,1.13,5.40
0-0 6-5 *40-30,1.07,7.00
1-0 7-5 0-0*,1.05,8.50
1-0 0-0 0-0*,1.05,8.50
1-0 0-0 0-15*,1.06,7.75
1-0 0-0 0-30*,1.07,7.00
1-0 0-0 0-40*,1.08,6.50
1-0 0-0 15-40*,1.08,6.50
1-0 0-1 *0-0,1.07,7.00
1-0 0-1 *0-15,1.11,6.00
1-0 0-1 *30-15,1.07,7.00
1-0 0-1 *40-15,1.06,7.50
1-0 1-1 0-15*,1.07,7.00
1-0 1-1 0-40*,1.10,6.00
1-0 1-2 *0-0,1.10,6.00
1-0 1-2 *30-0,1.08,6.50
1-0 1-2 *40-0,1.07,7.00
1-0 1-2 *40-15,1.08,6.50
1-0 2-2 0-0*,1.07,7.00
1-0 2-2 15-0*,1.05,8.50
1-0 2-2 30-0*,1.04,9.50
1-0 2-2 40-0*,1.02,12.00
1-0 2-2 40-30*,1.04,9.50
1-0 2-2 40-40*,1.06,7.50
1-0 2-2 A-40*,1.04,9.50
1-0 2-2 40-40*,1.06,7.50
1-0 2-2 A-40*,1.04,9.50
1-0 2-2 40-A*,1.10,6.00
1-0 2-3 *0-0,1.11,6.00
1-0 2-3 *15-0,1.10,6.00
1-0 2-3 *15-0,1.13,5.50
1-0 2-3 *15-30,1.14,5.20
1-0 2-3 *15-40,1.22,4.05
1-0 2-4 0-0*,1.28,3.45
1-0 2-4 15-0*,1.22,4.00
1-0 2-4 15-15*,1.28,3.45
1-0 2-4 30-15*,1.22,4.00
1-0 2-4 30-30*,1.28,3.45
1-0 2-4 40-A*,1.33,3.18
1-0 2-4 40-40*,1.28,3.45
1-0 2-4 A-40*,1.17,4.50
1-0 2-4 40-40*,1.25,3.70
1-0 2-4 A-40*,1.17,4.60
1-0 2-4 40-40*,1.25,3.70
1-0 3-4 *0-0,1.13,5.40
1-0 3-4 *30-0,1.10,6.00
1-0 4-4 0-0*,1.08,6.50
1-0 4-4 15-0*,1.05,8.50
1-0 4-4 15-15*,1.08,6.50
1-0 4-4 40-15*,1.02,12.00
1-0 4-4 30-40*,1.11,6.00
1-0 4-4 40-40*,1.07,7.00
1-0 4-4 A-40*,1.04,9.50
1-0 5-4 *0-0,1.005,21.00
1-0 5-4 *15-0,1.14,5.20
1-0 5-4 *40-15,1.03,10.00
2-0 6-4 0-0*,1.001,1.001
