Score,P1 Odds,P2 Odds
-,1.80,1.94
0-0 0-0 *15-0,1.58,2.27
0-0 0-0 *15-15,1.65,2.15
0-0 0-0 *30-15,1.60,2.25
0-0 0-0 *40-15,1.55,2.35
0-0 1-0 0-0*,1.53,2.39
0-0 1-0 0-30*,1.61,2.22
0-0 1-0 0-15*,1.64,2.17
0-0 1-0 30-15*,1.57,2.30
0-0 1-0 40-A*,1.58,2.28
0-0 1-1 *0-0,1.63,2.18
0-0 1-1 *15-0,1.58,2.27
0-0 1-1 *30-0,1.55,2.35
0-0 1-1 *40-0,1.53,2.40
0-0 2-1 0-0*,1.52,2.42
0-0 2-1 0-0*,1.57,2.31
0-0 2-1 15-30*,1.56,2.34
0-0 2-1 30-30*,1.48,2.53
0-0 2-1 30-40*,1.56,2.32
0-0 2-1 40-40*,1.46,2.58
0-0 2-1 A-40*,1.36,2.98
0-0 3-1 *0-0,1.25,3.70
0-0 3-1 *0-0,1.30,3.32
0-0 3-1 *15-0,1.25,3.70
0-0 3-1 *30-0,1.22,4.00
0-0 3-1 *30-30,1.28,3.45
0-0 3-1 *40-40,1.25,3.70
0-0 3-1 *40-40,1.28,3.45
0-0 3-1 *40-A,1.35,3.04
0-0 3-1 *A-40,1.22,4.00
0-0 4-1 0-0*,1.20,4.25
0-0 4-1 15-15*,1.20,4.25
0-0 4-1 15-30*,1.22,4.10
0-0 4-1 40-30*,1.17,4.65
0-0 5-1 *0-0,1.14,5.20
0-0 5-1 *0-30,1.16,4.80
0-0 5-1 *15-30,1.14,5.20
0-0 5-1 *15-40,1.17,4.65
0-0 5-2 0-0*,1.17,4.60
0-0 5-2 15-0*,1.17,4.65
0-0 5-2 15-15*,1.17,4.65
0-0 5-2 15-30*,1.17,4.60
0-0 5-2 15-40*,1.20,4.25
0-0 5-3 *0-0,1.20,4.25
0-0 5-3 *0-15,1.25,3.70
0-0 5-3 *15-15,1.20,4.25
0-0 5-3 *15-30,1.25,3.69
0-0 5-3 *30-30,1.22,4.05
0-0 5-3 *40-30,1.17,4.65
0-0 5-3 *40-30,1.22,4.05
0-0 5-3 *40-40,1.22,4.05
0-0 5-3 *40-40,1.22,4.00
0-0 5-3 *A-40,1.17,4.60
0-0 5-3 *40-40,1.22,4.00
0-0 5-3 *40-A,1.30,3.30
0-0 5-4 0-0*,1.44,2.65
0-0 5-3 *40-A,1.44,2.65
0-0 5-3 *40-15,1.53,2.40
0-0 5-3 *30-15,1.33,3.14
0-0 5-3 *30-30,1.42,2.74
0-0 5-3 *30-40,1.56,2.34
0-0 5-5 *0-0,1.63,2.19
0-0 5-5 *15-0,1.50,2.47
0-0 5-5 *30-0,1.44,2.65
0-0 6-5 0-0*,1.40,2.82
0-0 6-5 0-0*,1.31,3.28
0-0 6-5 0-0*,1.30,3.32
0-0 6-5 15-0*,1.30,3.33
0-0 6-5 30-0*,1.22,4.00
1-0 0-0 *0-15,1.10,6.00
1-0 0-0 *15-15,1.10,6.00
1-0 0-0 *15-40,1.16,4.80
1-0 0-0 *30-40,1.13,5.40
1-0 0-0 *40-40,1.10,6.00
1-0 0-0 *A-40,1.07,7.00
1-0 0-0 *40-40,1.10,6.00
1-0 0-0 *40-40,1.11,6.00
1-0 0-0 *40-A,1.14,5.20
1-0 0-1 0-0*,1.20,4.25
1-0 0-1 0-15*,1.22,4.00
1-0 0-1 15-15*,1.22,4.00
1-0 0-1 30-15*,1.25,3.70
1-0 0-1 40-15*,1.20,4.25
1-0 0-1 40-30*,1.22,4.00
1-0 1-1 *0-0,1.16,4.80
1-0 1-1 *0-15,1.17,4.30
1-0 1-1 *0-30,1.22,3.98
1-0 1-1 *15-30,1.20,4.25
1-0 1-2 0-0*,1.31,3.24
1-0 1-2 0-15*,1.35,3.01
1-0 1-2 15-15*,1.31,3.26
1-0 1-2 30-15*,1.25,3.70
1-0 1-2 30-30*,1.25,3.70
