Score,P1 Odds,P2 Odds
-,1.64,2.17
-,1.56,2.33
-,1.54,2.37
0-0 1-0 40-40*,1.39,2.84
0-0 2-0 *0-0,1.23,3.92
0-0 2-0 *0-15,1.28,3.45
0-0 2-0 *15-15,1.23,3.90
0-0 2-0 *30-15,1.22,4.10
0-0 2-0 *30-30,1.25,3.70
0-0 2-0 *40-30,1.20,4.25
0-0 2-0 *40-30,1.20,4.20
0-0 3-0 0-0*,1.17,4.60
0-0 3-0 0-15*,1.20,4.25
0-0 3-0 15-30*,1.20,4.25
0-0 3-0 15-40*,1.22,4.00
0-0 3-1 *0-0,1.22,4.00
0-0 3-1 *15-0,1.20,4.25
0-0 3-1 *15-15,1.22,4.00
0-0 3-1 *15-15,1.22,3.98
0-0 3-1 *15-30,1.28,3.45
0-0 3-1 *15-40,1.34,3.08
0-0 3-2 0-0*,1.40,2.79
0-0 3-2 15-0*,1.34,3.09
0-0 3-2 15-15*,1.40,2.82
0-0 3-2 15-30*,1.47,2.56
0-0 3-2 15-30*,1.46,2.58
0-0 3-2 30-30*,1.39,2.85
0-0 3-2 30-40*,1.48,2.53
0-0 3-3 *0-0,1.56,2.32
0-0 3-3 *0-0,1.57,2.30
0-0 3-3 *0-15,1.69,2.09
0-0 3-3 *15-15,1.57,2.30
0-0 3-3 *30-15,1.59,2.47
0-0 3-3 *15-15,1.50,2.47
0-0 3-3 *40-30,1.47,2.56
0-0 3-3 *40-30,1.48,2.53
0-0 4-3 0-0*,1.39,2.85
0-0 4-3 0-0*,1.39,2.86
0-0 4-3 0-0*,1.36,2.98
0-0 4-3 15-0*,1.30,3.32
0-0 4-3 30-0*,1.23,3.92
0-0 4-3 30-15*,1.28,3.45
0-0 4-3 40-15*,1.20,4.25
0-0 4-3 40-30*,1.25,3.70
0-0 5-3 *0-0,1.16,4.80
0-0 5-3 *0-15,1.17,4.50
0-0 5-3 *0-30,1.22,4.00
0-0 5-3 *15-30,1.20,4.25
0-0 5-3 *30-30,1.17,4.65
0-0 5-3 *30-40,1.22,4.00
0-0 5-4 0-0*,1.30,3.32
0-0 5-4 0-15*,1.37,2.92
0-0 5-4 15-15*,1.30,3.32
0-0 5-4 15-30*,1.38,2.87
0-0 5-4 15-40*,1.48,2.53
0-0 5-5 *0-0,1.54,2.37
0-0 5-5 *15-0,1.45,2.61
0-0 5-5 *30-0,1.39,2.86
0-0 5-5 *40-0,1.35,3.06
0-0 6-5 0-0*,1.33,3.14
0-0 6-5 0-15*,1.41,2.78
0-0 6-5 0-30*,1.49,2.50
0-0 6-5 15-30*,1.42,2.74
0-0 6-5 30-30*,1.33,3.16
0-0 6-5 30-40*,1.45,2.64
0-0 6-5 30-40*,1.44,2.65
0-0 6-5 40-40*,1.31,3.24
0-0 6-5 40-A*,1.45,2.64
0-0 6-6 *0-0,1.57,2.30
0-0 6-6 *0-0,1.59,2.25
0-0 6-6 0-1*,1.78,1.95
0-0 6-6 0-2*,2.00,1.74
0-0 6-6 *1-2,1.79,1.95
0-0 6-6 *1-3,2.13,1.66
0-0 6-6 2-3*,1.87,1.86
0-0 6-6 3-3*,1.58,2.27
0-0 6-6 *4-3,1.37,2.92
0-0 6-6 *4-4,1.63,2.19
0-0 6-6 5-4*,1.36,2.97
0-0 6-6 6-4*,1.20,4.25
0-0 6-6 *6-5,1.30,3.32
1-0 7-6 0-0*,1.13,5.50
1-0 7-6 0-15*,1.14,5.20
1-0 7-6 0-30*,1.14,5.20
1-0 0-0 0-30*,1.17,4.65
1-0 0-0 15-30*,1.15,5.00
1-0 0-1 *0-0,1.17,4.65
1-0 0-1 *15-0,1.14,5.00
1-0 0-1 *30-0,1.14,5.20
1-0 1-1 0-0*,1.13,5.40
1-0 1-1 0-0*,1.17,4.65
1-0 1-1 30-0*,1.11,6.00
1-0 1-1 30-15*,1.11,5.20
1-0 1-1 30-15*,1.13,5.40
1-0 1-1 40-15*,1.10,6.00
1-0 1-1 40-15*,1.06,7.50
1-0 1-1 15-15*,1.05,8.50
1-0 1-1 30-15*,1.04,9.50
1-0 3-1 0-15*,1.03,10.00
1-0 3-1 15-15*,1.02,11.00
1-0 3-1 15-15*,1.03,10.00
1-0 3-1 30-15*,1.02,12.00
1-0 3-1 30-40*,1.04,9.50
1-0 3-1 40-40*,1.03,10.00
1-0 3-1 A-40*,1.02,12.00
1-0 4-1 *0-0,1.004,34.00
1-0 4-1 *0-15,1.01,15.00
1-0 4-1 *15-15,1.004,34.00
1-0 4-1 *15-15,1.005,34.00
1-0 4-1 *30-15,1.005,34.00
1-0 4-1 *40-15,1.001,81.00
1-0 5-1 0-0*,1.001,101.00
1-0 5-1 0-15*,1.001,81.00
1-0 5-1 15-15*,1.001,101.00
1-0 5-1 15-30*,1.001,81.00
1-0 5-1 15-40*,1.001,81.00
1-0 5-2 *0-0,1.002,67.00
1-0 5-2 *0-15,1.002,41.00
1-0 5-2 *30-15,1.001,101.00
1-0 5-2 *40-15,1.001,126.00
2-0 6-2 0-0*,1.001,1.001
