Score,P1 Odds,P2 Odds
-,2.70,1.43
0-0 0-0 *15-0,2.34,1.56
0-0 0-0 *15-30,2.73,1.42
0-0 0-0 *30-30,2.52,1.48
0-0 1-0 0-0*,2.11,1.67
0-0 1-0 15-0*,2.18,1.63
0-0 1-0 30-0*,2.09,1.69
0-0 2-0 *0-0,1.87,1.86
0-0 2-0 *0-15,1.98,1.76
0-0 2-0 *15-30,2.01,1.74
0-0 2-1 0-0*,2.35,1.55
0-0 2-1 0-15*,2.47,1.50
0-0 2-1 0-30*,2.65,1.44
0-0 2-1 15-30*,2.50,1.49
0-0 2-1 15-40*,2.70,1.43
0-0 2-2 *0-0,2.55,1.40
0-0 2-2 *15-0,2.60,1.46
0-0 2-2 *15-15,2.84,1.39
0-0 2-2 *30-30,2.84,1.39
0-0 2-2 *40-30,2.50,1.49
0-0 3-2 0-0*,2.27,1.58
0-0 3-2 0-30*,2.58,1.46
0-0 3-2 15-30*,2.42,1.52
0-0 3-2 15-30*,2.49,1.49
0-0 3-2 30-40*,2.54,1.48
0-0 3-3 *0-0,2.78,1.41
0-0 3-3 *0-30,3.45,1.28
0-0 3-3 *15-30,3.24,1.31
0-0 3-3 *15-40,3.78,1.25
0-0 3-3 *40-40,2.80,1.40
0-0 3-3 *40-40,2.81,1.40
0-0 3-3 *40-A,3.32,1.30
0-0 3-3 *40-40,2.87,1.38
0-0 3-3 *40-40,3.35,1.30
0-0 3-3 *40-40,2.87,1.38
0-0 3-3 *A-40,2.47,1.50
0-0 3-3 *40-40,3.32,1.30
0-0 3-4 0-0*,4.25,1.20
0-0 3-4 0-15*,4.65,1.17
0-0 3-4 15-30*,4.25,1.17
0-0 3-4 30-30*,4.25,1.20
0-0 3-4 40-30*,3.32,1.30
0-0 3-4 40-40*,3.32,1.30
0-0 3-4 40-A*,5.00,1.15
0-0 3-4 40-40*,4.25,1.20
0-0 3-4 40-40*,4.00,1.22
0-0 3-5 *0-0,5.40,1.13
0-0 3-5 *0-15,6.00,1.11
0-0 3-5 *15-15,5.50,1.13
0-0 3-5 *15-30,6.00,1.10
0-0 3-5 *15-40,6.50,1.08
0-1 3-6 0-0*,7.75,1.06
0-1 0-0 0-0*,7.75,1.06
0-1 0-0 0-0*,6.00,1.10
0-1 0-0 15-0*,6.00,1.11
0-1 0-0 30-0*,5.40,1.13
0-1 0-0 30-15*,5.50,1.13
0-1 0-0 30-30*,6.00,1.10
0-1 0-0 40-30*,5.40,1.13
0-1 0-0 40-40*,6.00,1.10
0-1 0-1 *0-0,8.50,1.05
0-1 0-1 *0-30,10.00,1.03
0-1 0-1 *15-40,10.00,1.03
0-1 0-1 *30-40,9.50,1.04
0-1 0-2 0-0*,12.00,1.02
0-1 0-2 0-30*,14.00,1.01
0-1 0-2 30-30*,12.00,1.02
0-1 0-2 40-30*,9.50,1.04
0-1 1-2 *0-0,8.50,1.05
0-1 1-2 *0-30,10.00,1.03
0-1 1-2 *0-40,12.00,1.02
0-1 1-3 0-0*,12.00,1.02
0-1 1-3 15-0*,11.00,1.02
0-1 1-3 30-0*,9.50,1.04
0-1 1-3 40-15*,9.50,1.04
0-1 2-3 *0-0,9.50,1.04
0-1 2-3 *0-0,8.50,1.05
0-1 2-3 *15-15,8.50,1.05
0-1 2-3 *30-30,8.50,1.05
0-1 2-3 *40-30,6.50,1.08
0-1 2-3 *40-A,10.00,1.03
0-1 2-3 *40-A,8.50,1.05
0-1 2-3 *40-A,10.00,1.03
0-1 2-3 *40-40,8.50,1.05
0-1 2-3 *40-40,10.00,1.03
0-1 2-3 *40-40,8.50,1.05
0-1 2-3 *A-40,6.50,1.08
0-1 2-3 *40-A,10.00,1.03
0-1 2-4 0-0*,13.00,1.01
0-1 2-4 15-0*,13.00,1.01
0-1 2-4 15-15*,13.00,1.01
0-1 2-4 15-30*,17.00,1.005
0-1 2-4 30-30*,13.00,1.01
0-1 2-5 *0-0,51.00,1.002
0-1 2-5 *15-15,51.00,1.002
0-1 2-5 *30-15,41.00,1.002
0-1 2-5 *30-30,67.00,1.002
0-1 2-5 *30-40,101.00,1.001
