Score,P1 Odds,P2 Odds
-,5.00,1.15
0-0 0-0 15-15*,4.65,1.17
0-0 0-0 30-30*,4.65,1.17
0-0 0-0 40-40*,4.65,1.17
0-0 0-0 40-A*,5.40,1.13
0-0 0-1 *0-0,5.90,1.11
0-0 0-1 *0-15,6.00,1.10
0-0 0-1 *0-40,6.50,1.08
0-0 0-1 *0-40,7.75,1.06
0-0 0-1 *15-40,7.50,1.07
0-0 0-1 *30-40,6.50,1.08
0-0 0-2 0-15*,8.50,1.05
0-0 0-2 0-30*,9.50,1.04
0-0 0-2 0-40*,9.50,1.04
0-0 0-3 *0-0,9.50,1.04
0-0 0-3 *0-15,10.00,1.04
0-0 0-3 *15-30,10.00,1.03
0-0 0-3 *40-30,8.50,1.05
0-0 0-3 *A-40,8.50,1.05
0-0 1-3 0-0*,8.50,1.05
0-0 1-3 15-0*,7.50,1.06
0-0 1-3 30-15*,7.00,1.07
0-0 1-3 40-15*,6.00,1.10
0-0 2-3 *0-0,5.70,1.12
0-0 2-3 *30-0,4.65,1.17
0-0 2-3 *30-30,5.70,1.12
0-0 2-3 *30-40,6.50,1.08
0-0 2-4 0-0*,8.50,1.05
0-0 2-4 0-15*,9.50,1.04
0-0 2-4 0-30*,9.50,1.04
0-0 2-4 15-40*,10.00,1.03
0-0 2-5 *0-0,10.00,1.03
0-0 2-5 *15-15,10.00,1.03
0-0 2-5 *15-30,11.00,1.02
0-0 2-5 *15-40,12.00,1.02
0-1 0-1 *15-0,12.00,1.02
0-1 0-1 *15-40,21.00,1.005
0-1 0-2 0-0*,34.00,1.002
0-1 0-2 0-15*,41.00,1.002
0-1 0-2 15-15*,34.00,1.002
0-1 0-2 40-30*,15.00,1.01
0-1 0-2 40-A*,41.00,1.002
0-1 0-3 *0-0,81.00,1.001
0-1 0-3 *15-0,51.00,1.002
0-1 0-3 *15-15,81.00,1.001
0-1 0-3 *40-15,41.00,1.002
0-1 0-3 *40-30,41.00,1.002
0-1 1-3 15-0*,21.00,1.005
0-1 1-3 15-15*,34.00,1.002
0-1 1-4 *0-0,81.00,1.001
0-1 1-4 *15-0,67.00,1.002
0-1 1-4 *15-15,81.00,1.001
0-1 1-4 *30-30,81.00,1.001
0-1 2-4 0-0*,41.00,1.002
0-1 2-4 15-15*,34.00,1.002
0-1 2-4 15-30*,67.00,1.002
0-1 2-4 40-30*,14.00,1.01
0-1 3-4 *0-0,12.00,1.02
0-1 3-4 *15-0,11.00,1.02
0-1 3-4 *15-15,12.00,1.02
0-1 3-4 *40-30,10.00,1.03
0-1 4-4 0-0*,8.50,1.05
0-1 4-4 15-0*,7.00,1.07
0-1 4-4 30-0*,6.00,1.11
0-1 4-4 40-0*,5.20,1.14
0-1 5-4 *0-0,4.65,1.17
0-1 5-4 *15-0,4.05,1.22
0-1 5-4 *30-0,3.45,1.28
0-1 5-4 *40-15,3.32,1.30
0-1 5-4 *40-30,3.70,1.25
0-1 5-4 *40-40,4.65,1.17
0-1 5-4 *40-A,6.00,1.11
0-1 5-5 0-0*,8.50,1.05
0-1 5-5 30-0*,5.90,1.11
0-1 5-5 30-30*,8.00,1.06
0-1 5-5 30-40*,10.00,1.03
0-1 5-6 *0-0,12.00,1.02
0-1 5-6 *0-15,14.00,1.01
0-1 5-6 *30-30,12.00,1.02
0-1 5-6 *40-30,9.50,1.04
0-1 6-6 *1-0,5.90,1.11
0-1 6-6 *2-0,5.20,1.14
0-1 6-6 *4-1,3.70,1.25
0-1 6-6 *5-1,3.32,1.30
0-1 6-6 6-1*,3.11,1.34
0-1 6-6 *6-3,3.31,1.30
1-1 7-6 *0-0,3.02,1.35
1-1 0-0 *0-0,3.02,1.35
1-1 0-2 *0-15,10.00,1.03
1-1 0-2 *15-30,10.00,1.03
1-1 0-2 *15-40,13.00,1.01
1-1 0-3 0-0*,15.00,1.01
1-1 0-3 0-15*,14.00,1.01
1-1 0-3 30-15*,12.00,1.02
1-1 0-3 40-40*,14.00,1.01
1-1 0-3 A-40*,12.00,1.02
