Score,P1 Odds,P2 Odds
-,1.97,1.77
0-0 0-0 15-30*,2.07,1.70
0-0 0-0 15-40*,2.18,1.63
0-0 0-0 30-40*,2.10,1.68
0-0 0-0 40-40*,1.92,1.81
0-0 0-0 A-40*,1.78,1.96
0-0 1-0 *0-0,1.60,2.24
0-0 1-0 *0-0,1.61,2.23
0-0 1-0 *30-0,1.49,2.49
0-0 1-0 *30-15,1.54,2.37
0-0 1-0 *40-15,1.48,2.53
0-0 2-0 0-0*,1.45,2.62
0-0 2-0 0-0*,1.45,2.64
0-0 2-0 15-0*,1.40,2.82
0-0 2-0 30-15*,1.35,2.85
0-0 2-0 30-15*,1.38,2.87
0-0 2-0 40-15*,1.33,3.14
0-0 3-0 *0-0,1.30,3.32
0-0 3-0 *0-15,1.31,3.26
0-0 3-0 *15-15,1.30,3.35
0-0 3-0 *15-15,1.30,3.32
0-0 3-0 *15-30,1.33,3.14
0-0 3-0 *30-30,1.30,3.32
0-0 3-0 *30-40,1.34,3.10
0-0 3-1 0-0*,1.42,2.74
0-0 3-1 15-0*,1.36,2.96
0-0 3-1 15-0*,1.31,3.22
0-0 3-1 40-15*,1.25,3.70
0-0 3-1 40-30*,1.28,3.45
0-0 3-1 40-40*,1.28,3.45
0-0 3-1 A-40*,1.22,4.00
0-0 4-1 *0-0,1.17,4.65
0-0 4-1 *0-15,1.17,4.60
0-0 4-1 *0-30,1.22,4.10
0-0 4-1 *0-40,1.22,3.98
0-0 4-2 0-0*,1.25,3.70
0-0 4-2 0-15*,1.28,3.45
0-0 4-2 15-15*,1.25,3.70
0-0 4-2 15-30*,1.28,3.45
0-0 4-2 30-30*,1.25,3.70
0-0 4-2 30-40*,1.30,3.32
0-0 4-2 40-40*,1.25,3.70
0-0 4-2 A-40*,1.20,4.25
0-0 4-2 40-40*,1.25,3.70
0-0 4-2 40-40*,1.25,3.80
0-0 4-2 40-40*,1.28,3.40
0-0 4-2 40-40*,1.25,3.70
0-0 4-2 40-40*,1.30,3.35
0-0 4-3 *0-0,1.33,3.14
0-0 4-3 *0-0,1.28,3.45
0-0 4-3 *15-0,1.28,3.45
0-0 4-3 *15-15,1.33,3.14
0-0 4-3 *30-15,1.28,3.45
0-0 4-3 *30-30,1.33,3.12
0-0 4-3 *30-40,1.47,2.56
0-0 4-3 *40-40,1.34,3.07
0-0 4-3 *40-A,1.47,2.56
0-0 4-4 0-0*,1.68,2.10
0-0 4-4 15-0*,1.54,2.37
0-0 4-4 15-15*,1.67,2.11
0-0 4-4 15-15*,1.66,2.13
0-0 4-4 30-15*,1.50,2.47
0-0 4-4 40-15*,1.36,2.99
0-0 4-4 40-30*,1.45,2.61
0-0 4-4 40-40*,1.66,2.13
0-0 4-4 40-40*,1.63,2.18
0-0 4-4 A-40*,1.44,2.67
0-0 4-4 40-40*,1.63,2.19
0-0 4-4 A-40*,1.44,2.67
0-0 5-5 0-15*,1.79,1.95
0-0 5-5 15-30*,1.81,1.93
0-0 5-5 15-40*,1.97,1.78
0-0 5-5 30-40*,1.85,1.88
0-0 5-6 *0-0,2.07,1.70
0-0 5-6 *15-0,1.90,1.83
0-0 5-6 *15-15,2.09,1.69
0-0 5-6 *15-30,1.88,1.68
0-0 5-6 *40-30,1.83,1.90
0-0 5-6 *40-30,1.84,1.89
0-0 6-6 0-0*,1.58,2.29
0-0 6-6 *1-0,1.43,2.69
0-0 6-6 *1-1,1.61,2.23
0-0 6-6 1-2*,1.83,1.89
0-0 6-6 1-2*,1.82,1.91
0-0 6-6 1-3*,2.08,1.69
0-0 6-6 2-2*,1.58,2.29
0-0 6-6 *3-2,1.39,2.84
0-0 6-6 *4-2,1.25,3.70
0-0 6-6 4-3*,1.38,2.91
0-0 6-6 5-3*,1.22,4.00
0-0 6-6 *5-4,1.30,3.30
0-0 6-6 *5-5,1.59,2.26
0-0 6-6 5-6*,2.12,1.67
0-0 6-6 6-6*,1.53,2.39
0-0 6-6 *6-7,1.95,1.79
0-1 0-1 0-0*,4.80,1.16
0-1 0-1 0-40*,5.40,1.13
0-1 0-2 *0-0,6.00,1.10
0-1 0-2 *15-0,5.50,1.13
0-1 0-2 *15-15,6.00,1.10
0-1 0-2 *15-30,7.50,1.06
0-1 0-2 *15-40,9.50,1.04
0-1 0-2 *40-40,6.00,1.10
0-1 0-2 *40-40,5.40,1.13
0-1 1-2 0-0*,5.00,1.15
0-1 1-2 0-0*,4.80,1.16
0-1 1-2 15-0*,4.25,1.20
0-1 1-2 30-0*,4.25,1.20
0-1 1-2 30-15*,4.60,1.17
0-1 1-2 40-15*,4.00,1.22
0-1 1-2 40-40*,5.20,1.14
0-1 1-2 A-40*,5.20,1.14
0-1 1-2 A-40*,4.25,1.20
0-1 2-2 *0-0,3.45,1.28
0-1 2-2 *15-0,3.22,1.31
0-1 2-2 *15-15,3.45,1.28
0-1 2-2 *15-30,4.00,1.22
0-1 2-2 *15-40,4.65,1.17
0-1 2-2 *30-40,4.25,1.20
0-1 2-2 *30-40,5.40,1.13
0-1 2-2 *30-15,6.00,1.10
0-1 2-2 *30-15,4.65,1.17
0-1 2-2 *40-15,4.00,1.22
0-1 2-2 *40-30,4.25,1.20
0-1 2-2 *40-A,6.00,1.10
0-1 2-2 *40-40,5.20,1.14
0-1 2-2 *A-40,4.25,1.20
0-1 2-2 *40-A,6.00,1.10
0-1 2-3 40-A*,8.50,1.05
0-1 2-3 15-A*,7.00,1.07
0-1 2-3 30-A*,6.00,1.10
0-1 2-3 30-15*,7.00,1.08
0-1 2-3 30-30*,8.50,1.05
0-1 2-3 40-30*,6.50,1.08
0-1 3-3 0-0*,5.90,1.11
0-1 3-3 0-15*,6.50,1.08
0-1 3-4 0-15*,6.50,1.08
0-1 3-4 0-40*,9.50,1.04
0-1 3-5 *0-0,10.00,1.03
0-1 3-5 *15-15,10.00,1.03
0-1 3-5 *30-15,9.50,1.04
0-1 3-5 *30-30,10.00,1.03
0-1 3-5 *40-30,8.50,1.05
0-1 3-5 *40-40,10.00,1.03
0-1 3-5 *A-40,8.50,1.05
0-1 4-5 0-0*,7.50,1.06
0-1 4-5 0-0*,7.50,1.07
0-1 4-5 0-15*,9.50,1.04
0-1 4-5 0-30*,13.00,1.01
0-1 4-5 15-30*,10.00,1.03
0-1 4-5 15-40*,17.00,1.005
0-1 4-5 30-40*,11.00,1.02
0-1 4-5 40-40*,7.00,1.07
0-1 4-5 40-40*,6.50,1.08
0-1 4-5 40-A*,11.00,1.02
0-2 4-6 *0-0,11.00,1.001
0-2 4-6 *0-0,1.001,1.001
