Score,P1 Odds,P2 Odds
-,2.82,1.40
0-0 0-0 40-15*,2.26,1.59
0-0 0-0 40-30*,2.40,1.53
0-0 1-0 *0-0,2.10,1.68
0-0 1-0 *15-0,2.00,1.75
0-0 1-0 *15-0,1.98,1.76
0-0 1-0 *40-0,1.89,1.83
0-0 1-0 *0-0,1.83,1.89
0-0 2-0 0-0*,1.81,1.92
0-0 2-0 0-30*,1.94,1.80
0-0 2-0 15-30*,1.88,1.85
0-0 2-0 30-30*,1.78,1.96
0-0 2-0 30-40*,1.90,1.83
0-0 2-1 *0-0,2.02,1.73
0-0 2-1 *15-0,1.91,1.81
0-0 2-1 *30-0,1.83,1.89
0-0 2-1 *40-0,1.78,1.96
0-0 2-1 *40-15,1.81,1.92
0-0 3-1 0-0*,1.75,2.00
0-0 3-1 0-15*,1.81,1.92
0-0 3-1 0-30*,1.88,1.85
0-0 3-1 0-40*,1.93,1.81
0-0 3-1 0-40*,1.92,1.81
0-0 3-2 *0-0,1.95,1.78
0-0 3-2 *0-15,2.12,1.67
0-0 3-2 *0-30,2.33,1.56
0-0 3-2 *30-30,1.98,1.77
0-0 3-2 *30-40,2.25,1.59
0-0 3-3 0-0*,2.76,1.41
0-0 3-3 0-15*,2.98,1.36
0-0 3-3 0-30*,3.22,1.31
0-0 3-3 0-40*,3.32,1.30
0-0 3-4 *0-0,3.45,1.28
0-0 3-4 *15-0,3.22,1.31
0-0 3-4 *30-15,3.14,1.33
0-0 3-4 *30-30,3.45,1.28
0-0 3-4 *30-40,4.25,1.20
0-0 3-4 *40-40,3.45,1.28
0-0 3-4 *40-A,4.25,1.20
0-0 3-4 *40-A,3.45,1.28
0-0 3-4 *40-A,3.66,1.25
0-0 3-4 *40-A,4.25,1.20
0-0 3-4 *40-A,3.50,1.28
0-0 3-4 *40-A,4.25,1.20
0-0 3-5 0-0*,5.40,1.13
0-0 3-5 0-15*,6.00,1.11
0-0 3-5 0-30*,6.00,1.10
0-1 3-6 *0-0,6.50,1.08
0-1 3-6 *15-0,6.00,1.10
0-1 3-6 *30-0,5.90,1.11
0-1 3-6 *40-0,5.40,1.13
0-1 3-6 0-0*,5.40,1.13
0-1 3-6 0-15*,5.50,1.13
0-1 1-0 15-15*,5.70,1.13
0-1 1-0 15-15*,5.50,1.13
0-1 1-0 30-15*,5.20,1.14
0-1 1-0 30-40*,5.70,1.12
0-1 1-1 *0-0,6.00,1.10
0-1 1-1 *15-0,5.90,1.11
0-1 1-1 *15-15,6.00,1.10
0-1 1-1 *30-15,5.50,1.13
0-1 1-1 *30-15,5.70,1.12
0-1 1-1 *40-15,5.20,1.14
0-1 2-1 0-0*,5.20,1.14
0-1 2-1 15-0*,4.65,1.17
0-1 2-1 15-15*,5.20,1.14
0-1 2-1 15-30*,5.40,1.13
0-1 2-1 30-30*,5.00,1.15
0-1 2-1 30-30*,4.65,1.17
0-1 2-1 40-30*,4.25,1.20
0-1 2-1 40-40*,4.65,1.17
0-1 2-1 40-A*,5.40,1.13
0-1 2-2 *0-0,6.00,1.11
0-1 2-2 *15-0,5.40,1.13
0-1 2-2 *30-0,5.20,1.14
0-1 2-2 *40-0,4.65,1.17
0-1 2-2 *40-15,5.20,1.14
0-1 2-2 *40-30,5.20,1.14
0-1 3-2 0-0*,4.65,1.17
0-1 3-2 15-0*,4.25,1.20
0-1 3-2 15-15*,4.65,1.17
0-1 3-2 15-30*,5.20,1.14
0-1 3-2 30-30*,4.65,1.17
0-1 3-2 40-30*,3.78,1.25
0-1 3-2 40-40*,4.60,1.17
0-1 3-2 40-A*,5.20,1.14
0-1 3-3 *0-15,5.40,1.13
0-1 3-3 *15-15,5.50,1.13
0-1 3-3 *40-15,5.20,1.14
0-1 3-3 *40-30,5.20,1.14
0-1 3-3 *40-40,6.00,1.11
0-1 3-3 *40-A,7.50,1.07
0-1 3-4 0-0*,10.00,1.03
0-1 3-4 0-15*,12.00,1.02
0-1 3-4 0-30*,13.00,1.01
0-1 3-4 0-40*,15.00,1.01
0-1 3-5 *0-0,17.00,1.005
0-1 3-5 *15-0,14.00,1.01
0-1 3-5 *15-0,13.00,1.01
0-1 3-5 *40-15,13.00,1.01
0-1 4-5 0-0*,12.00,1.02
0-1 4-5 0-15*,17.00,1.005
0-1 4-5 0-30*,51.00,1.002
0-1 4-5 0-30*,41.00,1.002
0-1 4-5 0-40*,101.00,1.001
0-2 4-6 *0-0,1.001,1.001
