Score,P1 Odds,P2 Odds
-,3.45,1.28
-,4.00,1.22
0-0 0-0 *30-15,3.70,1.25
0-0 0-0 *30-30,4.00,1.22
0-0 0-0 *40-30,3.70,1.25
0-0 0-0 *A-40,3.70,1.25
0-0 1-0 0-0*,3.35,1.30
0-0 1-0 15-0*,3.13,1.33
0-0 1-0 15-15*,3.13,1.33
0-0 1-0 15-40*,3.70,1.25
0-0 1-1 *0-0,3.92,1.23
0-0 1-1 *0-15,4.25,1.20
0-0 1-1 *15-30,4.60,1.17
0-0 1-1 *15-40,5.20,1.14
0-0 1-2 0-0*,6.00,1.10
0-0 1-2 0-15*,6.50,1.08
0-0 1-2 0-30*,6.50,1.08
0-0 1-3 *0-0,7.50,1.07
0-0 1-3 *15-0,6.50,1.08
0-0 1-3 *30-0,6.50,1.08
0-0 1-3 *30-15,6.50,1.08
0-0 1-3 *40-15,6.50,1.08
0-0 2-3 0-0*,6.50,1.09
0-0 2-3 0-15*,6.50,1.08
0-0 2-3 0-30*,7.50,1.07
0-0 2-3 0-40*,7.50,1.06
0-0 2-4 *0-0,7.75,1.06
0-0 2-4 *15-0,7.50,1.06
0-0 2-4 *15-15,7.75,1.06
0-0 2-4 *30-15,7.50,1.06
0-0 2-4 *40-15,7.50,1.06
0-0 3-4 0-0*,6.50,1.08
0-0 3-4 0-15*,7.50,1.06
0-0 3-4 0-40*,8.00,1.06
0-0 3-5 *0-0,8.00,1.05
0-0 3-5 *0-15,8.50,1.05
0-0 3-5 *15-15,8.50,1.05
0-0 3-5 *30-15,8.00,1.06
0-0 3-5 *30-30,8.50,1.05
0-0 3-5 *40-40,8.50,1.05
0-0 3-5 *40-A,9.50,1.04
0-0 3-5 *A-40,8.00,1.06
0-0 4-5 0-0*,7.75,1.06
0-0 4-5 15-0*,6.00,1.10
0-0 4-5 15-15*,7.00,1.08
0-0 4-5 15-40*,9.50,1.04
0-1 4-6 *0-0,9.50,1.04
0-1 4-6 *15-0,8.50,1.05
0-1 4-6 *15-15,9.50,1.04
0-1 0-0 *15-15,9.50,1.04
0-1 0-0 *40-15,8.00,1.06
0-1 0-0 *40-30,8.50,1.05
0-1 0-0 *40-40,9.50,1.04
0-1 0-0 *40-A,12.00,1.02
0-1 0-1 0-0*,17.00,1.005
0-1 0-1 0-40*,34.00,1.002
0-1 0-2 *0-0,41.00,1.002
0-1 0-2 *0-15,41.00,1.002
0-1 0-2 *0-30,81.00,1.001
0-1 0-2 *15-40,81.00,1.001
0-1 0-3 0-0*,101.00,1.001
