Score,P1 Odds,P2 Odds
-,1.22,4.00
0-0 0-0 0-30*,1.28,3.45
0-0 0-0 0-40*,1.30,3.33
0-0 0-1 *0-0,1.31,3.24
0-0 0-1 *0-15,1.33,3.14
0-0 0-1 *15-15,1.30,3.32
0-0 0-1 *30-30,1.30,3.32
0-0 0-1 *30-40,1.38,2.88
0-0 0-2 0-0*,1.51,2.45
0-0 0-2 15-0*,1.44,2.65
0-0 0-2 15-15*,1.50,2.47
0-0 0-2 15-30*,1.58,2.29
0-0 0-2 30-40*,1.60,2.25
0-0 0-3 *0-0,1.70,2.07
0-0 0-3 *15-0,1.65,2.15
0-0 0-3 *15-15,1.71,2.06
0-0 0-3 *15-40,1.91,1.82
0-0 0-3 *15-40,1.93,1.81
0-0 0-4 0-0*,2.04,1.72
0-0 0-4 30-0*,1.89,1.83
0-0 0-4 30-15*,1.95,1.79
0-0 0-4 40-15*,1.86,1.87
0-0 1-4 *0-0,1.81,1.92
0-0 1-4 *0-15,1.89,1.84
0-0 1-4 *15-15,1.81,1.93
0-0 1-4 *30-15,1.74,2.01
0-0 1-4 *30-30,1.82,1.91
0-0 1-4 *30-30,1.83,1.90
0-0 1-4 *40-30,1.74,2.01
0-0 2-4 0-0*,1.66,2.13
0-0 2-4 0-15*,1.75,2.00
0-0 2-4 0-30*,1.63,2.19
0-0 2-4 0-40*,1.69,2.09
0-0 2-5 *0-0,1.72,2.04
0-0 2-5 *0-0,1.96,1.78
0-0 2-5 *15-0,1.89,1.84
0-0 2-5 *30-0,1.84,1.89
0-0 2-5 *30-15,1.89,1.84
0-0 2-5 *30-30,1.89,1.76
0-0 2-5 *30-40,2.12,1.67
0-1 2-6 0-0*,2.32,1.56
0-1 2-6 15-0*,2.16,1.65
0-1 2-6 30-0*,2.00,1.74
0-1 2-6 40-0*,1.89,1.84
0-1 2-6 *0-0,1.84,1.89
0-1 1-0 *0-0,1.84,1.89
0-1 1-0 *15-0,1.75,2.00
0-1 1-0 *30-0,1.68,2.10
0-1 1-0 *40-0,1.63,2.19
0-1 2-0 0-0*,1.61,2.23
0-1 2-0 15-0*,1.55,2.35
0-1 2-0 15-0*,1.49,2.49
0-1 2-0 15-15*,1.54,2.37
0-1 2-0 15-30*,1.60,2.24
0-1 2-0 15-40*,1.66,2.13
0-1 2-1 *0-0,1.71,2.05
0-1 2-1 *15-0,1.64,2.17
0-1 2-1 *30-0,1.57,2.30
0-1 2-1 *30-15,1.63,2.19
0-1 2-1 *30-15,1.63,2.18
0-1 2-1 *40-15,1.56,2.32
0-1 2-1 *40-30,1.61,2.23
0-1 2-1 *A-40,1.62,2.20
0-1 3-1 0-0*,1.53,2.40
0-1 3-1 15-0*,1.48,2.54
0-1 3-1 15-15*,1.52,2.41
0-1 3-1 15-30*,1.58,2.27
0-1 3-1 15-40*,1.64,2.17
0-1 3-1 30-40*,1.60,2.25
0-1 3-2 *0-0,1.67,2.11
0-1 3-2 *15-0,1.60,2.25
0-1 3-2 *30-0,1.54,2.37
0-1 3-2 *40-0,1.50,2.47
0-1 4-2 0-0*,1.49,2.50
0-1 4-2 15-0*,1.44,2.65
0-1 4-2 15-0*,1.44,2.66
0-1 4-2 15-15*,1.48,2.53
0-1 4-2 15-15*,1.43,2.69
0-1 4-2 40-15*,1.38,2.91
0-1 5-2 *0-0,1.34,3.07
0-1 5-2 *0-0,1.31,3.27
0-1 5-2 *0-15,1.33,3.14
0-1 5-2 *15-15,1.31,3.26
0-1 5-2 *30-15,1.30,3.32
0-1 5-2 *30-30,1.31,3.22
0-1 5-2 *40-30,1.30,3.32
0-1 5-2 *40-40,1.33,3.16
0-1 5-2 *40-A,1.35,3.03
0-1 5-2 *40-40,1.33,3.18
0-1 5-2 *A-40,1.30,3.32
0-1 5-2 *40-40,1.33,3.16
0-1 5-2 *40-40,1.30,3.32
1-1 6-2 0-0*,1.28,3.45
1-1 6-2 0-15*,1.34,3.09
1-1 0-0 0-15*,1.28,3.45
1-1 0-0 30-15*,1.22,4.00
1-1 0-0 40-15*,1.14,5.20
1-1 0-0 40-30*,1.20,4.25
1-1 1-0 *0-0,1.11,5.90
1-1 1-0 *0-15,1.16,4.80
1-1 1-0 *0-30,1.20,4.25
1-1 1-0 *15-30,1.17,4.65
1-1 1-0 *15-40,1.25,3.70
1-1 1-0 *30-40,1.20,4.25
1-1 1-1 0-0*,1.31,3.25
1-1 1-1 0-15*,1.39,2.84
1-1 1-1 0-30*,1.48,2.54
1-1 1-1 0-40*,1.55,2.34
1-1 1-1 15-40*,1.51,2.45
1-1 1-2 *0-0,1.60,2.25
1-1 1-2 *0-15,1.77,1.98
1-1 1-2 *0-30,2.04,1.72
1-1 1-2 *0-40,2.41,1.52
1-1 1-3 0-0*,2.71,1.43
1-1 1-3 15-0*,2.42,1.52
1-1 1-3 15-15*,2.81,1.40
1-1 1-3 30-15*,2.33,1.56
1-1 1-3 30-30*,2.78,1.41
1-1 1-3 30-40*,3.45,1.28
1-1 1-3 40-40*,2.75,1.41
1-1 1-3 40-A*,3.45,1.28
1-1 1-3 40-A*,4.65,1.17
1-1 1-3 40-15*,5.40,1.13
1-1 1-3 15-15*,4.65,1.17
1-1 1-3 30-15*,4.05,1.22
1-1 1-3 30-30*,4.65,1.17
1-1 1-3 30-30*,5.00,1.15
1-1 1-3 40-30*,4.00,1.22
1-1 2-3 0-0*,3.45,1.28
1-1 2-4 0-0*,3.45,1.28
1-1 2-4 15-15*,3.45,1.28
1-1 2-4 30-15*,2.70,1.43
1-1 2-4 30-30*,3.35,1.30
1-1 2-4 30-40*,4.65,1.17
1-1 2-5 *0-0,6.50,1.08
1-1 2-5 *0-0,8.50,1.05
1-1 2-5 *15-0,7.00,1.07
1-1 2-5 *30-0,6.00,1.11
1-1 2-5 *30-30,7.50,1.06
1-1 2-5 *40-30,5.90,1.11
1-1 2-5 *40-30,6.00,1.11
1-1 2-5 *40-40,7.75,1.06
1-1 2-5 *A-40,5.90,1.11
1-1 3-5 0-0*,5.20,1.14
1-1 3-5 0-15*,7.00,1.07
1-1 3-5 0-30*,11.00,1.02
1-1 3-5 0-40*,34.00,1.002
1-2 3-6 0-0*,1.001,1.001
