Score,P1 Odds,P2 Odds
-,1.57,2.31
-,1.83,1.90
0-0 0-1 *30-30,2.23,1.61
0-0 1-1 0-0*,2.13,1.66
0-0 1-1 15-0*,1.97,1.77
0-0 1-1 15-15*,2.11,1.67
0-0 1-1 30-30*,2.08,1.69
0-0 1-1 30-30*,2.05,1.71
0-0 1-1 40-30*,1.81,1.92
0-0 1-1 40-40*,2.01,1.74
0-0 1-1 A-40*,1.81,1.92
0-0 1-1 40-A*,2.21,1.62
0-0 1-2 *0-0,2.34,1.55
0-0 1-2 *15-0,2.24,1.60
0-0 1-2 *30-0,2.17,1.64
0-0 1-2 *30-15,2.26,1.59
0-0 1-2 *40-30,2.25,1.60
0-0 2-2 0-0*,2.12,1.67
0-0 2-2 0-15*,2.22,1.61
0-0 2-2 0-40*,2.35,1.55
0-0 2-3 *0-0,2.40,1.53
0-0 2-3 *30-0,2.19,1.63
0-0 2-3 *40-0,2.14,1.65
0-0 2-3 *40-15,2.18,1.63
0-0 3-3 0-0*,2.10,1.68
0-0 3-3 15-0*,1.93,1.80
0-0 3-3 15-15*,2.07,1.70
0-0 3-3 15-30*,2.24,1.60
0-0 3-3 15-40*,2.50,1.49
0-0 3-4 *0-0,2.61,1.45
0-0 3-4 *15-0,2.47,1.50
0-0 3-4 *30-0,2.35,1.55
0-0 3-4 *40-0,2.30,1.57
0-0 3-4 *40-15,2.34,1.55
0-0 4-4 0-0*,2.25,1.60
0-0 4-4 0-15*,2.39,1.53
0-0 4-4 0-15*,2.52,1.48
0-0 4-4 0-40*,2.61,1.45
0-0 4-4 15-40*,2.55,1.47
0-0 4-5 *0-0,2.64,1.45
0-0 4-5 *30-0,2.33,1.56
0-0 4-5 *30-15,2.47,1.50
0-0 4-5 *40-15,2.30,1.57
0-0 5-5 0-0*,2.30,1.57
0-0 5-5 0-15*,2.33,1.56
0-0 5-5 0-30*,2.47,1.50
0-0 5-5 0-40*,2.54,1.48
0-0 5-5 15-40*,2.49,1.49
0-0 5-5 30-40*,2.35,1.55
0-0 5-6 *0-0,2.58,1.46
0-0 5-6 *0-0,2.40,1.53
0-0 5-6 *30-15,2.37,1.54
0-0 6-6 0-0*,2.16,1.65
0-0 6-6 *0-1,2.42,1.52
0-0 6-6 *1-1,2.15,1.65
0-0 6-6 1-2*,2.69,1.43
0-0 6-6 1-3*,3.12,1.33
0-0 6-6 *2-3,2.55,1.47
0-0 6-6 *1-5,4.60,1.17
0-0 6-6 *1-5,4.25,1.20
0-0 6-6 *1-6,4.60,1.17
0-0 6-6 *3-6,4.25,1.20
0-0 6-6 5-6*,3.32,1.30
0-0 6-6 6-6*,2.13,1.66
0-0 6-6 6-6*,2.01,1.74
0-0 6-6 *7-6,1.53,2.39
0-0 6-6 *7-7,2.25,1.60
0-0 6-6 8-8*,2.01,1.74
0-0 6-6 *9-8,1.53,2.39
1-0 7-6 *0-0,1.31,3.26
1-0 7-6 *15-0,1.30,3.35
1-0 0-0 *15-15,1.30,3.35
1-0 0-0 *15-30,1.39,2.85
1-0 0-0 *15-40,1.50,2.47
1-0 0-0 *30-40,1.44,2.67
1-0 0-0 *40-40,1.33,3.16
1-0 0-0 *A-40,1.28,3.45
1-0 1-0 0-0*,1.25,3.70
1-0 1-0 0-15*,1.28,3.45
1-0 1-0 0-30*,1.30,3.32
1-0 1-0 0-40*,1.30,3.31
1-0 1-0 15-40*,1.30,3.32
1-0 1-1 *0-0,1.31,3.24
1-0 1-1 *15-0,1.30,3.32
1-0 1-1 *15-15,1.33,3.20
1-0 1-1 *30-30,1.33,3.14
1-0 1-1 *40-30,1.28,3.40
1-0 2-1 0-0*,1.25,3.70
1-0 2-1 15-0*,1.20,4.25
1-0 2-1 15-15*,1.25,3.75
1-0 2-1 15-30*,1.28,3.45
1-0 2-1 15-40*,1.30,3.32
1-0 2-2 *40-0,1.25,3.70
1-0 3-2 0-0*,1.25,3.75
1-0 3-2 0-15*,1.28,3.45
1-0 3-2 15-15*,1.22,4.00
1-0 3-2 30-15*,1.17,4.60
1-0 3-2 30-30*,1.22,4.00
1-0 3-2 40-40*,1.20,4.25
1-0 3-2 40-A*,1.28,3.45
1-0 3-2 40-A*,1.30,3.32
1-0 3-2 40-40*,1.22,4.00
1-0 3-2 40-A*,1.30,3.32
1-0 3-2 40-40*,1.22,4.00
1-0 3-2 40-A*,1.31,3.28
1-0 3-3 *0-0,1.34,3.08
1-0 3-3 *15-0,1.30,3.31
1-0 3-3 *30-0,1.28,3.45
1-0 3-3 *30-15,1.31,3.25
1-0 3-3 *40-15,1.28,3.45
1-0 4-3 0-0*,1.25,3.69
1-0 4-3 0-0*,1.25,3.70
1-0 4-3 15-0*,1.20,4.25
1-0 4-3 15-15*,1.25,3.70
1-0 4-3 15-30*,1.28,3.45
1-0 4-3 15-40*,1.33,3.14
1-0 4-4 *0-0,1.34,3.10
1-0 4-4 *15-0,1.30,3.32
1-0 4-4 *15-0,1.28,3.45
1-0 4-4 *30-15,1.30,3.32
1-0 4-4 *40-15,1.28,3.50
1-0 4-4 *40-30,1.30,3.32
1-0 5-4 0-0*,1.25,3.70
1-0 5-4 0-15*,1.28,3.45
1-0 5-4 15-15*,1.22,4.00
1-0 5-4 15-30*,1.28,3.45
1-0 5-4 30-30*,1.20,4.25
1-0 5-4 30-40*,1.30,3.32
1-0 5-4 30-40*,1.28,3.40
1-0 5-5 *0-0,1.35,3.03
1-0 5-5 *0-0,1.30,3.31
1-0 5-5 *40-15,1.28,3.50
1-0 5-5 *40-30,1.30,3.32
1-0 5-5 *40-40,1.41,2.77
1-0 5-5 *A-40,1.30,3.32
1-0 6-5 0-0*,1.25,3.70
1-0 6-5 0-30*,1.33,3.16
1-0 6-5 0-40*,1.34,3.09
1-0 6-5 15-40*,1.33,3.14
1-0 6-6 *0-0,1.35,3.05
1-0 6-6 *0-0,1.37,2.93
1-0 6-6 1-0*,1.25,3.78
1-0 6-6 2-0*,1.13,5.40
1-0 6-6 *3-0,1.06,7.75
1-0 6-6 *4-0,1.02,11.00
1-0 6-6 5-0*,1.005,17.00
1-0 6-6 5-0*,1.005,34.00
1-0 6-6 6-0*,1.001,126.00
2-0 7-6 0-0*,1.001,1.001
