Score,P1 Odds,P2 Odds
-,1.35,3.02
0-0 1-0 30-30*,1.28,3.45
0-0 1-0 30-40*,1.31,3.26
0-0 1-1 *15-0,1.33,3.14
0-0 1-1 *40-0,1.30,3.32
0-0 2-1 0-0*,1.28,3.45
0-0 2-1 0-15*,1.28,3.45
0-0 2-1 0-30*,1.31,3.28
0-0 2-1 30-30*,1.28,3.45
0-0 2-2 *0-0,1.36,2.99
0-0 2-2 *15-15,1.37,2.94
0-0 2-2 *30-15,1.33,3.14
0-0 3-2 0-0*,1.30,3.32
0-0 4-4 *0-0,1.34,3.09
0-0 4-4 *0-15,1.43,2.70
0-0 4-4 *0-30,1.55,2.34
0-0 4-4 *0-40,1.77,1.98
0-0 4-4 *15-40,1.67,2.12
0-0 5-4 40-15*,1.11,5.90
0-0 5-4 40-40*,1.23,3.92
0-0 5-4 40-A*,1.30,3.32
0-0 5-5 *0-0,1.37,2.95
0-0 5-5 *15-0,1.33,3.16
0-0 5-5 *30-15,1.31,3.24
0-0 5-5 *40-15,1.30,3.32
0-0 6-5 0-0*,1.28,3.45
0-0 6-5 15-0*,1.20,4.25
0-0 6-5 15-30*,1.31,3.26
0-0 6-6 *0-0,1.39,2.84
0-0 6-6 1-1*,1.40,2.81
0-0 6-6 *1-3,1.80,1.93
0-0 6-6 1-5*,2.31,1.57
0-1 0-0 0-0*,2.50,1.49
0-1 0-0 0-0*,2.33,1.56
0-1 0-0 15-15*,2.30,1.58
0-1 0-0 15-30*,2.44,1.51
0-1 0-0 30-40*,2.49,1.49
0-1 0-1 *0-0,2.65,1.44
0-1 0-1 *15-0,2.50,1.49
0-1 1-1 0-0*,2.36,1.54
0-1 1-1 15-0*,2.18,1.63
0-1 1-1 30-0*,1.96,1.78
0-1 1-1 30-15*,2.09,1.69
0-1 1-1 40-15*,1.86,1.87
0-1 2-1 *0-0,1.71,2.06
0-1 2-1 *15-0,1.66,2.13
0-1 2-1 *30-15,1.66,2.13
0-1 2-1 *40-30,1.65,2.14
0-1 3-1 0-0*,1.61,2.23
0-1 3-1 15-15*,1.59,2.26
0-1 3-1 30-30*,1.58,2.27
0-1 3-2 *0-0,1.68,2.10
0-1 3-2 *15-15,1.72,2.04
0-1 3-2 *30-15,1.65,2.15
0-1 3-2 *40-30,1.63,2.19
0-1 3-2 *40-40,1.78,1.96
0-1 4-2 0-0*,1.51,2.45
0-1 4-2 0-30*,1.55,2.35
0-1 4-3 *0-0,1.58,2.27
0-1 4-3 *15-15,1.70,2.08
0-1 4-3 *30-15,1.52,2.42
0-1 4-3 *40-15,1.46,2.58
0-1 4-3 *40-30,1.50,2.47
0-1 4-3 *30-30,1.45,2.61
0-1 4-3 *40-30,1.40,2.79
1-1 6-3 *0-0,1.34,3.10
1-1 0-0 *0-0,1.34,3.10
1-1 0-0 *15-0,1.30,3.32
1-1 0-0 *15-15,1.35,3.02
1-1 0-0 *30-30,1.37,2.92
1-1 0-0 *40-30,1.30,3.32
1-1 1-0 15-15*,1.25,3.70
1-1 1-0 30-15*,1.17,4.60
1-1 1-0 30-30*,1.25,3.70
1-1 1-0 30-40*,1.31,3.24
1-1 1-0 40-40*,1.22,4.00
1-1 1-0 40-A*,1.22,4.00
1-1 1-0 A-40*,1.17,4.65
1-1 1-0 40-40*,1.31,3.27
1-1 1-0 40-40*,1.22,4.00
1-1 1-0 A-40*,1.17,4.65
1-1 1-0 40-40*,1.33,3.20
1-1 1-1 *0-0,1.38,2.91
1-1 1-1 *15-30,1.54,2.37
1-1 1-1 *A-40,1.33,3.14
1-1 2-1 0-0*,1.28,3.45
1-1 2-1 30-0*,1.14,5.20
1-1 2-1 30-15*,1.20,4.25
1-1 2-1 30-30*,1.28,3.50
1-1 3-1 *0-0,1.05,8.50
1-1 3-1 *15-15,1.05,8.50
1-1 3-1 *30-30,1.06,8.00
1-1 3-1 *30-30,1.06,7.50
1-1 3-1 *40-30,1.04,9.50
1-1 3-1 *40-40,1.06,8.00
1-1 3-1 *A-40,1.03,10.00
1-1 4-1 0-0*,1.02,12.00
1-1 4-1 30-0*,1.005,17.00
1-1 4-1 40-0*,1.002,41.00
1-1 4-1 40-15*,1.002,34.00
1-1 5-1 *0-0,1.001,101.00
