Score,P1 Odds,P2 Odds
-,8.50,1.05
0-0 0-0 *15-0,10.00,1.03
0-0 0-0 *15-15,11.00,1.02
0-0 0-0 *15-40,13.00,1.01
0-0 0-1 0-0*,14.00,1.01
0-0 0-1 40-0*,11.00,1.02
0-0 1-1 *0-0,10.00,1.03
0-0 1-1 *30-0,9.50,1.04
0-0 1-1 *30-15,9.50,1.04
0-0 1-1 *40-15,9.50,1.04
0-0 1-1 *40-15,5.20,1.14
0-0 1-2 *15-15,5.90,1.11
0-0 1-2 *15-30,7.50,1.06
0-0 2-2 *15-30,8.50,1.05
0-0 2-3 0-0*,9.50,1.04
0-0 2-3 0-15*,10.00,1.03
0-0 2-3 15-15*,9.50,1.04
0-0 2-3 30-30*,9.50,1.04
0-0 3-3 *0-0,6.00,1.11
0-0 3-3 *15-0,5.40,1.13
0-0 3-3 *15-15,5.20,1.14
0-0 3-3 *15-30,5.90,1.11
0-0 3-3 *15-40,6.50,1.08
0-0 3-3 *30-40,6.00,1.11
0-0 3-4 0-0*,8.00,1.06
0-0 3-4 40-30*,6.00,1.11
0-0 4-4 *0-0,4.65,1.17
0-0 4-4 *0-15,5.40,1.13
0-0 4-4 *0-40,8.00,1.06
0-0 4-5 0-0*,8.50,1.05
0-1 0-0 *A-40,12.00,1.02
0-1 0-0 *A-40,13.00,1.01
0-1 0-1 0-0*,34.00,1.004
0-1 1-1 *30-30,12.00,1.01
0-1 1-1 *40-40,13.00,1.01
0-1 1-1 *40-A,14.00,1.01
0-1 1-1 *A-40,11.00,1.02
0-1 1-1 *40-40,13.00,1.01
0-1 2-1 0-0*,9.50,1.04
0-1 2-1 0-15*,10.00,1.03
0-1 2-2 *30-40,21.00,1.005
