Score,P1 Odds,P2 Odds
-,1.68,2.10
0-0 0-0 *30-15,1.55,2.35
0-0 1-0 0-0*,1.51,2.44
0-0 1-0 15-0*,1.45,2.61
0-0 1-0 30-0*,1.38,2.87
0-0 1-0 40-0*,1.33,3.12
0-0 1-0 40-15*,1.36,3.00
0-0 2-0 *0-0,1.31,3.26
0-0 2-0 *0-0,1.31,3.24
0-0 2-0 *15-0,1.30,3.35
0-0 2-0 *15-0,1.25,3.66
0-0 3-0 0-0*,1.23,3.92
0-0 3-0 0-0*,1.17,4.60
0-0 3-0 15-0*,1.17,4.65
0-0 3-0 30-0*,1.14,5.20
0-0 3-0 40-0*,1.14,5.40
0-0 3-0 40-0*,1.13,5.40
0-0 4-0 *0-0,1.13,5.40
0-0 4-0 *15-0,1.13,5.40
0-0 4-0 *30-0,1.13,5.40
0-0 4-0 *30-0,1.12,5.70
0-0 5-0 0-0*,1.11,6.00
0-0 5-0 0-0*,1.05,8.50
0-0 5-0 0-15*,1.05,8.50
0-0 5-0 15-15*,1.05,8.50
0-0 5-0 30-15*,1.05,8.50
0-0 5-0 40-30*,1.03,10.00
0-0 5-0 40-40*,1.03,10.00
1-0 6-0 *0-0,1.03,10.00
1-0 6-0 *0-0,1.05,8.50
1-0 0-0 *0-15,1.06,7.75
1-0 0-0 *15-15,1.05,8.50
1-0 0-0 *15-30,1.06,7.50
1-0 0-0 *15-40,1.10,6.00
1-0 0-1 0-0*,1.11,5.90
1-0 0-1 0-15*,1.13,5.40
1-0 0-1 15-15*,1.11,5.90
1-0 0-1 30-15*,1.10,6.00
1-0 0-1 40-15*,1.06,7.50
1-0 0-1 40-15*,1.05,8.50
1-0 0-1 40-15*,1.07,7.50
1-0 0-1 15-15*,1.05,8.50
1-0 0-1 30-15*,1.04,9.50
1-0 0-1 30-30*,1.06,8.00
1-0 0-1 40-30*,1.04,9.50
1-0 2-1 0-0*,1.03,10.00
1-0 2-1 15-0*,1.02,12.00
1-0 2-1 15-15*,1.03,10.00
1-0 2-1 30-30*,1.04,9.50
1-0 2-1 30-30*,1.03,10.00
1-0 2-1 30-40*,1.04,9.50
1-0 2-2 *0-0,1.06,8.00
1-0 2-2 *30-0,1.04,9.50
1-0 2-2 *30-15,1.05,8.50
1-0 2-2 *30-30,1.06,7.50
1-0 2-2 *30-40,1.11,6.00
1-0 2-3 0-0*,1.14,5.20
1-0 2-3 0-15*,1.17,4.60
1-0 2-3 0-40*,1.23,3.90
1-0 2-3 15-40*,1.22,4.00
1-0 2-3 30-40*,1.20,4.25
1-0 2-3 40-40*,1.14,5.20
1-0 3-3 *0-0,1.08,6.50
1-0 3-3 *0-0,1.09,6.50
1-0 3-3 *15-0,1.06,7.50
1-0 3-3 *40-0,1.04,9.50
1-0 3-3 *40-15,1.05,8.50
1-0 3-3 *15-15,1.04,9.50
1-0 3-3 *30-15,1.02,12.00
1-0 3-3 *40-30,1.02,12.00
1-0 5-3 *0-0,1.002,34.00
1-0 5-3 *15-0,1.002,67.00
1-0 5-3 *15-15,1.004,34.00
1-0 5-3 *30-15,1.002,67.00
1-0 5-3 *30-15,1.005,21.00
1-0 5-3 *40-15,1.002,81.00
2-0 6-3 *0-0,1.001,1.001
