Score,P1 Odds,P2 Odds
-,3.06,1.34
0-0 0-0 *0-15,3.30,1.30
0-0 0-0 *0-15,3.32,1.30
0-0 0-0 *0-30,3.50,1.28
0-0 0-0 *0-40,4.00,1.22
0-0 0-1 0-0*,4.25,1.20
0-0 0-1 0-0*,4.10,1.22
0-0 0-1 15-0*,3.70,1.25
0-0 0-1 15-15*,4.00,1.22
0-0 0-1 15-30*,4.60,1.17
0-0 0-1 15-40*,4.65,1.17
0-0 0-2 *0-0,5.00,1.15
0-0 0-2 *0-15,5.20,1.14
0-0 0-2 *0-30,5.40,1.13
0-0 0-2 *0-40,6.00,1.11
0-0 0-2 *15-40,5.90,1.11
0-0 0-3 0-0*,6.00,1.10
0-0 0-3 15-0*,6.00,1.11
0-0 0-3 30-0*,5.40,1.13
0-0 0-3 40-0*,5.20,1.14
0-0 1-3 *0-0,5.20,1.14
0-0 1-3 *30-0,4.60,1.17
0-0 1-3 *40-0,4.25,1.20
0-0 1-3 *40-15,4.25,1.20
0-0 1-3 *40-30,4.60,1.17
0-0 2-3 0-0*,4.10,1.22
0-0 2-3 0-15*,4.60,1.17
0-0 2-3 15-15*,4.00,1.22
0-0 2-3 15-15*,4.60,1.17
0-0 2-3 15-40*,5.00,1.15
0-0 2-3 30-40*,4.65,1.17
0-0 2-4 *0-0,5.20,1.14
0-0 2-4 *15-0,4.80,1.16
0-0 2-4 *15-15,5.20,1.14
0-0 2-4 *15-30,5.50,1.13
0-0 2-4 *30-30,5.20,1.14
0-0 2-4 *30-40,6.00,1.11
0-0 2-4 *30-40,5.20,1.14
0-0 3-4 0-0*,4.25,1.20
0-0 3-4 0-15*,4.65,1.17
0-0 3-4 15-15*,4.25,1.20
0-0 3-4 15-30*,4.65,1.17
0-0 3-4 30-30*,4.00,1.22
0-0 3-4 40-40*,4.00,1.22
0-0 3-4 40-40*,3.98,1.22
0-0 3-4 40-40*,5.40,1.13
0-0 3-4 15-40*,5.20,1.14
0-0 3-4 15-15*,5.40,1.13
0-0 3-4 40-15*,5.20,1.15
0-0 3-4 40-15*,5.00,1.15
0-0 4-4 0-0*,4.65,1.17
0-0 4-4 15-0*,4.00,1.22
0-0 4-5 30-0*,3.32,1.30
0-0 4-5 30-15*,3.75,1.25
0-0 4-5 30-30*,4.60,1.17
0-0 4-5 30-40*,5.40,1.13
0-1 4-6 *0-0,6.50,1.08
0-1 4-6 *15-0,6.00,1.10
0-1 4-6 *30-0,5.40,1.13
0-1 4-6 *30-15,6.00,1.11
0-1 0-0 *40-15,5.40,1.13
0-1 1-0 0-0*,5.20,1.14
0-1 1-0 0-15*,5.40,1.13
0-1 1-0 15-15*,5.20,1.14
0-1 1-0 30-15*,4.60,1.17
0-1 1-0 30-30*,5.20,1.14
0-1 1-0 30-40*,5.40,1.13
0-1 1-0 40-40*,4.65,1.17
0-1 2-0 *15-0,3.70,1.25
0-1 2-0 *15-15,4.00,1.22
0-1 2-0 *30-15,3.45,1.28
0-1 2-0 *30-30,4.00,1.22
0-1 2-0 *30-40,4.60,1.17
0-1 2-0 *40-40,4.00,1.22
0-1 2-1 0-0*,5.00,1.15
0-1 2-1 15-0*,4.60,1.17
0-1 2-1 15-0*,4.50,1.17
0-1 2-1 30-15*,4.25,1.20
0-1 2-1 30-40*,4.65,1.14
0-1 2-1 30-40*,5.20,1.14
0-1 2-2 *0-0,6.00,1.11
0-1 2-2 *15-0,5.40,1.13
0-1 2-2 *15-15,6.00,1.11
0-1 2-2 *30-15,5.20,1.14
0-1 2-2 *30-30,6.00,1.11
0-1 2-2 *30-40,7.50,1.06
0-1 2-3 0-0*,9.50,1.04
0-1 2-3 0-15*,10.00,1.03
0-1 2-3 15-15*,9.50,1.04
0-1 2-3 15-30*,11.00,1.02
0-1 2-3 15-40*,12.00,1.02
0-1 2-4 *0-0,13.00,1.01
0-1 2-4 *0-15,15.00,1.01
0-1 2-4 *0-30,34.00,1.004
0-1 2-4 *30-30,13.00,1.01
0-1 2-4 *40-30,12.00,1.02
0-1 2-4 *40-40,13.00,1.01
0-1 2-5 0-0*,81.00,1.001
0-1 2-5 0-15*,101.00,1.001
0-1 2-5 0-30*,126.00,1.001
0-1 2-5 0-40*,126.00,1.001
0-1 2-5 15-40*,126.00,1.001
