Score,P1 Odds,P2 Odds
-,1.78,1.95
0-0 0-0 *15-0,1.72,2.04
0-0 0-0 *15-15,1.80,1.93
0-0 0-0 *30-40,1.97,1.77
0-0 0-0 *40-40,1.81,1.92
0-0 0-0 *40-A,1.98,1.77
0-0 0-1 0-0*,2.21,1.62
0-0 0-1 15-0*,2.07,1.70
0-0 1-1 *40-30,1.80,1.93
0-0 1-2 0-0*,2.24,1.60
0-0 1-2 30-40*,2.47,1.50
0-0 1-2 A-40*,1.99,1.76
0-0 1-2 40-40*,2.21,1.62
0-0 1-3 *0-0,2.74,1.42
0-0 1-3 *15-0,2.58,1.46
0-0 1-3 *30-0,2.44,1.51
0-0 1-3 *30-0,2.56,1.47
0-0 2-3 0-0*,2.30,1.57
0-0 2-3 30-0*,1.95,1.79
0-0 2-3 30-15*,2.07,1.70
0-0 2-3 40-30*,2.00,1.75
0-0 2-3 40-A*,2.56,1.47
0-0 2-4 *30-0,2.55,1.47
0-0 2-4 *30-15,2.67,1.44
0-0 2-4 *40-15,2.50,1.49
0-0 2-4 *40-30,2.64,1.45
0-0 2-4 *40-A,3.30,1.30
0-0 2-5 0-0*,3.70,1.25
0-0 2-5 30-0*,3.33,1.30
0-0 2-5 30-30*,3.70,1.25
0-1 0-0 *0-0,4.20,1.20
0-1 0-0 *0-40,5.40,1.13
0-1 0-0 *15-40,5.20,1.14
0-1 0-0 *30-40,4.25,1.20
0-1 0-0 *A-40,3.70,1.25
0-1 1-0 0-0*,3.28,1.31
0-1 1-0 15-30*,3.45,1.28
0-1 1-0 15-40*,3.78,1.25
0-1 1-0 30-40*,3.45,1.28
0-1 1-0 A-40*,2.82,1.40
0-1 2-0 *0-0,2.47,1.50
0-1 2-0 *15-0,2.34,1.55
0-1 2-0 *15-15,2.47,1.50
0-1 2-0 *30-15,2.33,1.56
0-1 2-0 *40-30,2.28,1.58
0-1 3-0 0-0*,2.13,1.66
0-1 3-0 0-15*,2.20,1.62
0-1 3-0 30-15*,2.02,1.73
0-1 3-0 40-30*,1.99,1.76
0-1 4-0 *15-0,1.82,1.91
0-1 4-0 *15-30,1.92,1.81
0-1 4-0 *30-30,1.87,1.86
0-1 4-0 *30-40,1.94,1.79
0-1 4-1 0-0*,2.04,1.72
0-1 4-1 15-0*,1.96,1.78
0-1 4-1 30-0*,1.89,1.84
0-1 4-1 40-15*,1.87,1.87
0-1 5-1 *0-0,1.81,1.92
0-1 5-1 *15-0,1.78,1.95
0-1 5-1 *15-30,1.85,1.87
0-1 5-1 *15-40,1.90,1.83
0-1 5-2 0-0*,1.94,1.80
0-1 5-2 15-0*,1.83,1.90
0-1 5-2 40-15*,1.81,1.93
1-1 6-2 *0-0,1.77,1.98
1-1 0-0 *0-0,1.77,1.98
1-1 0-0 *15-15,1.77,1.97
1-1 0-0 *15-40,2.25,1.60
1-1 0-1 0-15*,2.82,1.40
1-1 0-1 15-30*,2.89,1.38
1-1 0-1 30-40*,3.32,1.30
1-1 0-1 A-40*,2.09,1.69
1-1 1-1 *0-0,1.79,1.95
1-1 1-1 *15-15,1.79,1.95
1-1 1-1 *15-30,2.01,1.74
1-1 1-2 0-0*,2.56,1.47
1-1 1-2 30-0*,2.02,1.73
1-1 1-2 40-0*,1.86,1.87
1-1 2-2 *0-0,1.94,1.79
1-1 2-2 *0-15,2.00,1.75
1-1 2-2 *15-15,1.79,1.95
1-1 2-2 *30-40,2.13,1.66
1-1 2-3 0-0*,2.66,1.44
1-1 2-3 15-0*,2.30,1.57
1-1 2-3 40-0*,1.86,1.87
1-1 2-3 40-15*,1.95,1.79
1-1 3-3 *0-0,2.01,1.74
1-1 3-3 *30-0,1.56,2.33
1-1 3-3 *40-30,1.50,2.47
1-1 3-3 *40-A,2.18,1.63
1-1 3-4 0-0*,2.87,1.38
1-1 3-4 15-0*,2.40,1.53
1-1 3-4 40-0*,1.85,1.88
1-1 4-4 *0-0,1.76,1.98
1-1 4-4 *0-15,2.07,1.70
1-1 4-4 *15-15,1.49,2.50
1-1 4-4 *40-15,1.30,3.32
1-1 5-4 0-0*,1.20,4.25
1-1 5-4 0-15*,1.33,3.20
1-1 5-4 15-30*,1.35,3.05
1-1 5-4 15-40*,1.57,2.31
1-1 5-5 *0-15,2.09,1.69
1-1 5-5 *15-30,2.17,1.64
1-1 5-5 *15-40,2.87,1.38
1-1 5-5 *40-40,1.75,1.99
1-1 5-5 *A-40,1.44,2.65
1-1 5-5 *A-40,1.44,2.66
1-1 6-5 0-0*,1.23,3.92
1-1 6-5 15-0*,1.14,5.20
1-1 6-5 30-30*,1.25,3.80
1-1 6-5 40-30*,1.10,6.00
