Score,P1 Odds,P2 Odds
-,2.40,1.53
0-0 1-2 *0-0,2.65,1.44
0-0 1-2 *0-0,2.67,1.44
0-0 1-2 *15-15,2.68,1.43
0-0 1-2 *15-15,2.74,1.42
0-0 1-2 *40-15,2.47,1.50
0-0 1-2 *40-30,2.58,1.46
0-0 1-2 *40-40,2.90,1.38
0-0 1-2 *A-40,2.56,1.47
0-0 1-2 *40-40,2.56,1.47
0-0 1-2 *40-A,3.32,1.30
0-0 1-2 *40-A,2.89,1.38
0-0 1-2 *A-40,2.59,1.46
0-0 2-2 0-0*,2.44,1.51
0-0 2-2 15-0*,2.25,1.59
0-0 2-2 15-15*,2.40,1.53
0-0 2-2 15-30*,2.55,1.47
0-0 2-2 15-40*,2.65,1.44
0-0 2-3 *0-0,2.72,1.42
0-0 2-3 *0-15,3.04,1.35
0-0 2-3 *15-15,2.76,1.41
0-0 2-3 *15-30,3.11,1.34
0-0 2-3 *15-40,3.70,1.25
0-0 2-4 0-0*,4.65,1.17
0-0 2-4 0-30*,4.80,1.16
0-0 2-4 0-30*,5.20,1.14
0-0 2-5 *0-0,5.20,1.14
0-0 2-5 *0-0,5.40,1.13
0-0 2-5 *30-0,5.20,1.14
0-0 3-5 0-0*,5.20,1.14
0-0 3-5 0-30*,5.40,1.13
0-0 3-5 15-30*,5.20,1.14
0-0 3-5 40-30*,3.70,1.25
0-0 3-5 40-40*,4.60,1.17
0-1 3-6 *0-0,5.40,1.13
0-1 3-6 *15-0,5.20,1.14
0-1 3-6 *30-15,5.40,1.13
0-1 0-0 *30-15,5.40,1.13
0-1 0-0 *30-40,7.00,1.08
0-1 0-1 0-0*,10.00,1.03
0-1 0-1 0-15*,11.00,1.02
0-1 0-1 15-15*,10.00,1.03
0-1 0-1 15-30*,11.00,1.02
0-1 0-1 30-30*,9.50,1.04
0-1 0-1 40-30*,8.00,1.06
0-1 0-1 40-40*,9.50,1.04
0-1 0-2 *0-0,12.00,1.02
0-1 0-2 *0-15,13.00,1.01
0-1 0-2 *15-15,12.00,1.02
0-1 0-2 *30-30,12.00,1.02
0-1 0-2 *40-30,11.00,1.02
0-1 1-2 0-0*,10.00,1.03
0-1 1-2 15-15*,10.00,1.03
0-1 1-2 40-15*,6.50,1.08
0-1 1-2 40-30*,7.50,1.06
0-1 1-2 40-40*,10.00,1.04
0-1 1-2 40-40*,9.50,1.04
0-1 1-2 A-40*,7.00,1.07
0-1 1-2 40-40*,9.50,1.04
0-1 1-2 40-A*,11.00,1.02
0-1 1-3 *0-0,11.00,1.02
0-1 1-2 40-A*,11.00,1.02
0-1 1-3 *15-15,13.00,1.01
0-1 1-3 *15-30,14.00,1.01
0-1 1-3 *15-40,34.00,1.002
0-1 1-3 *30-40,17.00,1.005
0-1 1-4 0-0*,81.00,1.001
