Score,P1 Odds,P2 Odds
-,2.70,1.43
0-0 0-0 *15-0,2.53,1.48
0-0 0-0 *30-0,2.44,1.51
0-0 0-0 *30-15,2.56,1.47
0-0 0-0 *30-30,2.77,1.41
0-0 0-0 *30-40,3.14,1.33
0-0 0-0 *30-40,3.25,1.31
0-0 0-0 *A-40,2.79,1.48
0-0 1-0 0-0*,2.39,1.53
0-0 1-0 15-0*,2.23,1.61
0-0 1-0 15-15*,2.35,1.55
0-0 1-0 30-15*,2.16,1.65
0-0 1-0 30-30*,2.27,1.58
0-0 1-0 30-40*,2.47,1.50
0-0 1-1 *0-0,2.61,1.46
0-0 1-1 *0-0,2.64,1.45
0-0 1-1 *15-15,2.68,1.43
0-0 1-1 *30-15,2.50,1.49
0-0 1-1 *40-15,2.39,1.53
0-0 2-1 0-0*,2.30,1.57
0-0 2-1 15-0*,2.13,1.66
0-0 2-1 15-15*,2.30,1.57
0-0 2-1 15-40*,2.52,1.48
0-0 2-2 *0-0,2.56,1.47
0-0 2-2 *15-15,2.60,1.46
0-0 2-2 *30-15,2.44,1.51
0-0 2-2 *30-30,2.65,1.44
0-0 2-2 *30-40,3.13,1.33
0-0 2-2 *40-40,2.65,1.44
0-0 2-2 *40-A,3.27,1.31
0-0 2-3 0-0*,4.25,1.20
0-0 2-3 15-0*,3.80,1.25
0-0 2-3 30-0*,3.32,1.30
0-0 2-3 40-0*,2.82,1.40
0-0 3-3 *0-0,2.58,1.46
0-0 3-3 *0-15,2.88,1.38
0-0 3-3 *15-15,2.58,1.46
0-0 3-3 *30-30,2.40,1.44
0-0 3-3 *30-30,2.67,1.44
0-0 3-3 *40-40,2.67,1.44
0-0 3-3 *A-40,2.35,1.55
0-0 4-3 0-0*,2.15,1.65
0-0 4-3 0-30*,2.41,1.52
0-0 4-3 0-40*,2.47,1.50
0-0 4-4 *0-0,2.50,1.49
0-0 4-4 *15-0,2.33,1.56
0-0 4-4 *15-30,3.07,1.34
0-0 4-4 *30-30,2.66,1.44
0-0 4-4 *40-30,2.29,1.58
0-0 5-4 0-0*,2.12,1.67
0-0 5-4 0-0*,2.09,1.69
0-0 5-4 0-15*,2.25,1.60
0-0 5-4 0-30*,2.40,1.53
0-0 5-4 15-30*,2.27,1.59
0-0 5-4 40-30*,1.71,2.05
0-0 5-4 40-40*,1.94,1.79
0-0 5-4 40-A*,2.26,1.59
0-0 5-5 *0-0,2.47,1.50
0-0 5-5 *0-15,2.80,1.40
0-0 5-5 *0-15,2.86,1.39
0-0 5-5 *15-15,2.58,1.46
0-0 5-5 *30-15,2.47,1.50
0-0 5-5 *40-15,2.30,1.57
0-0 6-5 0-0*,2.20,1.62
0-0 6-5 15-0*,1.97,1.77
0-0 6-5 30-0*,1.71,2.05
0-0 6-5 40-0*,1.50,2.47
0-0 6-5 40-15*,1.57,2.30
0-0 6-6 0-2*,3.70,1.25
0-0 6-6 *0-3,4.60,1.17
0-0 6-6 1-4*,5.20,1.14
0-0 6-6 1-5*,6.00,1.11
0-0 6-6 *1-6,6.00,1.10
0-1 6-7 0-0*,6.50,1.08
0-1 0-3 *40-15,15.00,1.01
0-1 1-3 0-0*,14.00,1.01
0-1 1-3 15-0*,12.00,1.02
0-1 1-3 30-0*,10.00,1.03
0-1 1-3 40-0*,9.50,1.04
0-1 2-3 *0-0,7.75,1.06
0-1 2-3 *0-30,10.00,1.03
0-1 2-3 *15-30,9.50,1.04
0-1 2-3 *15-30,12.00,1.02
0-1 2-3 *30-30,9.50,1.04
0-1 2-3 *40-30,8.00,1.06
0-1 2-3 *A-30,6.50,1.08
0-1 3-3 0-0*,6.00,1.10
0-1 3-3 0-15*,6.50,1.09
0-1 3-3 0-30*,7.00,1.07
0-1 3-3 15-30*,6.00,1.10
0-1 3-3 15-40*,7.00,1.07
0-1 3-3 30-40*,6.50,1.09
0-1 3-4 *0-0,7.50,1.06
0-1 3-4 *15-15,7.75,1.06
0-1 3-4 *30-15,6.50,1.08
0-1 3-4 *40-15,6.00,1.10
0-1 3-4 *40-30,6.50,1.09
0-1 3-4 *40-A,10.00,1.03
0-1 3-4 *40-40,8.50,1.05
0-1 3-4 *40-A,10.00,1.03
0-1 3-4 *40-A,8.50,1.05
0-1 3-4 *40-A,10.00,1.03
0-1 3-4 *40-A,8.50,1.05
0-1 3-4 *40-A,10.00,1.03
0-1 3-4 *40-A,8.00,1.06
0-1 3-4 *40-A,10.00,1.03
0-1 3-5 0-0*,34.00,1.002
0-1 3-5 15-0*,14.00,1.01
0-1 3-5 30-0*,12.00,1.02
0-1 3-5 30-15*,13.00,1.01
0-1 3-5 40-15*,10.00,1.03
0-1 3-5 40-30*,12.00,1.02
0-1 3-5 40-40*,34.00,1.004
0-1 3-5 40-A*,81.00,1.001
0-1 3-5 40-40*,15.00,1.01
0-1 3-5 40-A*,81.00,1.001
0-1 3-5 40-40*,15.00,1.01
0-2 3-6 0-0*,1.001,1.001
