Score,P1 Odds,P2 Odds
-,1.31,3.27
-,1.28,3.45
-,1.34,3.11
0-0 0-0 0-30*,1.42,2.73
0-0 0-0 0-30*,1.42,2.74
0-0 0-0 15-30*,1.38,2.88
0-0 0-0 30-30*,1.33,3.14
0-0 0-0 30-40*,1.40,2.81
0-0 0-1 *0-0,1.46,2.58
0-0 0-1 *15-0,1.42,2.74
0-0 0-1 *15-0,1.42,2.72
0-0 0-1 *30-0,1.38,2.87
0-0 0-1 *40-0,1.36,2.99
0-0 0-1 *40-15,1.37,2.92
0-0 1-1 0-0*,1.35,3.03
0-0 1-1 0-15*,1.40,2.82
0-0 1-1 0-30*,1.44,2.65
0-0 1-1 15-30*,1.40,2.79
0-0 1-1 15-30*,1.40,2.81
0-0 1-1 15-40*,1.45,2.61
0-0 1-1 30-40*,1.42,2.74
0-0 1-1 40-40*,1.34,3.11
0-0 1-1 40-A*,1.42,2.74
0-0 1-1 40-40*,1.34,3.06
0-0 1-1 40-40*,1.33,3.12
0-0 1-1 40-A*,1.41,2.76
0-0 1-2 *0-0,1.48,2.52
0-0 1-2 *15-0,1.48,2.52
0-0 1-2 *30-0,1.36,2.99
0-0 1-2 *30-15,1.39,2.84
0-0 1-2 *30-30,1.46,2.58
0-0 1-2 *40-30,1.46,2.91
0-0 1-2 *40-30,1.38,2.91
0-0 1-2 *40-30,1.38,2.87
0-0 1-2 *40-40,1.48,2.54
0-0 1-2 *A-40,1.38,2.90
0-0 2-2 0-0*,1.33,3.13
0-0 2-2 15-0*,1.28,3.45
0-0 2-2 15-15*,1.33,3.14
0-0 2-2 30-15*,1.28,3.45
0-0 2-2 30-30*,1.33,3.20
0-0 2-2 40-30*,1.25,3.70
0-0 2-2 40-30*,1.25,3.75
0-0 2-2 40-40*,1.31,3.25
0-0 2-2 A-40*,1.25,3.75
0-0 2-2 40-A*,1.39,2.84
0-0 2-2 40-40*,1.31,3.26
0-0 2-2 40-A*,1.40,2.82
0-0 2-3 *0-0,1.46,2.58
0-0 2-3 *0-0,1.47,2.55
0-0 2-3 *0-15,1.56,2.33
0-0 2-3 *15-15,1.49,2.50
0-0 2-3 *15-30,1.60,2.25
0-0 2-3 *15-40,1.76,1.99
0-0 2-3 *30-40,1.67,2.13
0-0 2-4 0-0*,1.91,1.82
0-0 2-4 15-0*,1.79,1.95
0-0 2-4 30-0*,1.68,2.10
0-0 2-4 30-15*,1.71,2.06
0-0 2-4 30-15*,1.70,2.07
0-0 3-4 *0-0,1.49,2.50
0-0 3-4 *15-0,1.42,2.72
0-1 0-0 *0-0,2.50,1.49
0-1 0-0 *0-0,2.25,1.59
