Score,P1 Odds,P2 Odds
-,10.00,1.03
0-0 0-1 *0-0,12.00,1.02
0-0 0-1 *15-15,12.00,1.02
0-0 0-1 *15-30,13.00,1.01
0-0 0-1 *15-40,14.00,1.01
0-0 0-1 *30-40,13.00,1.01
0-0 0-2 0-0*,17.00,1.005
0-0 0-2 0-30*,34.00,1.005
0-0 0-2 0-30*,34.00,1.004
0-0 0-2 15-30*,34.00,1.004
0-0 0-3 *0-0,34.00,1.004
0-0 0-3 *0-15,34.00,1.002
0-0 0-3 *15-15,34.00,1.004
0-0 0-3 *15-30,34.00,1.002
0-0 0-3 *30-30,34.00,1.004
0-0 0-4 0-15*,41.00,1.002
0-0 0-4 0-40*,51.00,1.002
0-0 0-4 15-40*,51.00,1.002
0-0 0-5 *0-0,51.00,1.002
0-0 0-5 *0-15,67.00,1.002
0-0 0-5 *30-40,67.00,1.002
0-0 0-5 *A-40,41.00,1.002
0-0 0-5 *40-40,51.00,1.002
0-0 0-5 *40-A,67.00,1.002
0-1 0-6 0-0*,67.00,1.002
0-1 0-6 0-0*,41.00,1.002
0-1 0-0 0-0*,34.00,1.002
0-1 0-0 15-15*,34.00,1.002
0-1 0-0 30-30*,34.00,1.002
0-1 0-0 40-30*,17.00,1.005
0-1 1-0 *0-0,13.00,1.01
0-1 1-0 *15-0,12.00,1.02
0-1 1-0 *15-15,13.00,1.01
0-1 1-0 *30-30,13.00,1.01
0-1 1-0 *40-30,12.00,1.02
0-1 1-0 *A-40,12.00,1.02
0-1 1-0 *40-40,13.00,1.01
0-1 1-0 *40-A,15.00,1.01
0-1 1-0 *A-40,12.00,1.02
0-1 2-0 0-0*,10.00,1.03
0-1 2-0 15-15*,10.00,1.03
0-1 2-0 40-40*,10.00,1.03
0-1 2-1 *0-0,12.00,1.02
0-1 2-1 *15-0,11.00,1.02
0-1 2-1 *15-30,13.00,1.01
0-1 2-1 *30-30,12.00,1.02
0-1 3-1 0-0*,9.50,1.04
0-1 3-1 0-40*,9.50,1.04
0-1 3-2 *0-0,9.50,1.04
0-1 3-3 15-0*,12.00,1.02
0-1 3-3 30-30*,13.00,1.01
0-1 3-3 40-40*,11.00,1.02
0-1 3-3 A-40*,11.00,1.02
0-1 4-3 *0-0,8.50,1.05
0-1 4-3 *15-0,7.75,1.06
0-1 4-3 *15-15,7.75,1.06
0-1 4-3 *30-15,7.50,1.06
0-1 4-3 *30-30,8.50,1.05
0-1 4-3 *40-40,8.50,1.05
0-1 4-3 *A-40,7.00,1.07
0-1 4-3 *40-A,10.00,1.03
0-1 5-4 *0-0,7.50,1.06
0-1 5-4 *0-15,8.50,1.05
0-1 5-4 *0-30,10.00,1.03
0-1 5-4 *15-30,8.50,1.05
0-1 5-4 *30-40,9.50,1.04
0-1 5-5 0-0*,12.00,1.02
0-1 5-5 30-0*,7.75,1.06
0-1 5-5 30-30*,9.50,1.04
0-1 6-5 *0-0,6.50,1.08
0-1 6-5 *15-15,6.50,1.08
0-1 6-5 *30-15,5.70,1.12
0-1 6-5 *30-30,5.40,1.13
0-1 6-6 0-0*,10.00,1.03
0-1 6-6 *1-1,10.00,1.03
0-1 6-6 2-1*,8.50,1.05
0-1 6-6 2-2*,10.00,1.03
0-1 6-6 *3-2,8.00,1.06
0-1 6-6 *3-3,10.00,1.03
0-1 6-6 4-3*,7.75,1.06
0-1 6-6 5-3*,5.90,1.11
0-1 6-6 *5-4,6.50,1.08
0-1 6-6 *5-5,9.50,1.04
0-1 6-6 5-6*,17.00,1.005
0-1 6-6 6-6*,9.50,1.04
1-1 0-0 *0-0,4.60,1.17
1-1 0-0 *15-0,4.00,1.22
1-1 0-0 *15-15,4.60,1.17
1-1 0-0 *30-30,4.60,1.17
1-1 0-1 0-0*,6.50,1.08
