Score,P1 Odds,P2 Odds
-,2.82,1.40
0-0 1-0 40-40*,2.19,1.63
0-0 2-0 *0-0,1.89,1.84
0-0 2-0 *0-15,2.02,1.73
0-0 2-0 *15-15,1.89,1.83
0-0 2-0 *15-15,1.91,1.82
0-0 2-0 *15-30,2.08,1.70
0-0 2-0 *30-30,1.92,1.81
0-0 2-0 *30-40,2.15,1.65
0-0 2-0 *30-40,2.18,1.63
0-0 2-1 0-0*,2.50,1.49
0-0 2-1 0-15*,2.65,1.44
0-0 2-1 0-30*,2.80,1.40
0-0 2-1 0-30*,2.78,1.41
0-0 2-1 0-40*,2.89,1.38
0-0 2-2 *0-0,2.97,1.36
0-0 2-2 *0-15,3.31,1.30
0-0 2-2 *15-15,3.01,1.35
0-0 2-2 *30-15,2.72,1.42
0-0 2-2 *40-15,2.53,1.48
0-0 3-2 0-0*,2.42,1.52
0-0 3-2 15-0*,2.21,1.61
0-0 3-2 15-15*,2.37,1.54
0-0 3-2 15-30*,2.55,1.47
0-0 3-2 15-40*,2.72,1.42
0-0 3-3 *0-0,2.84,1.39
0-0 5-4 15-15*,2.07,1.70
0-0 5-4 30-30*,1.99,1.75
0-0 5-4 30-40*,2.35,1.55
0-0 5-4 30-40*,2.29,1.58
0-0 5-4 40-40*,1.85,1.88
0-0 5-5 *0-0,2.69,1.43
0-0 5-5 *15-0,2.45,1.51
0-0 5-5 *30-0,2.27,1.58
0-0 5-5 *40-0,2.17,1.64
1-0 0-0 *0-0,1.39,2.86
1-0 0-0 *0-15,1.45,2.64
1-0 0-0 *0-15,1.45,2.61
1-0 0-0 *0-30,1.53,2.39
1-0 0-0 *15-30,1.47,2.56
1-0 0-0 *15-40,1.59,2.27
1-0 0-0 *30-40,1.53,2.40
1-0 0-1 0-0*,1.67,2.11
1-0 0-1 0-0*,1.72,2.04
1-0 0-2 *0-0,1.81,1.92
1-0 0-2 *0-15,1.89,1.84
1-0 0-2 *15-15,1.82,1.91
1-0 0-2 *15-30,1.91,1.82
1-0 0-2 *30-40,1.95,1.78
1-0 0-2 *30-40,1.97,1.77
1-0 0-2 *40-40,1.87,1.86
1-0 1-2 0-0*,1.70,2.07
1-0 1-2 15-0*,1.62,2.21
1-0 1-2 15-15*,1.68,2.10
1-0 1-2 15-30*,1.74,2.01
1-0 1-2 30-30*,1.66,2.13
1-0 1-3 *0-0,1.83,1.90
1-0 1-3 *0-0,1.90,1.83
1-0 1-3 *15-0,1.85,1.88
1-0 1-3 *40-30,1.80,1.94
1-0 1-3 *40-30,1.80,1.93
1-0 1-3 *40-40,1.91,1.82
1-0 2-3 0-0*,1.73,2.02
1-0 2-3 15-0*,1.63,2.19
1-0 2-3 15-30*,1.80,1.93
1-0 2-3 30-30*,1.70,2.08
1-0 2-3 40-30*,1.53,2.40
1-0 3-3 *0-0,1.34,3.06
1-0 3-3 *0-15,1.42,2.72
1-0 3-3 *15-15,1.36,3.00
1-0 3-3 *15-15,1.37,2.95
1-0 3-3 *15-30,1.47,2.56
1-0 3-3 *15-40,1.61,2.21
1-0 3-4 0-0*,1.77,1.97
1-0 3-4 0-15*,1.86,1.87
1-0 3-4 0-30*,1.92,1.81
1-0 3-4 0-40*,1.99,1.75
1-1 0-0 *2-3,2.08,1.70
1-1 0-0 2-4*,2.96,1.36
1-1 0-0 2-5*,4.00,1.22
1-1 0-0 *4-5,2.57,1.47
1-1 0-0 *5-5,2.04,1.72
1-1 0-0 6-5*,1.66,2.13
1-1 0-0 10-9*,1.99,1.75
1-1 0-0 12-12*,1.99,1.75
1-1 0-0 *12-13,3.18,1.33
1-1 0-0 *13-13,1.99,1.75
1-1 0-0 13-14*,1.99,1.33
1-1 0-0 13-14*,3.18,1.33
