Score,P1 Odds,P2 Odds
-,3.70,1.25
-,2.82,1.40
0-0 0-0 15-0*,2.57,1.47
0-0 0-0 15-15*,2.74,1.42
0-0 0-0 15-30*,2.95,1.37
0-0 0-1 *0-0,3.45,1.28
0-0 0-1 *30-0,3.20,1.33
0-0 0-1 *30-15,3.32,1.33
0-0 0-1 *40-15,3.14,1.33
0-0 0-1 *40-30,3.32,1.30
0-0 1-1 0-0*,3.06,1.34
0-0 1-1 15-0*,2.79,1.40
0-0 1-1 30-15*,2.74,1.42
0-0 1-1 30-15*,2.67,1.44
0-0 1-1 30-40*,3.30,1.30
0-0 1-1 30-40*,3.25,1.31
0-0 1-1 40-40*,2.86,1.39
0-0 1-1 A-40*,2.58,1.47
0-0 2-1 *0-0,2.06,1.71
0-0 2-1 *15-0,1.97,1.77
0-0 2-1 *30-0,1.89,1.84
0-0 2-1 *40-0,1.84,1.89
0-0 3-1 0-0*,1.82,1.91
0-0 3-1 0-15*,1.87,1.86
0-0 3-1 0-15*,1.86,1.87
0-0 3-1 0-30*,1.91,1.82
0-0 3-2 *0-0,1.95,1.79
0-0 3-2 *15-0,1.86,1.87
0-0 3-2 *15-0,1.87,1.86
0-0 3-2 *30-0,1.79,1.94
0-0 3-2 *40-0,1.74,2.00
0-0 4-2 0-0*,1.73,2.03
0-0 4-2 0-0*,1.72,2.04
0-0 4-2 15-0*,1.65,2.14
0-0 4-2 15-15*,1.71,2.06
0-0 4-2 15-30*,1.76,1.99
0-0 4-2 30-40*,1.77,1.97
0-0 4-3 *0-0,1.82,1.91
0-0 4-3 *0-0,1.83,1.90
0-0 4-3 *30-0,1.66,2.14
0-0 4-3 *30-0,1.67,2.12
0-0 4-3 *40-0,1.62,2.20
0-0 5-3 0-0*,1.59,2.25
0-0 5-3 0-30*,1.65,2.15
0-0 5-3 15-30*,1.20,2.20
0-0 5-3 15-40*,1.65,2.14
0-0 5-3 30-40*,1.63,2.19
0-0 5-4 *0-0,1.67,2.12
0-0 5-4 *0-0,1.68,2.10
0-0 5-4 *0-15,1.85,1.88
0-0 5-4 *15-30,1.91,1.83
0-0 5-4 *30-30,1.71,2.06
0-0 5-4 *40-30,1.54,2.37
1-0 6-4 0-0*,1.45,2.63
1-0 6-4 0-0*,1.50,2.47
1-0 0-0 0-0*,1.50,2.47
1-0 0-0 15-15*,1.50,2.47
1-0 0-0 30-15*,1.41,2.78
1-0 0-0 30-15*,1.39,2.85
1-0 0-0 40-30*,1.33,3.13
1-0 0-0 40-40*,1.44,2.66
1-0 0-0 40-A*,1.54,2.37
1-0 0-0 40-40*,1.48,2.53
1-0 0-0 40-A*,1.56,2.34
1-0 0-1 *0-0,1.60,2.24
1-0 0-1 *0-15,1.70,2.08
1-0 0-1 *15-15,1.63,2.19
1-0 0-1 *30-15,1.56,2.32
1-0 0-1 *40-15,1.51,2.44
1-0 1-1 0-0*,1.49,2.49
1-0 1-1 0-0*,1.48,2.53
1-0 1-1 0-30*,1.57,2.30
1-0 1-1 0-30*,1.57,2.31
1-0 1-1 15-30*,1.52,2.41
1-0 1-1 30-30*,1.44,2.65
1-0 1-1 30-40*,1.54,2.36
1-0 1-2 *0-0,1.59,2.25
1-0 1-2 *15-0,1.54,2.35
1-0 1-2 *30-0,1.51,2.45
1-0 1-2 *40-0,1.49,2.50
1-0 1-2 *40-15,1.51,2.45
1-0 2-2 0-0*,1.48,2.52
1-0 2-2 0-0*,1.47,2.56
1-0 2-2 15-0*,1.39,2.86
1-0 2-2 15-15*,1.47,2.57
1-0 2-2 30-15*,1.37,2.94
1-0 2-2 30-15*,1.35,3.05
1-0 2-2 40-15*,1.22,4.00
1-0 2-2 40-30*,1.30,3.35
1-0 3-2 *0-0,1.14,5.20
1-0 3-2 *0-15,1.20,4.25
1-0 3-2 *15-15,1.14,5.20
1-0 3-2 *30-15,1.12,5.70
1-0 3-2 *30-15,1.13,5.40
1-0 4-2 0-0*,1.05,8.50
1-0 4-2 0-15*,1.06,7.75
1-0 4-2 0-40*,1.08,6.50
1-0 4-3 *0-0,1.08,6.50
1-0 4-3 *0-15,1.14,5.20
1-0 4-3 *15-15,1.10,6.00
1-0 4-3 *15-30,1.14,5.20
1-0 4-3 *30-30,1.10,6.00
1-0 4-3 *40-30,1.05,8.50
1-0 5-3 0-0*,1.03,10.00
1-0 5-3 0-15*,1.03,10.00
1-0 5-3 0-40*,1.04,9.50
1-0 5-4 *0-0,1.04,9.50
1-0 5-4 *15-0,1.02,12.00
1-0 5-4 *30-0,1.005,21.00
1-0 5-4 *40-0,1.001,81.00
2-0 6-4 0-0*,1.001,1.001
