Score,P1 Odds,P2 Odds
-,1.96,1.78
0-0 0-0 15-0*,2.07,1.70
0-0 0-0 15-30*,2.34,1.56
0-0 0-0 30-30*,2.17,1.64
0-0 1-0 *0-0,1.78,1.95
0-0 1-0 *15-0,1.78,1.95
0-0 1-0 *15-30,1.91,1.82
0-0 1-0 *30-30,1.80,1.94
0-0 1-0 *40-40,1.79,1.95
0-0 1-0 *A-40,1.67,2.11
0-0 1-1 0-0*,2.20,1.62
0-0 1-1 0-15*,2.35,1.55
0-0 1-2 *0-0,2.69,1.43
0-0 1-2 *0-30,3.22,1.31
0-0 1-2 *15-40,3.32,1.30
0-0 1-2 *30-40,3.09,1.34
0-0 1-3 0-15*,3.98,1.22
0-0 1-3 0-30*,4.25,1.20
0-0 1-4 *0-0,4.60,1.17
0-0 1-4 *15-0,4.25,1.20
0-0 1-4 *15-15,4.60,1.17
0-0 1-4 *40-15,4.00,1.22
0-0 2-4 0-0*,3.90,1.23
0-0 2-4 30-15*,3.32,1.30
0-0 3-4 *0-0,2.81,1.40
0-0 3-4 *0-15,2.81,1.40
0-0 3-5 0-0*,4.25,1.20
0-0 3-5 15-15*,4.25,1.20
0-0 3-5 30-40*,4.65,1.17
0-1 0-0 *0-0,5.20,1.14
0-1 0-0 *0-0,6.50,1.10
0-1 0-0 *15-0,6.00,1.11
0-1 0-0 *30-15,6.00,1.11
0-1 1-0 0-0*,5.20,1.14
0-1 1-0 30-15*,4.60,1.17
0-1 1-0 40-30*,4.25,1.20
0-1 2-0 *15-0,3.45,1.28
0-1 2-0 *30-0,3.28,1.31
0-1 3-0 0-0*,3.08,1.34
0-1 3-0 0-15*,3.22,1.31
0-1 3-0 0-40*,3.32,1.30
0-1 3-1 *0-0,3.45,1.28
0-1 3-1 *15-15,3.45,1.28
0-1 3-1 *40-15,3.03,1.35
0-1 4-1 0-0*,2.90,1.38
0-1 4-1 0-15*,3.01,1.35
0-1 4-1 30-15*,2.72,1.42
0-1 4-1 40-15*,2.53,1.48
0-1 5-1 *0-0,2.40,1.53
0-1 5-1 *15-15,2.41,1.52
0-1 5-1 *30-15,2.41,1.52
0-1 5-1 *A-40,2.34,1.55
0-1 5-1 *40-40,2.42,1.52
1-1 6-1 0-0*,2.27,1.58
1-1 2-0 15-15*,1.20,4.25
1-1 2-0 15-40*,1.35,3.05
1-1 2-1 *0-0,1.45,2.61
1-1 2-1 *15-0,1.36,2.97
1-1 2-1 *15-30,1.62,2.20
1-1 2-2 0-0*,2.09,1.69
1-1 2-2 0-30*,2.64,1.45
1-1 2-2 30-30*,2.07,1.70
1-1 2-3 *0-0,2.98,1.36
1-1 2-3 *15-30,3.70,1.25
1-1 2-3 *40-30,2.74,1.42
1-1 2-3 *40-40,2.81,1.40
1-1 2-3 *40-A,3.70,1.25
1-1 2-4 0-0*,5.40,1.13
1-1 2-4 15-15*,5.40,1.13
1-1 2-4 30-40*,7.50,1.06
1-1 2-5 *0-0,11.00,1.02
1-1 2-5 *0-15,13.00,1.01
1-1 2-5 *0-30,21.00,1.005
