Score,P1 Odds,P2 Odds
-,1.50,2.47
0-0 2-1 0-15*,1.40,2.80
0-0 2-1 0-30*,1.45,2.61
0-0 2-1 0-40*,1.50,2.47
0-0 2-1 15-40*,1.47,2.56
0-0 2-2 *0-0,1.51,2.44
0-0 2-2 *15-0,1.46,2.61
0-0 2-2 *15-15,1.53,2.40
0-0 2-2 *30-15,1.45,2.63
0-0 2-2 *30-30,1.53,2.40
0-0 2-2 *40-30,1.53,2.40
0-0 2-2 *40-A,1.53,2.40
0-0 2-2 *40-40,1.54,2.37
0-0 2-2 *A-40,1.43,2.70
0-0 2-2 *A-40,1.43,2.72
0-0 2-2 *40-40,1.52,2.41
0-0 2-2 *40-40,1.54,2.36
0-0 2-2 *A-40,1.43,2.68
0-0 2-2 *40-40,1.55,2.35
0-0 2-2 *A-40,1.43,2.70
0-0 2-2 *A-40,1.44,2.67
0-0 3-2 0-0*,1.35,3.01
0-0 3-2 0-15*,1.44,2.65
0-0 3-2 15-15*,1.38,2.89
0-0 3-2 30-15*,1.31,3.24
0-0 3-2 30-30*,1.38,2.91
0-0 3-2 40-30*,1.30,3.32
0-0 4-2 *0-0,1.20,4.25
0-0 4-2 *0-15,1.25,3.78
0-0 4-2 *15-15,1.22,4.10
0-0 4-2 *30-15,1.17,4.60
0-0 4-2 *40-15,1.15,5.00
0-0 5-2 0-0*,1.14,5.20
0-0 5-3 *30-0,1.13,5.40
0-0 5-3 *30-15,1.14,5.40
1-0 6-3 0-0*,1.13,5.40
1-0 6-3 0-30*,1.14,4.65
1-0 6-3 0-15*,1.17,4.65
1-0 0-0 30-15*,1.13,5.40
1-0 0-0 30-40*,1.14,5.20
1-0 0-1 *0-0,1.17,4.60
1-0 0-1 *0-15,1.22,4.05
1-0 0-1 *15-15,1.17,4.60
1-0 0-1 *30-15,1.17,4.65
1-0 0-1 *30-30,1.20,4.30
1-0 0-1 *30-40,1.25,3.78
1-0 0-1 *40-40,1.20,4.25
1-0 0-1 *40-A,1.25,3.78
1-0 0-1 *40-40,1.20,4.25
1-0 0-1 *40-A,1.25,3.75
1-0 0-1 *40-40,1.20,4.25
1-0 0-1 *A-40,1.17,4.65
1-0 1-1 0-0*,1.14,5.20
1-0 0-1 *A-40,1.16,4.80
1-0 1-1 0-15*,1.16,4.80
1-0 1-1 0-15*,1.15,5.00
1-0 1-1 30-15*,1.11,6.00
1-0 1-1 40-30*,1.10,6.00
1-0 2-1 *0-0,1.05,8.50
1-0 2-1 *0-15,1.07,7.00
1-0 2-1 *15-15,1.05,8.00
1-0 2-1 *30-15,1.04,9.50
1-0 2-1 *30-15,1.03,10.00
1-0 2-1 *40-15,1.03,10.00
1-0 3-1 0-0*,1.02,11.00
1-0 3-1 0-15*,1.03,10.00
1-0 3-1 15-15*,1.02,11.00
1-0 3-1 15-30*,1.04,9.50
1-0 3-1 15-40*,1.04,9.50
1-0 3-2 *0-0,1.05,8.50
1-0 3-2 *15-0,1.04,9.50
1-0 3-2 *15-15,1.05,8.50
1-0 3-2 *15-30,1.08,6.50
1-0 3-2 *30-30,1.05,8.50
1-0 3-2 *30-40,1.10,6.00
1-0 3-3 0-0*,1.14,5.20
1-0 3-3 0-15*,1.17,4.60
1-0 3-3 15-15*,1.14,5.20
1-0 3-3 15-40*,1.22,4.00
1-0 3-4 *0-0,1.25,3.70
1-0 3-4 *15-0,1.22,4.10
1-0 3-4 *40-0,1.17,4.65
1-0 4-4 0-0*,1.17,4.65
1-0 4-4 15-0*,1.13,5.40
1-0 4-4 15-15*,1.16,4.80
1-0 4-4 30-15*,1.11,6.00
1-0 4-4 30-30*,1.15,5.00
1-0 4-4 40-30*,1.09,6.50
1-0 4-5 *40-15,1.17,4.60
1-0 4-5 *40-30,1.22,4.00
1-0 5-5 0-0*,1.17,4.65
1-0 5-5 0-15*,1.20,4.25
1-0 5-5 15-15*,1.17,4.65
1-0 5-5 30-15*,1.11,5.90
1-0 5-5 30-30*,1.16,4.80
1-0 5-5 30-40*,1.22,4.00
1-0 5-5 40-40*,1.16,4.80
