Score,P1 Odds,P2 Odds
-,1.71,2.05
-,1.68,2.10
Score,P1 Odds,P2 Odds
-,1.68,2.10
Score,P1 Odds,P2 Odds
-,1.68,2.10
Score,P1 Odds,P2 Odds
-,1.68,2.10
0-0 1-0 15-0*,1.51,2.45
0-0 1-0 15-30*,1.58,2.29
0-0 1-0 30-30*,1.50,2.47
0-0 1-0 30-40*,1.59,2.26
0-0 1-0 40-40*,1.50,2.46
0-0 1-0 40-A*,1.59,2.26
0-0 1-1 *0-0,1.67,2.12
0-0 1-1 *15-0,1.53,2.40
0-0 1-1 *15-15,1.61,2.23
0-0 1-1 *30-15,1.53,2.40
0-0 1-1 *30-30,1.62,2.21
0-0 1-1 *40-30,1.52,2.42
0-0 2-1 0-0*,1.45,2.64
0-0 2-1 15-0*,1.39,2.86
0-0 2-1 30-0*,1.33,3.14
0-0 2-1 30-15*,1.37,2.92
0-0 2-1 30-30*,1.46,2.60
0-0 2-1 40-30*,1.36,2.99
0-0 2-1 40-40*,1.45,2.63
0-0 2-1 40-A*,1.54,2.37
0-0 2-2 *0-0,1.63,2.18
0-0 2-2 *0-15,1.73,2.02
0-0 2-2 *0-15,1.68,2.10
0-0 2-2 *15-15,1.61,2.23
0-0 2-2 *15-15,1.53,2.39
0-0 2-2 *15-30,1.62,2.20
0-0 2-2 *15-40,1.79,1.94
0-0 2-2 *40-40,1.64,2.17
0-0 2-2 *A-40,1.51,2.44
0-0 3-2 0-0*,1.44,2.66
0-0 3-2 15-0*,1.37,2.93
0-0 3-2 15-40*,1.56,2.33
0-0 3-2 30-40*,1.51,2.44
0-0 3-2 30-40*,1.51,2.45
0-0 3-2 40-40*,1.41,2.77
0-0 3-2 40-A*,1.51,2.44
0-0 3-2 40-40*,1.41,2.77
0-0 3-2 A-40*,1.33,3.14
0-0 3-2 40-40*,1.42,2.72
0-0 3-2 40-40*,1.41,2.78
0-0 3-2 40-A*,1.50,2.46
0-0 3-2 40-A*,1.41,2.78
0-0 3-2 A-40*,1.31,3.22
0-0 3-2 A-40*,1.41,2.78
0-0 3-2 A-40*,1.31,3.22
0-0 4-2 *0-0,1.22,4.00
0-0 4-2 *0-15,1.28,3.45
0-0 4-2 *15-15,1.22,4.00
0-0 4-2 *15-15,1.28,3.45
0-0 4-2 *15-40,1.34,3.09
0-0 4-2 *30-40,1.30,3.32
0-0 4-3 0-0*,1.39,2.85
0-0 4-3 0-15*,1.39,2.62
0-0 4-3 15-15*,1.39,2.85
0-0 4-3 15-15*,1.38,2.87
0-0 4-3 30-15*,1.31,3.28
1-0 0-0 0-15*,1.17,4.65
1-0 0-0 0-30*,1.17,4.60
1-0 0-0 0-40*,1.20,4.25
1-0 0-1 *0-0,1.25,3.70
1-0 0-1 *15-0,1.22,4.00
1-0 0-1 *30-0,1.20,4.25
1-0 0-1 *30-15,1.22,4.00
1-0 0-1 *40-15,1.20,4.25
1-0 1-1 0-0*,1.17,4.60
1-0 1-1 0-0*,1.14,5.20
1-0 1-1 30-0*,1.13,5.40
1-0 1-1 40-0*,1.10,6.00
1-0 2-1 *0-0,1.08,6.50
1-0 2-1 *0-0,1.05,8.50
1-0 2-1 *0-0,1.07,7.00
1-0 2-1 *0-15,1.07,7.00
1-0 2-1 *15-15,1.06,8.00
1-0 2-1 *30-15,1.04,9.50
1-0 2-1 *40-15,1.03,10.00
1-0 3-1 0-0*,1.02,11.00
1-0 3-1 15-15*,1.02,11.00
1-0 3-1 15-30*,1.04,9.50
1-0 3-1 15-40*,1.04,9.50
1-0 3-1 30-40*,1.04,9.50
1-0 3-1 40-40*,1.02,11.00
1-0 3-1 40-A*,1.04,9.50
1-0 3-2 *0-0,1.05,8.50
1-0 3-2 *0-15,1.05,8.50
1-0 3-2 *15-15,1.05,8.50
1-0 3-2 *30-15,1.04,9.50
1-0 3-2 *40-15,1.03,10.00
1-0 4-2 0-0*,1.02,12.00
1-0 4-2 15-0*,1.02,13.00
1-0 4-2 15-0*,1.01,13.00
1-0 4-2 15-15*,1.02,12.00
1-0 4-2 15-30*,1.03,10.00
1-0 4-2 30-30*,1.02,12.00
1-0 4-2 30-30*,1.03,10.00
1-0 4-3 *0-0,1.04,9.50
1-0 4-3 *0-15,1.06,7.50
1-0 4-3 *15-15,1.04,9.50
1-0 4-3 *30-15,1.03,10.00
1-0 4-3 *30-30,1.05,8.50
1-0 5-3 0-0*,1.01,13.00
1-0 5-3 0-15*,1.02,12.00
1-0 5-3 15-15*,1.01,14.00
1-0 5-3 15-30*,1.02,12.00
1-0 5-3 30-30*,1.01,14.00
1-0 5-3 30-40*,1.02,12.00
1-0 5-4 *0-0,1.02,11.00
1-0 5-4 *15-0,1.01,13.00
1-0 5-4 *30-0,1.002,34.00
1-0 5-4 *30-15,1.01,13.00
2-0 6-4 0-0*,1.001,1.001
