Score,P1 Odds,P2 Odds
-,1.91,1.82
Score,P1 Odds,P2 Odds
-,1.91,1.82
Score,P1 Odds,P2 Odds
-,1.91,1.82
Score,P1 Odds,P2 Odds
-,1.91,1.82
0-0 0-0 0-15*,2.00,1.75
0-0 0-0 15-15*,1.89,1.83
0-0 0-0 15-30*,2.01,1.74
0-0 0-0 15-40*,2.05,1.71
0-0 0-0 30-40*,1.98,1.76
0-0 0-0 40-40*,1.82,1.91
0-0 0-1 *0-0,2.11,1.67
0-0 0-1 *0-15,2.25,1.60
0-0 0-1 *0-30,2.45,1.51
0-0 0-1 *0-40,2.65,1.44
0-0 0-2 0-0*,2.77,1.41
0-0 0-2 0-15*,2.94,1.37
0-0 0-2 15-15*,2.75,1.41
0-0 0-2 15-30*,2.97,1.36
0-0 0-2 30-30*,2.73,1.42
0-0 0-2 30-40*,3.01,1.35
0-0 0-3 *0-0,3.30,1.30
0-0 0-3 *15-0,2.99,1.36
0-0 0-3 *15-15,3.12,1.33
0-0 0-3 *40-15,2.96,1.37
0-0 0-3 *40-30,3.06,1.34
0-0 1-3 0-0*,2.86,1.39
0-0 1-3 15-0*,2.65,1.44
0-0 1-3 15-15*,2.85,1.39
0-0 1-3 30-15*,2.59,1.46
0-0 1-3 40-15*,2.37,1.54
0-0 1-3 40-15*,2.50,1.49
0-0 2-3 *0-0,2.23,1.61
0-0 2-3 *15-0,2.09,1.69
0-0 2-3 *15-15,2.23,1.61
0-0 2-3 *15-15,2.24,1.60
0-0 2-3 *15-30,2.47,1.50
0-0 2-3 *30-30,2.25,1.59
0-0 2-3 *40-30,2.03,1.73
0-0 2-3 *40-40,2.24,1.60
0-0 2-3 *40-40,2.27,1.59
0-0 2-3 *A-40,2.24,1.60
0-0 2-3 *A-40,2.04,1.72
0-0 3-3 0-0*,1.87,1.86
0-0 3-3 0-0*,1.86,1.87
0-0 3-3 15-0*,1.73,2.03
0-0 3-3 15-15*,1.85,1.88
0-0 3-3 30-15*,1.70,2.07
0-0 3-3 40-30*,1.65,2.14
0-0 3-3 40-15*,1.65,2.14
0-0 4-3 *0-0,1.47,2.57
0-0 4-3 *0-15,1.73,2.03
0-0 4-3 *15-15,1.61,2.22
0-0 4-3 *30-15,1.50,2.47
0-0 4-3 *40-15,1.41,2.75
0-0 4-3 *40-30,1.47,2.56
0-0 4-3 *40-40,1.61,2.21
0-0 4-4 40-40*,2.50,1.49
0-0 4-4 A-40*,1.79,1.95
0-0 4-4 A-40*,2.10,1.68
0-0 4-4 40-A*,2.47,1.50
0-0 4-5 *0-0,2.87,1.38
0-0 4-5 *15-0,2.56,1.47
0-0 4-5 *30-0,2.33,1.56
0-0 4-5 *30-15,2.50,1.49
0-0 4-5 *40-15,2.26,1.59
0-0 4-5 *40-30,2.44,1.51
0-0 5-5 0-0*,2.12,1.67
0-0 5-5 0-15*,2.33,1.56
0-0 5-5 0-30*,2.50,1.49
0-0 5-5 0-40*,2.68,1.43
0-0 5-5 0-40*,2.67,1.44
0-0 5-5 15-40*,2.58,1.46
0-0 5-5 30-40*,2.37,1.54
0-0 5-6 *0-0,2.74,1.42
0-0 5-6 *0-30,3.70,1.25
0-0 5-6 *15-30,3.33,1.30
0-0 5-6 *30-30,2.81,1.40
0-0 5-6 *40-30,2.35,1.55
0-0 5-6 *A-40,2.33,1.56
0-0 6-6 0-0*,2.06,1.71
0-0 6-6 *2-0,1.77,2.24
0-0 6-6 3-0*,1.46,2.58
0-0 6-6 3-0*,1.45,2.61
0-0 6-6 4-0*,1.33,3.16
0-0 6-6 4-0*,1.28,3.45
0-0 6-6 6-0*,1.28,3.45
0-0 6-6 6-1*,1.28,3.45
0-0 6-6 6-2*,1.30,3.32
0-0 6-6 *6-3,1.31,3.24
1-0 7-6 *0-0,1.25,3.70
0-0 6-6 *6-4,1.39,2.86
1-0 7-6 *0-0,1.25,3.70
1-0 0-0 *30-40,1.25,3.69
1-0 0-0 *A-40,1.22,4.00
1-0 0-0 *40-40,1.22,3.45
1-0 0-0 *40-40,1.28,3.45
1-0 0-0 *40-A,1.34,3.10
1-0 0-1 0-0*,1.44,2.66
1-0 0-1 0-15*,1.49,2.50
1-0 0-1 0-30*,1.54,2.36
1-0 0-1 15-30*,1.50,2.47
1-0 0-1 15-40*,1.56,2.33
1-0 0-1 15-40*,1.50,2.47
1-0 0-2 *15-0,1.55,2.35
1-0 0-2 *30-0,1.51,2.44
1-0 0-2 *15-15,1.60,2.24
1-0 0-2 *30-15,1.55,2.35
1-0 1-2 0-0*,1.50,2.47
1-0 1-2 0-0*,1.48,2.54
1-0 1-2 15-0*,1.41,2.78
1-0 1-2 15-0*,1.40,2.80
1-0 1-2 30-0*,1.33,3.13
1-0 2-2 *0-0,1.25,3.70
1-0 2-2 *15-0,1.22,4.00
1-0 2-2 *15-15,1.25,3.70
1-0 2-2 *15-30,1.31,3.26
1-0 2-2 *30-30,1.25,3.66
1-0 2-2 *40-30,1.20,4.25
1-0 3-2 0-0*,1.17,4.65
1-0 5-2 0-0*,1.01,15.00
1-0 5-2 15-0*,1.004,34.00
1-0 5-2 30-0*,1.002,67.00
1-0 5-2 40-0*,1.001,101.00
2-0 6-2 *0-0,1.001,1.001
