Score,P1 Odds,P2 Odds
-,2.22,1.61
0-0 0-0 *30-0,2.04,1.72
0-0 1-0 0-0*,1.99,1.76
0-0 1-0 15-0*,1.85,1.88
0-0 1-0 40-0*,1.58,2.27
0-0 2-0 *0-0,1.51,2.44
0-0 2-0 *15-15,1.53,2.40
0-0 2-0 *30-30,1.47,2.37
0-0 2-0 *40-30,1.46,2.58
0-0 2-0 *40-A,1.67,2.13
0-0 2-0 *40-40,1.56,2.33
0-0 2-0 *40-40,1.56,2.32
0-0 3-0 0-0*,1.42,2.74
0-0 3-0 30-0*,1.34,3.07
0-0 3-0 40-0*,1.30,3.32
0-0 4-0 *0-0,1.28,3.45
0-0 4-0 *0-15,1.30,3.32
0-0 4-0 *0-40,1.35,3.02
0-0 4-1 0-0*,1.37,2.92
0-0 4-1 0-0*,1.28,3.45
0-0 4-1 15-0*,1.25,3.70
0-0 4-1 15-30*,1.30,3.32
0-0 4-1 15-40*,1.30,3.30
0-0 4-2 *0-0,1.31,3.22
0-0 4-2 *0-0,1.33,3.16
0-0 4-2 *0-0,1.46,2.61
0-0 4-2 *30-0,1.37,2.93
0-0 4-3 0-0*,1.69,2.09
0-0 4-3 15-0*,1.57,2.30
0-0 4-3 30-15*,1.60,2.25
0-0 4-3 40-30*,1.46,2.60
0-0 5-3 *0-0,1.36,2.99
0-0 5-3 *15-0,1.31,3.26
0-0 5-3 *40-0,1.25,3.70
0-0 5-3 *40-15,1.28,3.45
1-0 0-0 0-0*,1.25,3.75
1-0 0-0 0-15*,1.28,3.45
1-0 0-0 15-15*,1.22,3.98
1-0 0-0 15-30*,1.30,3.31
1-0 0-1 *0-0,1.33,3.16
1-0 0-1 *30-0,1.28,3.45
1-0 0-1 *30-15,1.30,3.32
1-0 0-1 *30-30,1.34,3.06
1-0 0-1 *40-30,1.30,3.32
1-0 0-1 *40-40,1.34,3.10
1-0 0-1 *40-A,1.45,2.64
1-0 0-1 *40-A,1.35,3.01
1-0 0-1 *A-A,1.36,3.00
1-0 0-1 *A-A,1.30,3.32
1-0 1-1 0-0*,1.25,3.70
1-0 1-1 15-15*,1.25,3.70
1-0 1-1 30-15*,1.20,4.25
1-0 1-1 40-30*,1.17,4.65
1-0 1-1 40-A*,1.30,3.32
1-0 1-2 *0-0,1.33,3.12
1-0 1-2 *0-15,1.40,2.81
1-0 1-2 *15-30,1.42,2.74
1-0 1-2 *15-40,1.53,2.39
1-0 1-2 *30-40,1.46,2.61
1-0 1-3 0-15*,1.71,2.05
1-0 1-3 15-15*,1.64,2.17
1-0 1-3 30-30*,1.64,2.17
1-0 1-3 30-40*,1.74,2.01
1-0 1-3 40-40*,1.64,2.18
1-0 1-4 *0-0,1.81,1.93
1-0 1-4 *15-15,1.82,1.91
1-0 1-4 *15-30,1.89,1.84
1-0 1-4 *30-30,2.00,1.75
1-0 1-4 *30-40,2.10,1.68
1-0 1-5 0-0*,2.26,1.59
1-0 1-5 0-15*,2.29,1.58
1-1 1-6 *0-0,2.37,1.54
1-1 1-6 *15-0,2.17,1.64
1-1 1-6 *30-0,2.03,1.73
1-1 1-6 *40-30,2.10,1.68
1-1 1-6 *40-40,2.50,1.49
1-1 0-0 *40-A,3.01,1.35
1-1 0-0 *40-A,2.46,1.50
1-1 0-0 *A-40,2.10,1.68
1-1 1-0 0-0*,1.90,1.83
1-1 1-0 0-15*,2.04,1.72
1-1 1-0 0-30*,2.29,1.58
1-1 1-1 *0-0,2.42,1.52
1-1 1-1 *15-0,2.21,1.61
1-1 1-1 *15-0,2.80,1.40
1-1 1-1 *15-40,3.35,1.30
1-1 1-1 *15-40,4.60,1.17
1-1 1-2 0-0*,5.40,1.13
1-1 1-2 15-0*,4.60,1.17
1-1 1-2 15-15*,5.40,1.13
1-1 1-2 15-40*,7.50,1.06
1-1 1-3 *0-15,9.50,1.04
1-1 1-3 *15-15,8.00,1.06
1-1 1-3 *30-15,7.00,1.07
1-1 1-3 *40-30,6.50,1.08
1-1 2-3 0-0*,7.00,1.07
1-1 2-3 0-0*,8.50,1.05
1-1 2-3 30-30*,6.00,1.10
1-1 2-3 40-30*,4.60,1.17
1-1 3-3 *0-0,2.70,1.43
1-1 3-3 *30-0,2.12,1.67
1-1 3-3 *30-15,2.34,1.55
1-1 3-3 *40-15,2.05,1.71
1-1 4-3 0-0*,1.92,1.81
1-1 4-3 0-0*,1.82,1.91
1-1 4-3 15-15*,1.78,1.95
1-1 4-3 15-40*,2.23,1.61
1-1 4-4 *0-0,2.39,1.53
1-1 4-4 *15-15,2.40,1.53
1-1 4-4 *30-15,2.03,1.73
1-1 4-4 *30-30,2.44,1.51
1-1 5-4 0-15*,1.88,1.85
1-1 5-4 15-30*,1.93,1.81
1-1 5-5 *0-0,2.37,1.54
1-1 5-5 *15-0,2.07,1.70
1-1 5-5 *30-15,2.02,1.73
1-1 5-5 *40-15,1.80,1.93
1-1 6-5 0-0*,1.71,2.06
1-1 6-5 15-30*,1.90,1.83
1-1 6-6 *0-0,2.23,1.61
1-1 6-6 1-0*,1.74,2.00
1-1 6-6 *1-2,2.83,1.39
1-1 6-6 3-2*,1.72,2.04
1-1 6-6 4-2*,1.28,3.45
1-1 6-6 *4-3,1.46,2.61
1-1 6-6 *4-4,2.23,1.61
1-1 6-6 5-4*,1.57,2.31
1-1 6-6 4-5*,3.66,1.25
1-1 6-6 4-6*,6.50,1.09
1-2 6-7 0-0*,1.001,1.001
