Score,P1 Odds,P2 Odds
-,1.17,4.60
0-0 0-0 0-15*,1.14,5.20
0-0 0-0 0-30*,1.17,4.65
0-0 0-0 15-40*,1.17,4.60
0-0 0-1 *0-0,1.20,4.25
0-0 1-1 30-40*,1.17,4.60
0-0 1-2 *0-0,1.22,4.00
0-0 1-2 *15-0,1.20,4.25
0-0 1-2 *15-15,1.22,4.00
0-0 1-2 *30-15,1.20,4.25
0-0 1-2 *40-30,1.20,4.30
0-0 1-2 *A-40,1.17,4.60
0-0 1-2 *40-40,1.25,3.78
0-0 1-2 *A-40,1.17,4.60
0-0 1-2 *40-40,1.25,3.75
0-0 1-2 *A-40,1.20,4.25
0-0 1-2 *40-40,1.22,4.00
0-0 1-2 *A-40,1.17,4.65
0-0 1-2 *A-15,1.17,4.50
0-0 1-2 *15-15,1.17,4.65
0-0 1-2 *40-15,1.13,6.00
0-0 1-2 *40-15,1.10,6.00
0-0 1-2 *40-30,1.13,5.50
0-0 1-2 *40-40,1.16,4.80
0-0 1-2 *40-A,1.20,4.25
0-0 1-2 *40-40,1.16,4.80
0-0 2-2 40-40*,1.20,4.25
0-0 2-3 *0-0,1.25,3.78
0-0 2-3 *15-15,1.25,3.70
0-0 2-3 *15-30,1.31,3.24
0-0 2-3 *15-40,1.41,2.78
0-0 2-4 0-0*,1.50,2.47
0-0 2-4 15-15*,1.50,2.47
0-0 2-4 15-30*,1.58,2.29
0-0 2-4 30-40*,1.61,2.23
0-0 2-4 40-40*,1.49,2.50
0-0 2-4 40-A*,1.60,2.24
0-0 2-4 40-40*,1.49,2.50
0-0 2-4 A-40*,1.38,2.89
0-0 3-4 *0-0,1.30,3.32
0-0 3-4 *15-30,1.44,2.66
0-0 3-4 *30-40,1.49,2.50
0-0 3-4 *A-40,1.28,3.50
0-0 4-4 0-0*,1.22,4.00
0-0 4-4 0-30*,1.31,3.24
0-0 4-4 0-40*,1.36,3.00
0-0 4-5 *0-0,1.39,2.84
