Score,P1 Odds,P2 Odds
-,2.70,1.43
0-0 0-1 *40-30,3.22,1.31
0-0 0-1 *A-30,2.89,1.38
0-0 1-1 0-0*,2.67,1.44
0-0 1-1 15-0*,2.45,1.51
0-0 1-1 30-0*,2.20,1.62
0-0 1-1 40-0*,1.98,1.76
0-0 1-1 40-15*,2.07,1.70
0-0 1-1 40-30*,2.28,1.58
0-0 1-1 40-30*,2.21,1.62
0-0 1-1 40-40*,2.50,1.49
0-0 1-1 40-A*,2.81,1.40
0-0 1-2 *0-0,3.04,1.35
0-0 1-2 *15-0,2.87,1.38
0-0 1-2 *30-0,2.73,1.42
0-0 1-2 *40-0,2.67,1.44
0-0 2-2 0-0*,2.65,1.44
0-0 2-2 15-0*,2.42,1.52
0-0 2-2 15-15*,2.56,1.47
0-0 2-2 30-15*,2.28,1.58
0-0 2-2 30-30*,2.56,1.47
0-0 2-2 30-40*,2.77,1.41
0-0 2-3 *0-0,3.01,1.35
0-0 2-3 *15-0,2.84,1.39
0-0 2-3 *30-0,2.69,1.43
0-0 3-3 0-0*,2.59,1.46
0-0 3-3 15-0*,2.35,1.55
0-0 3-3 30-0*,2.03,1.73
0-0 3-3 30-15*,2.19,1.63
0-0 3-3 40-15*,1.88,1.85
0-0 4-3 *0-0,1.67,2.11
0-0 4-3 *15-0,1.59,2.26
0-0 4-3 *15-15,1.68,2.10
0-0 4-3 *30-15,1.58,2.28
0-0 4-3 *40-15,1.51,2.44
0-0 4-3 *40-30,1.56,2.32
0-0 4-3 *40-40,1.70,2.07
0-0 4-3 *40-40,1.63,2.18
0-0 4-3 *40-A,1.87,1.86
0-0 4-3 *40-A,1.64,2.17
0-0 4-3 *40-A,1.87,1.86
0-0 4-3 *40-A,1.63,2.18
0-0 4-3 *40-A,1.87,1.86
0-0 4-4 0-0*,2.34,1.55
0-0 4-4 0-15*,2.56,1.47
0-0 4-4 0-15*,2.34,1.55
0-0 4-4 0-40*,2.90,1.38
0-0 4-5 *0-0,2.95,1.37
0-0 4-5 *0-15,2.95,1.37
0-0 4-5 *15-15,3.00,1.36
0-0 4-5 *30-15,2.70,1.43
0-0 4-5 *30-15,2.45,1.51
0-0 5-5 0-0*,2.30,1.57
0-0 5-5 15-15*,2.29,1.58
0-0 5-5 15-15*,2.25,1.60
0-0 5-5 15-30*,2.47,1.50
0-0 5-5 15-40*,2.67,1.44
0-0 5-6 *0-0,2.78,1.41
0-0 5-6 *30-0,2.36,1.54
0-0 5-6 *40-0,2.26,1.59
0-0 5-6 *40-15,2.33,1.56
0-0 5-6 *40-30,2.46,1.50
0-0 5-6 *40-30,2.49,1.49
0-0 6-6 0-0*,2.18,1.63
0-0 6-6 *1-0,1.90,1.83
0-0 6-6 *1-0,1.69,2.09
0-0 6-6 3-0*,1.53,2.40
0-0 6-6 3-1*,1.62,2.20
0-0 6-6 *3-2,1.62,1.95
0-0 6-6 *4-2,1.56,2.33
0-0 6-6 *4-2,1.59,2.26
0-0 6-6 5-3*,1.50,2.47
0-0 6-6 *6-3,1.36,3.00
1-0 0-0 *15-15,1.30,3.32
1-0 0-0 *30-15,1.28,3.45
1-0 0-0 *30-30,1.31,3.24
1-0 0-0 *40-30,1.28,3.45
1-0 1-0 0-0*,1.22,4.00
1-0 1-0 0-15*,1.25,3.70
1-0 1-0 0-30*,1.28,3.45
1-0 1-0 15-30*,1.30,3.30
1-0 1-0 30-40*,1.33,3.18
1-0 1-1 *0-0,1.36,3.00
1-0 1-1 *0-15,1.42,2.73
1-0 1-1 *15-15,1.38,2.91
1-0 1-1 *30-15,1.33,3.16
1-0 1-1 *40-15,1.30,3.32
1-0 1-1 *40-30,1.31,3.24
1-0 2-1 0-0*,1.28,3.45
1-0 2-1 0-15*,1.31,3.25
1-0 2-1 0-30*,1.34,3.09
1-0 2-1 0-40*,1.35,3.01
1-0 2-2 *0-0,1.36,2.97
1-0 2-2 *15-0,1.33,3.14
1-0 2-2 *30-0,1.30,3.33
1-0 2-2 *40-0,1.28,3.40
1-0 3-2 0-0*,1.30,3.33
1-0 3-2 0-0*,1.28,3.45
1-0 3-2 0-15*,1.31,3.28
1-0 3-2 0-30*,1.34,3.11
1-0 3-2 0-40*,1.35,3.02
1-0 3-2 15-40*,1.34,3.11
1-0 3-3 *0-0,1.36,3.00
1-0 3-3 *0-0,1.36,2.95
1-0 3-3 *0-0,1.37,2.95
1-0 3-3 *15-0,1.33,3.16
1-0 3-3 *15-15,1.37,2.94
1-0 3-3 *30-15,1.31,3.24
1-0 3-3 *40-15,1.28,3.45
1-0 3-3 *40-15,1.28,3.40
1-0 4-3 0-0*,1.25,3.70
1-0 4-3 15-0*,1.20,4.25
1-0 4-3 30-0*,1.14,5.20
1-0 4-3 30-15*,1.17,4.60
1-0 5-3 *0-0,1.02,12.00
1-0 5-3 *15-0,1.01,14.00
1-0 5-3 *30-0,1.002,41.00
