Score,P1 Odds,P2 Odds
-,1.79,1.94
0-0 2-0 *30-0,1.30,3.32
0-0 2-0 *40-0,1.28,3.45
0-0 3-0 0-0*,1.28,3.45
0-0 3-0 0-15*,1.30,3.32
0-0 3-0 0-30*,1.30,3.30
0-0 3-0 0-40*,1.33,3.20
0-0 3-1 *0-0,1.33,3.14
0-0 3-1 *0-15,1.38,2.91
0-0 3-1 *15-15,1.33,3.12
0-0 3-1 *30-15,1.30,3.32
0-0 3-1 *40-30,1.30,3.32
0-0 3-1 *40-40,1.36,2.97
0-0 4-1 0-0*,1.25,3.69
0-0 4-1 0-30*,1.30,3.32
0-0 4-1 0-40*,1.30,3.32
0-0 4-1 30-40*,1.28,3.45
0-0 4-2 *0-0,1.30,3.32
0-0 4-2 *0-15,1.35,3.04
0-0 4-2 *15-15,1.30,3.30
0-0 4-2 *15-30,1.37,2.92
0-0 4-2 *15-40,1.48,2.53
0-0 4-2 *30-40,1.42,2.73
0-0 4-2 *40-40,1.34,3.11
0-0 4-3 0-0*,1.52,2.42
0-0 4-3 15-0*,1.43,2.70
0-0 4-3 15-30*,1.59,2.26
0-0 4-3 30-30*,1.50,2.47
0-0 4-3 30-40*,1.60,2.24
0-0 4-4 *0-0,1.71,2.06
0-0 4-4 *15-0,1.61,2.21
0-0 4-4 *15-15,1.73,2.02
0-0 4-4 *15-30,1.95,1.78
0-0 4-4 *30-30,1.81,1.93
0-0 4-4 *40-30,1.64,2.17
0-0 5-4 0-0*,1.50,2.47
0-0 5-4 0-15*,1.58,2.28
0-0 5-4 0-30*,1.66,2.14
0-0 5-5 *0-0,1.74,2.01
0-0 5-5 *0-15,1.94,1.80
0-0 5-5 *15-15,1.77,1.97
0-0 5-5 *30-15,1.68,2.10
0-0 5-5 *30-30,1.81,1.92
0-0 5-5 *40-30,1.65,2.15
0-0 5-5 *40-30,1.67,2.11
0-0 6-5 0-0*,1.52,2.41
0-0 6-5 15-0*,1.41,2.76
0-0 6-5 15-15*,1.52,2.42
0-0 6-6 *0-0,1.78,1.95
0-0 6-6 *0-0,1.82,1.91
0-0 6-6 1-0*,1.61,2.23
0-0 6-6 1-1*,1.75,2.00
0-0 6-6 *1-2,1.99,1.76
0-0 6-6 *2-2,1.79,1.95
0-0 6-6 3-2*,1.61,2.22
0-0 6-6 3-3*,1.79,1.95
0-0 6-6 *3-4,2.05,1.71
0-0 6-6 3-3*,2.05,1.71
0-0 6-6 4-5*,2.42,1.52
0-0 6-6 5-5*,1.80,1.94
0-0 6-6 *5-6,2.24,1.60
0-0 6-6 *5-6,2.37,1.54
0-0 6-6 *6-6,1.88,1.84
0-0 6-6 7-6*,1.51,2.45
0-0 6-6 7-7*,1.72,2.04
0-0 6-6 *7-8,2.37,1.54
0-1 0-0 30-15*,3.32,1.30
0-1 0-0 40-30*,2.87,1.38
0-1 0-0 40-40*,3.25,1.31
0-1 1-0 *0-0,2.58,1.46
0-1 1-0 *0-15,2.84,1.39
0-1 1-0 *15-15,2.66,1.44
0-1 1-0 *30-15,2.47,1.50
0-1 1-0 *30-30,2.67,1.44
0-1 2-0 0-0*,2.34,1.56
0-1 2-0 15-0*,2.21,1.62
0-1 2-0 15-15*,2.30,1.57
0-1 2-0 15-30*,2.40,1.53
0-1 2-0 30-30*,2.29,1.58
0-1 2-0 40-30*,2.10,1.68
0-1 2-0 40-40*,2.25,1.60
0-1 2-1 *0-0,2.50,1.49
0-1 2-1 *0-15,2.73,1.42
0-1 2-1 *15-15,2.59,1.46
0-1 2-1 *30-15,2.42,1.52
0-1 2-1 *40-15,2.30,1.57
0-1 3-1 0-0*,2.25,1.60
0-1 3-1 0-15*,2.31,1.57
0-1 3-1 0-30*,2.37,1.54
0-1 3-1 0-40*,2.42,1.52
0-1 3-1 15-40*,2.37,1.54
0-1 3-2 *0-0,2.45,1.51
0-1 3-2 *15-0,2.33,1.56
0-1 3-2 *30-0,2.22,1.61
0-1 3-2 *30-15,2.31,1.57
0-1 3-2 *30-30,2.52,1.48
0-1 3-2 *40-30,2.31,1.57
0-1 4-2 0-0*,2.16,1.65
0-1 4-2 0-15*,2.20,1.62
0-1 4-2 15-30*,2.19,1.63
0-1 4-3 *0-0,2.30,1.57
0-1 4-3 *15-0,2.18,1.63
0-1 4-3 *30-0,2.10,1.68
0-1 4-3 *40-0,2.04,1.72
0-1 5-3 0-0*,2.01,1.74
0-1 5-3 0-15*,2.01,1.74
0-1 5-3 0-30*,2.09,1.69
0-1 5-3 0-40*,2.11,1.67
0-1 5-3 15-40*,2.10,1.68
0-1 5-4 *0-0,2.12,1.67
0-1 5-4 *0-0,2.15,1.65
0-1 5-4 *15-0,2.01,1.74
0-1 5-4 *30-0,1.92,1.81
0-1 5-4 *40-0,1.85,1.88
1-1 0-0 3-1*,1.17,4.60
1-1 0-0 3-2*,1.33,3.18
1-1 0-0 5-2*,1.17,4.65
1-1 0-0 5-3*,1.25,3.70
1-1 0-0 *6-3,1.11,6.00
1-1 0-0 *7-3,1.04,9.50
1-1 0-0 7-4*,1.11,5.90
1-1 0-0 8-4*,1.02,11.00
1-1 0-0 *8-5,1.04,9.50
1-1 0-0 *9-5,1.01,15.00
1-1 0-0 9-6*,1.04,9.50
1-1 0-0 10-6*,1.001,1.001
