Score,P1 Odds,P2 Odds
-,1.75,2.00
0-0 1-1 *30-30,1.69,2.09
0-0 1-1 *30-40,1.78,1.95
0-0 1-1 *A-40,1.64,2.17
0-0 2-1 0-0*,1.59,2.26
0-0 2-1 0-0*,1.49,2.50
0-0 2-1 0-15*,1.53,2.40
0-0 2-1 0-15*,1.52,2.42
0-0 2-1 0-30*,1.56,2.34
0-0 2-1 0-40*,1.58,2.29
0-0 2-2 *0-0,1.59,2.27
0-0 2-2 *30-0,1.51,2.44
0-0 2-2 *40-0,1.50,2.47
0-0 3-2 0-0*,1.49,2.50
0-0 3-2 0-0*,1.48,2.54
0-0 3-2 0-15*,1.52,2.42
0-0 3-2 0-40*,1.58,2.28
0-0 3-2 15-40*,1.57,2.31
0-0 3-3 *0-0,1.58,2.27
0-0 3-3 *30-15,1.54,2.37
0-0 3-3 *30-15,1.55,2.34
0-0 3-3 *30-30,1.66,2.13
0-0 3-3 *30-40,1.95,1.79
0-0 3-4 0-0*,2.53,1.48
0-0 3-4 0-15*,2.70,1.43
0-0 3-4 30-30*,2.46,1.50
0-0 3-4 30-40*,2.72,1.42
0-0 3-4 40-40*,2.46,1.50
0-0 3-5 *0-0,2.93,1.37
0-0 3-5 *15-0,2.87,1.38
0-0 3-5 *30-0,2.83,1.39
0-0 3-5 *40-0,2.80,1.40
0-0 4-5 0-0*,2.79,1.40
0-0 4-5 0-15*,3.03,1.35
0-0 4-5 0-30*,3.24,1.31
0-0 4-5 0-40*,3.32,1.30
0-1 4-6 *0-0,3.32,1.30
0-1 4-6 *0-0,2.64,1.45
0-1 4-6 *15-0,2.52,1.48
0-1 0-0 *15-0,2.55,1.47
0-1 0-0 *30-15,2.53,1.48
0-1 0-0 *40-15,2.45,1.51
0-1 1-0 0-0*,2.40,1.53
0-1 1-0 0-0*,2.37,1.54
0-1 1-0 15-0*,2.20,1.62
0-1 1-0 15-30*,2.49,1.49
0-1 1-0 15-40*,2.60,1.46
0-1 1-1 *0-0,2.65,1.44
0-1 1-1 *0-0,2.69,1.43
0-1 1-1 *15-0,2.56,1.47
0-1 1-1 *30-0,2.45,1.50
0-1 1-1 *40-0,2.40,1.53
0-1 2-1 0-0*,2.37,1.54
0-1 2-1 0-15*,2.47,1.50
0-1 2-1 15-15*,2.34,1.55
0-1 2-1 15-30*,2.47,1.50
0-1 2-1 15-40*,2.59,1.46
0-1 2-1 30-40*,2.50,1.49
0-1 2-2 *0-0,2.62,1.45
0-1 2-2 *30-0,2.41,1.52
0-1 2-2 *30-15,2.50,1.49
0-1 2-2 *40-15,2.40,1.53
0-1 2-2 *40-30,2.53,1.48
0-1 3-2 0-0*,2.37,1.54
0-1 3-2 15-0*,2.19,1.63
0-1 3-2 30-0*,1.94,1.80
0-1 3-2 30-0*,2.11,1.67
0-1 3-2 40-30*,1.94,1.80
0-1 4-2 *0-0,1.64,2.17
0-1 4-2 *15-0,1.60,2.25
0-1 4-2 *30-0,1.57,2.30
0-1 4-2 *40-0,1.56,2.33
0-1 4-2 *40-15,1.57,2.30
0-1 5-2 0-0*,1.56,2.33
0-1 5-2 0-0*,1.55,2.34
0-1 5-2 0-15*,1.57,2.30
0-1 5-2 0-30*,1.59,2.27
0-1 5-2 15-30*,1.57,2.30
0-1 5-2 40-30*,1.50,2.47
1-1 6-2 *0-0,1.44,2.67
1-1 0-0 *0-0,1.44,2.67
1-1 0-0 *30-0,1.36,3.00
1-1 0-0 *40-0,1.34,3.08
1-1 1-0 0-0*,1.33,3.13
1-1 1-0 15-0*,1.28,3.45
1-1 1-0 15-15*,1.33,3.16
1-1 1-0 15-30*,1.38,2.87
1-1 1-0 15-40*,1.44,2.67
1-1 1-1 *0-0,1.46,2.58
1-1 1-1 *30-0,1.38,2.89
1-1 1-1 *30-15,1.42,2.74
1-1 1-1 *40-15,1.37,2.93
1-1 2-1 0-0*,1.35,3.02
1-1 2-1 0-15*,1.40,2.81
1-1 2-1 15-15*,1.33,3.14
1-1 2-1 15-15*,1.40,2.82
1-1 2-1 15-40*,1.46,2.60
1-1 2-1 30-40*,1.42,2.72
1-1 2-2 *0-0,1.49,2.50
1-1 2-2 *0-15,1.68,2.10
1-1 2-2 *15-15,1.52,2.42
1-1 2-2 *15-15,1.55,2.35
1-1 2-2 *30-15,1.45,2.62
1-1 2-2 *40-15,1.38,2.89
1-1 3-2 0-0*,1.36,2.97
1-1 3-2 0-15*,1.42,2.73
1-1 3-2 0-30*,1.47,2.56
1-1 3-2 0-40*,1.50,2.47
1-1 3-2 15-40*,1.47,2.55
1-1 3-3 *0-0,1.51,2.45
1-1 3-3 *15-0,1.44,2.67
1-1 3-3 *15-0,1.46,2.61
1-1 3-3 *30-0,1.40,2.80
1-1 3-3 *30-0,1.37,2.94
1-1 3-3 *30-15,1.39,2.84
1-1 4-3 0-0*,1.35,3.03
1-1 4-3 0-30*,1.48,2.53
1-1 4-3 0-40*,1.51,2.44
1-1 4-3 15-40*,1.49,2.50
1-1 4-4 *0-0,1.52,2.42
1-1 4-4 *15-0,1.46,2.59
1-1 4-4 *30-0,1.40,2.82
1-1 4-4 *40-0,1.36,2.97
1-1 5-4 0-0*,1.35,3.03
1-1 5-4 0-15*,1.44,2.67
1-1 5-4 0-15*,1.42,2.72
1-1 5-4 15-30*,1.44,2.67
1-1 5-4 15-30*,1.42,2.72
1-1 5-4 15-40*,1.52,2.42
1-1 5-5 *0-0,1.52,2.42
1-1 5-5 *0-15,1.78,1.95
1-1 5-5 *15-15,1.61,2.21
1-1 5-5 *30-15,1.49,2.49
1-1 5-5 *30-30,1.74,2.01
1-1 5-5 *40-30,1.51,2.45
1-1 6-5 0-0*,1.51,2.86
1-1 6-5 0-0*,1.39,2.86
1-1 6-5 30-0*,1.28,3.50
1-1 6-5 30-0*,1.14,5.20
1-1 6-5 30-15*,1.23,3.90
1-1 6-5 40-15*,1.10,6.50
1-1 6-5 40-40*,1.36,2.96
1-1 6-5 40-40*,1.31,3.24
1-1 6-6 *0-0,1.51,2.14
1-1 6-6 1-0*,1.45,2.62
1-1 6-6 1-1*,1.67,2.12
1-1 6-6 *2-1,1.34,3.06
1-1 6-6 *3-1,1.17,4.60
1-1 6-6 4-1*,1.10,6.00
1-1 6-6 4-2*,1.14,5.20
1-1 6-6 *5-2,1.04,9.50
1-1 6-6 *5-3,1.11,5.90
