Score,P1 Odds,P2 Odds
-,1.50,2.47
-,1.45,2.47
-,1.45,2.63
0-0 1-1 0-0*,1.47,2.56
0-0 1-1 15-0*,1.41,2.78
0-0 1-1 30-15*,1.39,2.86
0-0 1-1 40-15*,1.31,3.24
0-0 1-1 40-40*,1.46,2.58
0-0 1-1 A-40*,1.35,3.01
0-0 2-1 *0-0,1.28,3.45
0-0 2-1 *15-15,1.28,3.45
0-0 2-1 *30-15,1.22,3.96
0-0 2-1 *30-40,1.35,3.05
0-0 2-2 0-0*,1.48,2.54
0-0 2-2 15-0*,1.40,2.79
0-0 2-2 15-15*,1.40,2.79
0-0 2-2 30-15*,1.39,2.84
0-0 2-2 30-15*,1.39,2.86
0-0 2-2 40-30*,1.36,2.98
0-0 3-2 *0-0,1.25,3.70
0-0 3-2 *15-0,1.22,4.00
0-0 3-2 *15-15,1.28,3.45
0-0 4-2 0-0*,1.17,4.65
0-0 4-2 15-0*,1.14,5.20
0-0 4-2 15-15*,1.17,4.65
0-0 4-2 15-30*,1.20,4.25
0-0 4-2 15-40*,1.22,4.00
0-0 4-2 30-40*,1.20,4.25
0-0 4-2 40-40*,1.17,4.65
0-0 4-2 40-A*,1.20,4.25
0-0 4-3 *0-0,1.22,4.00
0-0 4-3 *15-0,1.20,4.25
0-0 4-3 *30-15,1.20,4.25
0-0 4-3 *30-30,1.25,3.70
0-0 4-3 *40-30,1.20,4.30
0-0 4-3 *40-30,1.25,3.70
0-0 5-3 0-0*,1.14,5.20
0-0 5-3 15-15*,1.14,5.20
0-0 5-3 15-30*,1.17,4.65
0-0 5-3 15-40*,1.17,4.60
0-0 5-3 30-40*,1.17,4.65
0-0 5-3 40-40*,1.14,5.20
0-0 5-3 40-A*,1.17,4.65
0-0 5-4 *0-0,1.20,4.25
0-0 5-4 *0-15,1.28,3.50
0-0 5-4 *15-15,1.20,4.25
0-0 5-4 *30-30,1.20,4.25
0-0 5-4 *30-40,1.31,3.22
0-0 5-4 *30-40,1.33,3.12
0-0 6-5 *0-0,1.20,4.25
0-0 6-5 *15-15,1.22,4.00
0-0 6-5 *30-15,1.17,4.65
0-0 6-5 *30-40,1.33,3.14
0-0 6-6 *0-1,1.71,2.05
0-0 6-6 *1-1,1.55,2.35
1-0 2-3 0-0*,1.25,3.70
1-0 2-3 0-0*,1.31,3.27
1-0 2-3 0-15*,1.35,3.03
1-0 2-3 15-15*,1.30,3.33
1-0 2-3 15-30*,1.35,3.01
1-0 2-3 15-40*,1.41,2.76
1-0 2-3 30-40*,1.37,2.94
1-0 2-4 *0-0,1.44,2.65
1-0 2-4 *0-0,1.50,2.47
1-0 2-4 *15-30,1.51,2.45
1-0 2-4 *40-30,1.40,2.82
1-0 3-4 0-0*,1.36,2.98
1-0 3-4 0-15*,1.41,2.75
1-0 3-4 15-30*,1.42,2.72
1-0 3-4 15-30*,1.35,3.04
1-0 3-4 30-40*,1.44,2.67
1-0 3-4 40-40*,1.33,3.14
1-0 3-4 40-A*,1.43,2.68
1-0 3-4 40-40*,1.33,3.14
1-0 3-4 A-40*,1.25,3.78
1-0 4-4 *0-0,1.14,5.20
1-0 4-4 *15-0,1.13,5.40
1-0 4-4 *15-0,1.10,6.00
1-0 4-4 *40-15,1.09,6.50
1-0 4-4 *40-30,1.11,6.00
1-0 4-4 *40-40,1.17,4.65
1-0 4-4 *40-A,1.31,3.22
1-0 4-5 0-0*,1.50,2.47
1-0 4-5 15-30*,1.63,2.19
1-0 4-5 15-30*,1.62,2.20
1-1 4-6 *0-0,1.85,1.88
1-1 4-6 *0-0,1.77,1.97
1-1 4-6 *0-0,1.68,2.10
1-1 0-0 *0-0,1.68,2.10
1-1 0-0 *0-15,1.83,1.89
1-1 0-0 *0-30,2.07,1.70
1-1 0-0 *15-30,1.91,1.82
1-1 0-0 *30-30,1.91,1.82
1-1 0-0 *40-40,1.71,2.05
1-1 0-0 *40-A,1.99,1.76
1-1 0-0 *40-40,1.71,2.05
1-1 0-0 *A-40,1.54,2.36
1-1 0-0 *A-40,1.56,2.33
1-1 0-0 *40-40,1.75,2.00
1-1 0-0 *A-40,1.56,2.33
1-1 1-0 0-0*,1.44,2.66
1-1 1-0 0-30*,1.61,2.23
1-1 1-0 0-30*,1.67,2.23
1-1 1-0 0-40*,1.63,2.19
1-1 1-0 30-40*,1.56,2.33
1-1 1-1 *0-0,1.70,2.07
1-1 1-1 *0-15,1.87,1.85
1-1 1-1 *15-15,1.72,2.04
1-1 1-1 *30-15,1.58,2.28
1-1 1-1 *40-15,1.58,2.28
1-1 2-1 0-0*,1.44,2.67
1-1 2-1 0-0*,1.43,2.71
1-1 2-1 15-0*,1.33,3.14
1-1 2-1 30-0*,1.25,3.75
1-1 2-1 30-15*,1.31,3.27
1-1 2-1 30-40*,1.56,2.33
1-1 2-1 30-40*,1.69,2.09
1-1 2-1 15-15*,1.71,2.05
1-1 2-1 15-30*,1.71,2.05
1-1 2-1 15-30*,1.96,1.78
1-1 2-1 30-30*,1.73,2.02
1-1 2-1 30-30*,2.17,1.64
1-1 2-1 40-40*,1.78,1.96
1-1 2-1 40-A*,2.16,1.64
1-1 2-3 0-0*,3.01,1.35
1-1 2-3 0-30*,4.10,1.22
1-1 2-3 0-40*,4.60,1.17
1-1 2-4 *0-0,4.65,1.17
1-1 2-4 *0-15,5.40,1.13
1-1 2-4 *0-30,7.50,1.06
1-1 2-4 *0-40,9.50,1.04
1-1 2-4 *15-40,8.50,1.05
1-1 2-5 0-0*,12.00,1.01
1-1 2-5 0-15*,17.00,1.005
1-1 2-5 0-30*,51.00,1.002
1-1 2-5 0-40*,101.00,1.001
1-1 2-5 15-40*,81.00,1.001
