Score,P1 Odds,P2 Odds
-,2.49,1.49
-,2.58,1.46
0-0 1-0 *15-30,2.16,1.65
0-0 1-0 *40-40,1.99,1.75
0-0 1-0 *A-40,1.84,1.89
0-0 1-0 *A-40,1.85,1.88
0-0 1-0 *40-40,2.01,1.74
0-0 1-0 *A-40,1.85,1.88
0-0 1-0 *40-40,2.00,1.75
0-0 1-0 *40-A,2.23,1.61
0-0 1-1 0-0*,2.57,1.47
0-0 1-1 15-0*,2.37,1.54
0-0 1-1 30-0*,2.16,1.64
0-0 1-1 30-15*,2.32,1.56
0-0 1-1 40-15*,2.08,1.69
0-0 2-1 *0-0,1.95,1.79
0-0 2-1 *15-0,1.84,1.89
0-0 2-1 *15-30,2.11,1.67
0-0 2-1 *30-30,1.95,1.77
0-0 2-1 *30-40,2.20,1.62
0-0 2-1 *40-40,1.97,1.77
0-0 2-1 *40-40,1.98,1.76
0-0 2-1 *A-40,1.81,1.93
0-0 3-1 0-0*,1.68,2.10
0-0 3-1 15-0*,1.60,2.24
0-0 3-1 15-15*,1.60,2.24
0-0 3-1 30-15*,1.58,2.27
0-0 3-1 40-15*,1.49,2.50
0-0 4-1 *0-0,1.43,2.70
0-0 4-1 *15-0,1.39,2.84
0-0 4-1 *40-0,1.34,3.10
0-0 5-1 0-0*,1.33,3.14
0-0 5-1 30-0*,1.30,3.32
0-0 5-1 40-0*,1.28,3.45
1-0 6-1 *0-0,1.28,3.45
1-0 6-1 *15-15,1.28,3.45
1-0 0-0 *15-15,1.28,3.45
1-0 0-0 *30-15,1.23,3.92
1-0 0-0 *40-15,1.20,4.25
1-0 1-0 0-0*,1.17,4.60
1-0 1-0 0-15*,1.11,6.00
1-0 1-0 15-15*,1.09,6.50
1-0 1-0 15-30*,1.11,6.00
1-0 1-0 30-30*,1.10,6.50
1-0 1-1 *0-0,1.14,5.20
1-0 1-1 *15-0,1.13,5.40
1-0 1-1 *30-0,1.11,6.00
1-0 1-1 *30-15,1.13,5.40
1-0 1-1 *30-30,1.15,5.00
1-0 1-1 *30-40,1.20,4.25
1-0 1-2 0-0*,1.28,3.45
1-0 1-2 0-15*,1.31,3.27
1-0 1-2 0-30*,1.35,3.03
1-0 1-2 15-30*,1.31,3.22
1-0 1-2 15-40*,1.37,2.94
1-0 1-2 30-40*,1.33,3.13
1-0 1-2 40-40*,1.28,3.45
1-0 1-2 A-40*,1.22,4.10
1-0 2-2 *0-15,1.17,4.60
1-0 2-2 *30-15,1.13,5.40
1-0 2-2 *40-15,1.10,6.00
1-0 2-2 *40-30,1.13,5.50
1-0 3-2 0-0*,1.09,6.50
1-0 3-2 15-0*,1.06,7.75
1-0 3-2 15-40*,1.14,5.20
1-0 3-3 *0-0,1.17,4.65
1-0 3-3 *15-0,1.13,5.40
1-0 3-3 *15-30,1.22,4.00
1-0 3-3 *30-30,1.17,4.65
1-0 3-3 *30-40,1.25,3.80
1-0 3-3 *30-40,1.17,4.65
1-0 3-3 *A-40,1.13,5.40
1-0 3-3 *40-40,1.17,4.60
1-0 3-3 *A-40,1.13,5.40
1-0 4-3 0-0*,1.08,6.50
1-0 4-3 0-0*,1.14,5.20
1-0 4-3 0-15*,1.20,4.25
1-0 4-3 0-30*,1.25,3.80
1-0 4-4 *0-0,1.33,3.14
1-0 4-4 *15-0,1.25,3.70
1-0 4-4 *30-0,1.20,4.25
1-0 4-4 *40-0,1.17,4.65
1-0 5-4 0-0*,1.14,5.20
1-0 5-4 15-15*,1.14,5.20
1-0 5-4 30-15*,1.08,6.50
1-0 5-4 40-15*,1.02,12.00
1-0 5-4 40-30*,1.02,12.00
1-0 5-4 40-30*,1.06,8.00
2-0 6-4 *0-0,1.001,1.001
