Score,P1 Odds,P2 Odds
-,3.06,1.34
0-0 0-0 15-30*,3.22,1.31
0-0 0-0 15-40*,3.40,1.30
0-0 0-1 *0-0,3.45,1.28
0-0 0-1 *0-30,4.25,1.20
0-0 0-2 0-0*,5.20,1.14
0-0 0-2 15-0*,4.65,1.17
0-0 0-2 15-30*,5.40,1.13
0-0 0-2 30-40*,5.40,1.13
0-0 0-3 *0-0,5.70,1.11
0-0 0-3 *15-0,5.40,1.13
0-0 0-3 *15-15,5.90,1.11
0-0 0-3 *15-30,6.00,1.10
0-0 0-3 *30-40,6.00,1.10
0-0 0-3 *40-40,5.90,1.11
0-0 2-3 *0-0,4.25,1.20
0-0 2-3 *15-0,4.00,1.22
0-0 2-3 *30-15,3.98,1.22
0-0 2-3 *30-30,4.25,1.20
0-0 2-3 *40-30,3.78,1.25
0-0 2-3 *40-40,4.30,1.20
0-0 2-3 *40-40,4.25,1.20
0-0 2-3 *40-40,5.20,1.14
0-0 2-4 0-0*,6.00,1.10
0-0 2-4 15-15*,6.00,1.10
0-0 2-4 30-15*,5.40,1.13
0-0 2-4 40-15*,4.80,1.16
0-0 2-4 40-30*,5.20,1.14
0-0 2-4 40-40*,6.00,1.11
0-0 2-4 40-A*,6.50,1.08
0-0 2-4 40-40*,6.00,1.11
0-0 2-4 A-40*,5.20,1.14
0-0 3-4 *0-0,4.25,1.20
0-0 3-4 *15-15,4.25,1.20
0-0 3-4 *30-15,4.00,1.22
0-0 3-4 *30-30,4.50,1.17
0-0 3-4 *30-30,3.70,1.25
0-0 4-4 0-0*,3.04,1.35
0-0 4-4 0-15*,3.32,1.30
0-0 4-4 15-15*,2.93,1.37
0-0 4-4 15-30*,3.35,1.30
0-0 4-4 30-30*,2.93,1.37
0-0 4-5 *0-0,4.20,1.20
0-0 4-5 *15-0,3.69,1.25
0-0 4-5 *30-0,3.28,1.31
0-0 4-5 *40-0,3.03,1.35
0-0 5-5 0-0*,2.86,1.39
0-0 5-5 30-0*,2.19,1.63
0-0 6-5 *0-0,1.76,1.98
1-0 0-1 *30-40,1.68,2.10
1-0 0-2 0-0*,1.89,1.84
1-0 0-2 0-15*,1.97,1.77
1-0 0-2 0-30*,2.03,1.73
1-0 0-2 15-30*,1.96,1.78
1-0 0-2 15-40*,2.05,1.71
1-0 0-3 *0-0,2.10,1.68
1-0 0-3 *15-15,2.11,1.68
1-0 0-3 *40-15,1.97,1.78
1-0 1-3 0-0*,1.92,1.81
1-0 1-3 0-15*,2.00,1.75
1-0 1-3 15-15*,1.91,1.81
1-0 1-3 15-30*,2.01,1.74
1-0 1-3 15-40*,2.10,1.68
1-0 1-3 30-40*,2.01,1.73
1-0 1-4 *0-0,2.01,1.73
1-0 1-4 *0-0,2.14,1.66
1-0 1-4 *0-15,2.21,1.62
1-0 1-4 *15-15,2.15,1.65
1-0 1-4 *15-30,2.24,1.60
1-0 1-4 *30-30,2.16,1.64
1-0 1-4 *30-40,2.29,1.58
1-0 1-4 *40-40,2.17,1.64
1-0 1-4 *40-A,2.29,1.58
1-0 1-5 0-0*,2.44,1.51
1-0 1-5 15-0*,2.40,1.53
1-0 1-5 15-30*,2.47,1.50
1-0 1-5 30-30*,2.44,1.51
1-0 1-5 30-40*,2.47,1.50
1-1 1-6 *0-0,2.55,1.47
1-1 0-0 *0-0,2.55,1.47
1-1 0-0 *0-0,2.80,1.40
1-1 0-0 *15-15,2.83,1.39
1-1 0-0 *30-15,2.52,1.48
1-1 0-0 *40-30,2.42,1.52
1-1 1-0 0-0*,2.14,1.66
1-1 1-0 0-15*,2.31,1.57
1-1 1-0 15-15*,2.13,1.66
1-1 1-0 15-30*,2.47,1.50
1-1 1-0 30-30*,2.21,1.61
1-1 1-0 40-40*,2.11,1.67
1-1 1-0 40-A*,2.53,1.48
1-1 1-1 *0-0,2.53,1.48
1-1 1-1 *0-30,4.00,1.22
1-1 1-1 *0-40,4.65,1.17
1-1 1-1 *30-40,3.70,1.25
1-1 1-1 *40-40,2.93,1.37
1-1 1-1 *40-40,2.95,1.37
1-1 1-1 *40-40,3.27,1.31
1-1 1-1 *40-A,4.25,1.20
1-1 1-1 *40-40,3.32,1.30
1-1 1-1 *A-40,2.78,1.41
1-1 1-1 *40-40,3.32,1.30
1-1 1-1 *A-40,2.78,1.41
1-1 1-1 *40-40,3.32,1.30
1-1 1-1 *40-40,4.25,1.20
1-1 1-1 *40-A,3.32,1.30
1-1 1-2 0-0*,6.00,1.11
1-1 1-2 0-30*,8.00,1.06
1-1 1-2 0-40*,8.50,1.05
1-1 1-2 30-40*,7.00,1.07
1-1 1-2 30-40*,6.00,1.11
1-1 2-2 *0-0,3.14,1.33
1-1 2-2 *15-30,3.98,1.22
1-1 2-3 0-0*,6.00,1.10
1-1 2-3 0-40*,9.50,1.04
1-1 2-4 *0-0,10.00,1.04
1-1 2-4 *0-0,10.00,1.03
1-1 2-4 *0-30,14.00,1.01
1-1 2-5 0-0*,51.00,1.002
