Score,P1 Odds,P2 Odds
-,1.41,2.78
0-0 0-0 *15-15,1.42,2.74
0-0 1-1 *0-15,1.41,2.75
0-0 1-1 *40-15,1.34,3.08
0-0 2-1 0-0*,1.33,3.14
0-0 2-1 0-15*,1.36,3.00
0-0 2-1 15-30*,1.36,2.97
0-0 2-1 15-30*,1.36,3.00
0-0 2-1 30-40*,1.37,2.93
0-0 2-2 *0-0,1.41,2.77
0-0 2-2 *15-0,1.37,2.92
0-0 2-2 *15-0,1.35,3.02
0-0 3-2 0-0*,1.33,3.14
0-0 3-2 0-15*,1.36,2.97
0-0 3-2 15-15*,1.31,3.25
0-0 3-2 15-40*,1.40,2.81
0-0 3-3 *0-0,1.42,2.74
0-0 3-3 *0-15,1.52,2.42
0-0 3-3 *0-30,1.67,2.12
0-0 3-3 *0-30,1.54,2.37
0-0 3-3 *30-40,1.67,2.12
0-0 3-3 *A-40,1.37,2.92
0-0 4-3 0-0*,1.33,3.12
0-0 4-3 0-15*,1.36,2.96
0-0 4-3 0-40*,1.42,2.72
0-0 4-4 *0-0,1.45,2.64
0-0 4-4 *15-15,1.45,2.62
0-0 4-4 *0-15,1.38,2.87
0-0 4-4 *0-30,1.50,2.47
0-0 5-4 0-0*,1.33,3.16
0-0 5-4 0-15*,1.37,2.92
0-0 5-4 0-30*,1.42,2.74
0-0 5-4 15-30*,1.37,2.92
0-0 5-4 15-40*,1.44,2.67
0-0 5-5 *0-0,1.46,2.58
0-0 5-5 *0-15,1.56,2.32
0-0 5-5 *0-0,1.56,2.32
0-0 5-5 *30-0,1.41,2.75
0-0 5-5 *40-30,1.41,2.79
0-0 5-5 *40-30,1.42,2.74
0-0 6-5 0-0*,1.35,3.04
0-0 6-5 15-0*,1.28,3.45
0-0 6-5 30-0*,1.20,4.25
0-0 6-5 30-15*,1.25,3.66
0-0 6-5 30-15*,1.25,3.70
1-0 1-0 0-0*,1.10,6.00
1-0 1-0 15-15*,1.10,6.00
1-0 1-0 15-40*,1.13,5.40
1-0 1-1 *0-0,1.13,5.40
1-0 1-1 *30-0,1.11,6.00
1-0 1-1 *40-15,1.11,6.00
1-0 2-1 0-0*,1.10,6.00
1-0 2-1 0-15*,1.11,5.90
1-0 2-1 15-15*,1.10,6.00
1-0 2-1 15-30*,1.11,5.90
1-0 2-2 *0-0,1.14,5.20
1-0 2-2 *0-15,1.17,4.65
1-0 2-2 *15-15,1.14,5.20
1-0 2-2 *30-30,1.14,5.20
1-0 2-2 *40-30,1.13,5.40
1-0 3-2 0-0*,1.11,6.00
1-0 3-2 15-0*,1.08,7.00
1-0 3-2 15-15*,1.10,6.00
1-0 3-2 15-40*,1.14,5.20
1-0 3-2 40-40*,1.10,6.00
1-0 3-2 40-40*,1.08,6.50
1-0 3-3 *0-0,1.14,5.20
1-0 3-3 *15-0,1.13,5.40
1-0 3-3 *30-0,1.11,5.90
1-0 3-3 *30-15,1.13,5.40
1-0 3-3 *40-15,1.11,5.90
1-0 4-3 0-0*,1.10,6.00
1-0 4-3 0-15*,1.13,5.50
1-0 4-3 15-15*,1.10,6.00
1-0 4-3 15-30*,1.13,5.40
1-0 4-3 15-40*,1.14,5.20
1-0 4-4 *0-0,1.14,5.20
1-0 4-4 *0-15,1.17,4.60
1-0 4-4 *15-15,1.17,4.65
1-0 4-4 *15-30,1.22,4.00
1-0 4-4 *30-30,1.17,4.65
1-0 5-4 30-40*,1.10,6.00
1-0 5-4 A-40*,1.04,9.50
2-0 6-4 *0-0,1.001,9.50
2-0 6-4 *0-0,1.001,1.001
