Score,P1 Odds,P2 Odds
-,1.79,1.94
Score,P1 Odds,P2 Odds
-,1.79,1.94
0-0 0-0 *40-0,1.65,2.14
0-0 0-0 *40-15,1.68,2.10
0-0 0-0 *40-30,1.72,2.04
0-0 1-0 0-0*,1.64,2.16
0-0 1-0 0-15*,1.70,2.07
0-0 1-0 15-15*,1.63,2.19
0-0 1-0 40-15*,1.42,2.73
0-0 1-0 40-30*,1.42,2.72
0-0 2-0 *0-0,1.30,3.31
0-0 2-0 *0-30,1.41,2.77
0-0 2-0 *15-40,1.45,2.61
0-0 2-0 *30-40,1.41,2.78
0-0 2-1 0-0*,1.54,2.37
0-0 2-1 0-30*,1.66,2.13
0-0 2-1 15-40*,1.67,2.11
0-0 2-2 *0-0,1.72,2.04
0-0 2-2 *0-30,2.00,1.75
0-0 2-3 0-0*,2.39,1.53
0-0 2-3 15-0*,2.18,1.63
0-0 2-3 30-0*,1.96,1.78
0-0 2-3 30-15*,2.10,1.68
0-0 2-3 40-15*,1.87,1.86
0-0 3-3 *15-0,1.64,2.17
0-0 3-3 *40-0,1.51,2.44
0-0 4-3 0-0*,1.49,2.49
0-0 4-3 15-30*,1.49,2.30
0-0 4-4 *0-0,1.70,2.07
0-0 4-4 *15-0,1.61,2.23
0-0 4-4 *30-0,1.53,2.40
0-0 4-4 *30-30,1.76,1.98
0-0 5-4 0-0*,1.46,2.61
0-0 5-4 0-15*,1.54,2.36
0-0 5-4 0-30*,1.63,2.18
0-0 5-4 15-30*,1.56,2.33
0-0 5-4 15-40*,1.66,2.14
0-0 5-4 30-40*,1.58,2.29
