Score,P1 Odds,P2 Odds
-,3.45,1.28
0-0 0-0 30-40*,3.70,1.25
0-0 0-0 40-A*,3.78,1.25
0-0 0-1 *0-0,4.10,1.22
0-0 0-1 *0-15,4.60,1.17
0-0 0-1 *0-30,5.20,1.14
0-0 0-1 *15-30,5.20,1.17
0-0 0-1 *15-30,4.60,1.17
0-0 0-1 *30-30,4.25,1.20
0-0 0-1 *30-40,4.65,1.17
0-0 0-1 *40-40,4.25,1.20
0-0 0-1 *A-40,3.70,1.25
0-0 0-1 *40-40,4.25,1.20
0-0 1-1 0-0*,3.32,1.30
0-0 1-1 0-15*,3.45,1.28
0-0 1-1 0-30*,3.78,1.25
0-0 1-1 0-40*,4.00,1.22
0-0 1-2 *0-0,4.00,1.22
0-0 1-2 *15-0,3.70,1.25
0-0 1-2 *0-0,3.45,1.28
0-0 1-2 *40-0,3.32,1.30
0-0 1-2 *40-15,3.45,1.28
0-0 1-2 *40-30,3.69,1.25
0-0 1-2 *40-30,3.70,1.25
0-0 1-2 *40-40,4.20,1.20
0-0 1-2 *40-A,4.65,1.17
0-0 1-3 0-0*,5.70,1.12
0-0 1-3 0-0*,6.00,1.11
0-0 1-3 0-30*,6.00,1.10
0-0 1-3 15-30*,6.00,1.11
0-0 1-3 15-40*,6.50,1.09
0-0 1-3 15-40*,6.00,1.10
0-0 1-4 *0-0,6.50,1.08
0-0 1-4 *0-15,7.50,1.07
0-0 1-4 *0-30,7.75,1.06
0-0 1-4 *15-30,7.75,1.06
0-0 1-4 *15-30,7.50,1.06
0-0 1-4 *15-40,8.00,1.06
0-0 1-5 0-0*,8.50,1.05
0-0 1-5 0-15*,8.50,1.05
0-0 1-5 0-30*,8.50,1.05
0-0 1-5 15-30*,8.50,1.05
0-0 1-5 15-40*,8.50,1.05
0-1 1-6 *0-0,9.50,1.04
0-1 0-0 *0-0,9.50,1.04
0-1 0-0 *0-15,9.50,1.04
0-1 0-0 *0-30,10.00,1.03
0-1 0-0 *15-30,9.50,1.04
0-1 0-0 *15-40,9.50,1.04
0-1 0-0 *15-40,34.00,1.004
0-1 0-1 0-0*,41.00,1.002
0-1 0-1 15-0*,34.00,1.005
0-1 0-1 30-0*,17.00,1.005
0-1 0-1 30-0*,15.00,1.005
0-1 0-1 40-0*,14.00,1.01
0-1 1-1 *0-0,13.00,1.01
0-1 1-1 *0-15,14.00,1.01
0-1 1-1 *0-0,14.00,1.01
0-1 1-1 *0-30,17.00,1.005
0-1 1-1 *0-40,34.00,1.004
0-1 1-2 0-0*,34.00,1.002
0-1 1-2 15-0*,21.00,1.005
0-1 1-2 15-15*,34.00,1.004
0-1 1-2 30-15*,17.00,1.005
0-1 1-2 30-30*,34.00,1.004
0-1 1-2 30-15*,34.00,1.004
0-1 1-2 30-40*,41.00,1.002
0-1 1-2 40-40*,34.00,1.005
0-1 1-2 40-A*,41.00,1.002
0-1 1-2 40-40*,34.00,1.005
0-1 1-2 A-40*,15.00,1.01
0-1 1-2 40-40*,34.00,1.004
0-1 1-2 A-40*,15.00,1.01
0-1 2-2 *0-0,12.00,1.02
0-1 2-2 *15-0,11.00,1.02
0-1 2-2 *15-15,12.00,1.02
0-1 2-2 *15-30,13.00,1.01
0-1 2-2 *30-30,12.00,1.02
0-1 2-2 *30-40,13.00,1.01
0-1 2-2 *40-40,11.00,1.02
0-1 2-2 *40-A,13.00,1.01
0-1 2-2 *40-40,13.00,1.01
0-1 2-2 *40-40,11.00,1.02
0-1 2-2 *40-40,13.00,1.01
0-1 2-2 *40-40,11.00,1.02
0-1 2-2 *A-40,9.50,1.04
0-1 3-2 0-0*,8.50,1.05
0-1 3-2 15-0*,7.00,1.07
0-1 3-2 30-0*,6.00,1.10
0-1 3-2 30-15*,6.00,1.08
0-1 3-2 30-30*,8.00,1.06
0-1 3-2 30-40*,9.50,1.04
0-1 3-3 *0-0,10.00,1.03
0-1 3-3 *15-0,9.50,1.04
0-1 3-3 *30-0,8.50,1.05
0-1 3-3 *30-30,10.00,1.03
0-1 3-3 *40-40,10.00,1.03
0-1 3-3 *A-40,8.50,1.05
0-1 3-3 *40-40,10.00,1.03
0-1 3-3 *A-40,8.50,1.05
0-1 4-3 0-0*,7.00,1.07
0-1 4-3 15-30*,8.00,1.06
0-1 4-4 *0-0,9.50,1.04
0-1 4-4 *15-0,9.50,1.04
0-1 4-4 *40-0,7.75,1.06
0-1 5-4 0-0*,7.50,1.06
0-1 5-4 0-0*,7.00,1.07
0-1 5-4 15-15*,6.50,1.08
0-1 5-4 15-30*,8.50,1.05
0-1 5-4 30-30*,6.50,1.08
0-1 5-4 40-30*,5.20,1.14
0-1 5-4 40-40*,6.00,1.10
0-1 5-4 A-40*,6.00,1.10
0-1 5-4 A-40*,5.20,1.14
1-1 0-0 *0-0,3.90,1.23
1-1 0-0 *15-0,3.32,1.30
1-1 0-0 *15-15,3.92,1.23
1-1 0-0 *15-30,4.60,1.17
1-1 0-0 *15-40,5.40,1.13
1-1 0-0 *15-30,4.60,1.17
