Score,P1 Odds,P2 Odds
-,1.40,2.80
0-0 0-0 15-30*,1.45,2.61
0-0 0-0 15-40*,1.51,2.45
0-0 0-1 *0-0,1.55,2.35
0-0 0-1 *0-15,1.63,2.19
0-0 0-1 *0-30,1.73,2.03
0-0 0-1 *0-40,1.83,1.89
0-0 0-1 *15-40,1.79,1.95
0-0 0-1 *30-40,1.69,2.08
0-0 0-2 0-0*,1.90,1.83
0-0 0-2 0-15*,1.99,1.75
0-0 0-2 0-30*,2.09,1.69
0-0 0-2 15-30*,2.00,1.74
0-0 0-2 15-40*,2.12,1.67
0-0 0-3 *0-0,2.20,1.62
0-0 0-3 *15-0,2.13,1.66
0-0 0-3 *30-0,2.06,1.71
0-0 0-3 *30-30,2.24,1.60
0-0 0-3 *30-40,2.44,1.51
0-0 0-4 0-0*,2.71,1.43
0-0 0-4 0-15*,2.80,1.40
0-0 0-4 15-15*,2.70,1.43
0-0 0-4 15-30*,2.81,1.40
0-0 0-4 15-30*,2.92,1.37
0-0 0-5 *0-0,2.99,1.36
0-0 0-5 *15-0,2.93,1.37
0-0 0-5 *15-15,3.00,1.36
0-0 0-5 *30-15,2.93,1.37
0-0 0-5 *30-30,3.00,1.36
0-0 0-5 *40-30,2.91,1.38
0-0 0-5 *40-30,3.00,1.36
0-0 0-5 *40-40,4.00,1.22
0-0 0-5 *40-A,4.20,1.20
0-1 0-6 0-0*,4.25,1.20
0-1 0-6 0-15*,4.65,1.17
0-1 0-6 15-15*,4.60,1.17
0-1 0-6 15-30*,4.80,1.16
0-1 0-0 15-30*,4.80,1.16
0-1 0-0 30-30*,4.25,1.20
0-1 0-0 30-40*,5.20,1.14
0-1 0-1 *0-0,5.40,1.13
0-1 0-1 *0-0,6.50,1.09
0-1 0-1 *15-0,6.00,1.11
0-1 0-1 *30-0,5.40,1.13
0-1 0-1 *40-0,5.20,1.14
0-1 0-1 *40-15,5.40,1.13
0-1 0-1 *40-30,5.70,1.12
0-1 1-1 0-0*,5.20,1.14
0-1 1-1 15-0*,4.65,1.17
0-1 1-1 15-15*,5.20,1.14
