Score,P1 Odds,P2 Odds
-,1.20,4.25
0-0 0-0 0-15*,1.22,4.00
0-0 0-1 *15-30,1.34,3.06
0-0 0-2 0-0*,1.50,2.47
0-0 0-2 0-15*,1.49,2.50
0-0 0-2 0-40*,1.59,2.26
0-0 0-3 *0-0,1.62,2.21
0-0 0-3 *0-0,1.68,2.10
0-0 0-3 *30-30,1.64,2.16
0-0 0-3 *40-30,1.68,2.10
0-0 1-3 0-0*,1.62,2.21
0-0 1-3 15-15*,1.61,2.21
0-0 1-3 15-30*,1.70,2.07
0-0 1-3 15-40*,1.79,1.95
0-0 1-3 30-40*,1.73,2.03
0-0 1-4 *0-0,1.73,2.03
0-0 1-4 *0-0,1.84,1.89
0-0 1-4 *15-0,1.79,1.94
0-0 1-4 *40-0,1.72,2.04
0-0 1-4 *40-15,1.74,2.01
0-0 2-4 0-0*,1.71,2.06
0-0 2-4 0-30*,1.89,1.84
0-0 2-4 15-30*,1.81,1.93
0-0 2-4 30-30*,1.70,2.08
0-0 2-5 *0-0,1.99,1.76
0-0 2-5 *0-15,2.08,1.69
0-0 2-5 *15-30,2.10,1.68
0-0 2-5 *15-40,2.24,1.60
0-0 4-5 *0-0,1.48,2.52
0-0 4-5 *15-0,1.39,2.83
0-0 4-5 *40-0,1.30,3.32
0-0 5-5 0-0*,1.28,3.45
0-0 5-5 15-15*,1.33,3.45
0-0 5-5 30-15*,1.20,4.25
0-0 5-5 30-30*,1.28,3.45
1-0 0-0 0-0*,1.04,9.50
1-0 0-0 30-0*,1.02,12.00
1-0 0-0 40-0*,1.01,13.00
1-0 1-0 *0-0,1.01,13.00
1-0 1-0 *15-0,1.01,14.00
1-0 1-0 *30-15,1.01,14.00
1-0 1-0 *40-15,1.005,17.00
1-0 2-0 0-0*,1.005,21.00
1-0 2-0 15-0*,1.002,34.00
1-0 2-0 40-30*,1.002,41.00
1-0 3-0 *0-0,1.001,81.00
1-0 3-0 *15-0,1.001,81.00
1-0 3-0 *40-0,1.001,101.00
1-0 3-0 *40-15,1.001,101.00
