Score,P1 Odds,P2 Odds
-,1.35,3.05
0-0 0-1 *A-40,1.51,2.44
0-0 0-1 *A-40,1.42,2.73
0-0 0-1 *40-40,1.50,2.47
0-0 0-1 *40-40,1.42,2.73
0-0 0-1 *40-40,1.43,2.71
0-0 0-1 *40-40,1.52,2.42
0-0 0-1 *40-A,1.63,2.18
0-0 0-2 0-0*,1.79,1.94
0-0 0-2 0-15*,1.88,1.85
0-0 0-2 0-30*,1.97,1.77
0-0 0-2 15-30*,1.89,1.83
0-0 0-2 30-40*,1.93,1.81
0-0 0-2 30-40*,1.92,1.81
0-0 0-2 40-40*,1.78,1.96
0-0 0-2 A-40*,1.65,2.15
0-0 1-2 *0-0,1.53,2.40
0-0 1-2 *0-15,1.61,2.23
0-0 1-2 *15-15,1.53,2.40
0-0 1-2 *0-15,1.61,2.23
0-0 1-2 *40-15,1.40,2.81
0-0 2-2 0-0*,1.37,2.94
0-0 2-2 15-0*,1.31,3.25
0-0 2-2 30-0*,1.28,3.50
0-0 2-2 40-0*,1.22,4.00
0-0 3-2 *0-0,1.20,4.25
0-0 3-2 *15-15,1.20,4.25
0-0 3-2 *30-15,1.17,4.65
0-0 3-2 *40-15,1.14,5.20
0-0 4-2 0-0*,1.13,5.40
0-0 4-2 15-0*,1.12,5.70
0-0 4-2 15-15*,1.12,5.70
0-0 4-2 15-15*,1.13,5.40
0-0 4-2 15-30*,1.14,5.20
0-0 4-2 15-40*,1.17,4.60
0-0 4-2 30-40*,1.17,4.65
0-0 4-3 *0-0,1.20,4.30
0-0 4-3 *15-0,1.17,4.65
0-0 4-3 *30-0,1.14,5.20
0-0 4-3 *30-15,1.16,4.80
0-0 4-3 *40-15,1.13,5.40
0-0 5-3 0-0*,1.12,5.70
0-0 5-3 0-15*,1.13,5.40
0-0 5-3 15-15*,1.12,5.70
0-0 5-3 15-30*,1.13,5.40
0-0 5-3 30-30*,1.12,5.70
0-0 5-3 30-40*,1.14,5.20
0-0 5-4 *0-0,1.17,4.65
0-0 5-4 *15-0,1.13,5.40
0-0 5-4 *15-15,1.17,4.65
0-0 5-4 *15-30,1.25,3.90
0-0 5-4 *15-40,1.33,3.14
0-0 5-4 *30-40,1.28,3.45
0-0 5-4 *40-40,1.17,4.60
0-0 5-4 *40-40,1.17,4.65
0-0 5-4 *40-A,1.28,3.50
0-0 5-4 *40-A,1.17,4.65
0-0 5-4 *A-40,1.13,5.40
1-0 6-4 0-0*,1.08,6.50
1-0 0-0 0-0*,1.08,6.50
1-0 0-0 15-0*,1.08,6.50
1-0 0-0 15-15*,1.10,6.00
1-0 0-0 30-15*,1.07,7.00
1-0 0-0 40-15*,1.05,8.50
1-0 0-0 40-30*,1.06,7.50
1-0 1-0 *0-0,1.04,9.50
1-0 1-0 *15-0,1.03,10.00
1-0 1-0 *15-15,1.04,9.50
1-0 1-0 *30-15,1.03,10.00
1-0 1-0 *30-30,1.04,9.50
1-0 1-0 *30-30,1.03,10.00
1-0 1-0 *30-30,1.04,9.50
1-0 1-0 *40-30,1.03,10.00
1-0 2-0 0-0*,1.02,12.00
1-0 2-0 0-15*,1.03,10.00
1-0 2-0 15-15*,1.02,12.00
1-0 2-0 30-15*,1.01,13.00
1-0 2-0 40-15*,1.01,15.00
1-0 2-0 40-30*,1.01,13.00
1-0 2-0 40-30*,1.02,12.00
1-0 2-0 40-A*,1.03,10.00
1-0 2-0 40-40*,1.02,12.00
1-0 2-0 A-40*,1.01,13.00
1-0 3-0 *0-0,1.004,34.00
1-0 3-0 *15-0,1.002,41.00
1-0 3-0 *30-15,1.002,41.00
1-0 3-0 *30-30,1.005,34.00
1-0 3-0 *40-30,1.002,41.00
1-0 4-0 0-0*,1.001,81.00
1-0 4-0 0-15*,1.002,67.00
1-0 4-0 15-15*,1.001,81.00
1-0 4-0 15-30*,1.002,67.00
1-0 4-0 15-40*,1.002,41.00
1-0 4-0 15-40*,1.002,67.00
1-0 4-1 *0-0,1.002,41.00
1-0 4-1 *0-15,1.005,34.00
1-0 4-1 *0-30,1.01,15.00
1-0 4-1 *15-30,1.005,21.00
1-0 4-1 *30-30,1.002,41.00
1-0 4-1 *30-40,1.01,15.00
1-0 4-2 0-0*,1.01,12.00
1-0 4-2 15-0*,1.01,14.00
1-0 4-2 30-0*,1.005,34.00
1-0 4-2 40-0*,1.002,41.00
1-0 4-2 40-15*,1.002,34.00
1-0 4-2 40-30*,1.005,17.00
1-0 5-2 *0-0,1.001,81.00
1-0 5-2 *0-15,1.002,41.00
1-0 5-2 *0-30,1.004,34.00
1-0 5-2 *0-40,1.005,17.00
1-0 5-2 *15-40,1.005,21.00
1-0 5-2 *30-40,1.002,34.00
1-0 5-3 0-0*,1.01,15.00
1-0 5-3 15-0*,1.004,34.00
1-0 5-3 15-15*,1.01,15.00
1-0 5-3 15-30*,1.01,13.00
1-0 5-3 15-40*,1.02,12.00
1-0 5-3 15-40*,1.03,10.00
1-0 5-3 15-15*,1.05,8.50
1-0 5-3 15-30*,1.08,6.50
1-0 5-3 15-30*,1.05,8.00
1-0 5-3 15-30*,1.06,8.00
1-0 5-3 15-30*,1.11,6.00
1-0 5-3 30-40*,1.07,7.00
1-0 5-5 0-0*,1.14,5.20
1-0 5-5 15-0*,1.10,6.00
1-0 5-5 15-15*,1.14,5.20
1-0 5-5 15-30*,1.17,4.60
1-0 5-5 15-40*,1.22,4.00
1-0 5-6 *0-0,1.28,3.45
1-0 5-6 *0-15,1.34,3.11
1-0 5-6 *0-30,1.43,2.71
1-0 5-6 *15-30,1.35,3.03
1-0 5-6 *15-40,1.47,2.56
1-0 5-6 *30-40,1.39,2.85
1-0 5-6 *40-40,1.28,3.45
1-0 5-6 *40-A,1.39,2.86
1-0 5-6 *40-40,1.28,3.45
1-0 5-6 *40-A,1.39,2.83
1-1 5-7 0-0*,1.57,2.30
1-1 0-0 0-0*,1.57,2.30
1-1 0-0 40-A*,1.67,2.11
1-1 0-0 40-40*,1.67,2.11
1-1 0-1 *0-0,1.86,1.87
1-1 0-1 *15-0,1.73,2.03
1-1 0-1 *30-15,1.71,2.05
1-1 0-1 *40-15,1.59,2.26
1-1 0-1 *40-30,1.67,2.11
1-1 1-1 0-0*,1.53,2.40
1-1 1-1 15-0*,1.42,2.74
1-1 1-1 15-15*,1.52,2.41
1-1 1-1 15-30*,1.67,2.12
1-1 1-1 30-30*,1.52,2.41
1-1 1-1 30-40*,1.71,2.05
1-1 1-1 40-40*,1.51,2.45
1-1 1-1 40-A*,1.71,2.06
1-1 1-2 *0-0,1.71,2.06
1-1 1-2 *0-0,1.91,1.82
1-1 1-2 *15-0,1.76,1.98
1-1 1-2 *15-15,1.93,1.80
1-1 1-2 *15-15,1.95,1.78
1-1 1-2 *30-15,1.76,1.98
1-1 1-2 *40-15,1.62,2.20
1-1 2-2 0-0*,1.56,2.33
1-1 2-2 0-0*,1.56,2.34
1-1 2-2 15-0*,1.42,2.72
1-1 2-2 15-15*,1.54,2.36
1-1 2-2 15-30*,1.71,2.06
1-1 2-2 30-30*,1.53,2.39
1-1 2-2 30-40*,1.74,2.00
1-1 2-3 *0-0,1.99,1.75
1-1 2-3 *15-0,1.82,1.91
1-1 2-3 *30-0,1.70,2.08
1-1 2-3 *40-0,1.62,2.20
