Score,P1 Odds,P2 Odds
-,1.49,2.49
0-0 0-0 *15-15,1.53,2.39
0-0 0-0 *15-30,1.63,2.19
0-0 0-0 *30-30,1.55,2.35
0-0 1-0 0-0*,1.39,2.84
0-0 1-0 15-0*,1.34,3.08
0-0 1-0 30-0*,1.30,3.32
0-0 1-0 40-0*,1.25,3.70
0-0 2-0 *0-0,1.25,3.80
0-0 2-0 *30-15,1.22,4.00
0-0 2-0 *40-15,1.17,4.30
0-0 3-0 0-0*,1.17,4.60
0-0 3-0 15-0*,1.17,4.65
0-0 3-0 15-0*,1.17,4.60
0-0 3-0 30-30*,1.17,4.60
0-0 3-0 40-30*,1.14,5.20
0-0 3-0 40-40*,1.17,4.65
0-0 4-0 *0-0,1.13,5.40
0-0 4-0 *15-0,1.09,6.50
0-0 4-0 *40-0,1.08,6.50
0-0 5-0 0-0*,1.08,6.50
0-0 5-0 15-15*,1.08,6.50
0-0 5-0 15-30*,1.08,6.50
0-0 5-0 30-40*,1.08,6.50
0-0 5-1 *15-0,1.09,6.50
0-0 5-1 *40-0,1.08,6.50
1-0 6-1 0-0*,1.08,6.50
1-0 0-0 15-15*,1.06,7.75
1-0 0-0 40-40*,1.08,6.50
1-0 1-0 *0-0,1.06,9.50
1-0 1-0 *0-0,1.04,9.50
1-0 1-0 *15-15,1.04,9.50
1-0 1-0 *30-30,1.01,13.00
1-0 1-0 *40-A,1.02,12.00
1-0 1-1 15-0*,1.02,11.00
1-0 1-1 30-0*,1.02,12.00
1-0 1-1 40-30*,1.02,12.00
1-0 2-1 *0-0,1.01,13.00
1-0 2-1 *15-15,1.01,13.00
1-0 2-1 *40-15,1.005,21.00
1-0 3-1 15-0*,1.002,41.00
1-0 3-1 15-15*,1.004,34.00
1-0 3-1 30-30*,1.004,34.00
1-0 4-1 *0-0,1.001,81.00
1-0 4-1 *30-0,1.001,101.00
1-0 5-1 0-0*,1.001,126.00
