Score,P1 Odds,P2 Odds
-,3.31,1.30
0-0 0-0 40-A*,3.45,1.28
0-0 1-3 30-0*,4.60,1.17
0-0 1-3 30-15*,4.65,1.17
0-0 1-3 30-30*,5.20,1.14
0-0 1-3 40-40*,5.20,1.14
0-0 1-3 40-A*,5.90,1.11
0-0 1-3 40-40*,5.20,1.14
0-0 1-3 40-A*,5.90,1.11
0-0 1-3 40-40*,5.90,1.11
0-0 1-3 40-40*,5.70,1.11
0-0 1-4 *0-15,6.50,1.08
0-0 1-4 *0-30,7.00,1.07
0-0 1-4 *15-30,6.50,1.08
0-0 1-4 *30-40,6.50,1.08
0-0 1-5 0-0*,8.00,1.06
0-0 1-5 15-0*,7.75,1.06
0-0 1-5 15-15*,7.75,1.06
0-0 1-5 15-30*,8.00,1.06
0-0 1-5 15-40*,8.00,1.05
0-0 1-5 40-40*,7.75,1.06
0-0 2-5 *0-0,7.00,1.08
0-0 2-5 *0-15,7.50,1.06
0-0 2-5 *15-15,7.00,1.07
0-0 2-5 *15-30,7.50,1.06
0-0 2-5 *30-30,7.00,1.07
0-0 2-5 *30-40,7.75,1.06
0-1 0-1 *30-15,9.50,1.04
0-1 0-1 *30-30,10.00,1.03
0-1 5-6 *40-40,10.00,1.03
0-2 5-7 0-0*,1.001,1.001
